FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,RevenueAccountDescription,FY2016 Budget
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750082,NSP STATE GRANT REVENUE       ,5823275.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750045,HUD MISC GRANTS               ,801200.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750045,HUD MISC GRANTS               ,1340700.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750045,HUD MISC GRANTS               ,4570029.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750033,HOME GRANT REVENUE            ,425500.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750050,CDBG SHELTER PLUS CARE        ,39200.000
019,GRANTS MANAGEMENT             ,6160,DEPT OF JUSTICE-RSTR          ,9999999,Revenue,99999,Revenue,43100006,DOJ GRANT REVENUE             ,7000.000
019,GRANTS MANAGEMENT             ,6160,DEPT OF JUSTICE-RSTR          ,9999999,Revenue,99999,Revenue,43100006,DOJ GRANT REVENUE             ,744450.000
019,GRANTS MANAGEMENT             ,6160,DEPT OF JUSTICE-RSTR          ,9999999,Revenue,99999,Revenue,43100006,DOJ GRANT REVENUE             ,449325.000
019,GRANTS MANAGEMENT             ,6150,DEPT OF THE INT-RSTR          ,9999999,Revenue,99999,Revenue,42750021,P1-HOUSING REHAB PROGRAM      ,28730.000
019,GRANTS MANAGEMENT             ,6200,DEPT OF TRANS-RSTR            ,9999999,Revenue,99999,Revenue,42750046,ODOT GRANTS                   ,73862.000
019,GRANTS MANAGEMENT             ,6200,DEPT OF TRANS-RSTR            ,9999999,Revenue,99999,Revenue,42900004,IMPAIRED DRIVING ENFORCEMENT  ,276525.000
750,SPECIAL PURPOSE               ,1668,DEVELPR CONTRIB TRAF SGNL-RSTR,9999999,Revenue,99999,Revenue,43365000,DONATIONS - SPECIAL PURPOSE   ,25142.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200013,BRICKTOWN MARKETING           ,160000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200000,BID ADMIN CHARGE              ,20000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200002,DISTRICT WIDE                 ,1025000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200003,STREET LEVEL                  ,300000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200004,CONCOURSE                     ,200000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200005,BRICKTOWN CANAL               ,150000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200006,AUTOMOBILE ALLEY              ,70000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,25000.000
060,SPECIAL DISTRICTS (BID)       ,0331,DOWNTOWN BID - DISTR 6-RSTR   ,9999999,Revenue,99999,Revenue,42200009,BID LATE PENALTY              ,25000.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,42200002,DISTRICT WIDE                 ,13500.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,42200003,STREET LEVEL                  ,4000.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,42200004,CONCOURSE                     ,200.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,42200005,BRICKTOWN CANAL               ,1900.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,42200006,AUTOMOBILE ALLEY              ,200.000
060,SPECIAL DISTRICTS (BID)       ,0325,DOWNTOWN BID-RSTR             ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,200.000
330,STORMWATER DRAINAGE           ,0076,DRAINAGE CAPITAL ACCOUNT      ,9999999,Revenue,99999,Revenue,44250018,INTEREST-PROPRIETARY          ,12000.000
330,STORMWATER DRAINAGE           ,0076,DRAINAGE CAPITAL ACCOUNT      ,9999999,Revenue,99999,Revenue,45600117,TSF TO/FM DRAIN CAPITAL/OPERAT,3388650.000
330,STORMWATER DRAINAGE           ,0076,DRAINAGE CAPITAL ACCOUNT      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,1310232.000
330,STORMWATER DRAINAGE           ,0076,DRAINAGE CAPITAL ACCOUNT      ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,398734.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,40650001,PERMITS-SWQ MINING            ,117384.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2032514.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,41500000,STORMWATER DRAINAGE - RESI    ,16820685.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,42250000,HAZARDOUS MATERIALS SERVICES  ,59441.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,43750004,REIMBURSEMENTS-ODOT           ,255766.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,44250000,INTEREST-NON OPERATING        ,53180.000
330,STORMWATER DRAINAGE           ,0075,DRAINAGE CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,45600117,TSF TO/FM DRAIN CAPITAL/OPERAT,-3388650.000
750,SPECIAL PURPOSE               ,1670,DRAINAGE IMPROVEMENT-ASGN     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,17004.000
017,COURT ADMIN & TRAINING        ,0500,DRUG TRAF FINES-RSTR          ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,48.000
017,COURT ADMIN & TRAINING        ,0500,DRUG TRAF FINES-RSTR          ,9999999,Revenue,99999,Revenue,40950012,FINES-MISCELLANEOUS           ,366.000
017,COURT ADMIN & TRAINING        ,0500,DRUG TRAF FINES-RSTR          ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,7786.000
750,SPECIAL PURPOSE               ,1643,ECON DEVEL-ASGN               ,9999999,Revenue,99999,Revenue,43900002,DONATIONS-OPERATING           ,1000000.000
750,SPECIAL PURPOSE               ,1643,ECON DEVEL-ASGN               ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,7519.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40250042,E911 TARIFF-PREPAID CELL      ,616483.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,382734.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40250009,TELE TARIFF - SW BELL         ,563072.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40250014,TELE TARIFF - COX CABLE       ,594564.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40250039,E911-TARIFF                   ,266139.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40250041,E911-CELL TARIFF              ,2550664.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,40860000,VOIP 911 FEES                 ,239807.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,6277.000
070,EMERGENCY MANAGEMENT          ,0350,EMER MGMT E-911-CMTD          ,9999999,Revenue,99999,Revenue,45600000,TSF FM GEN FUND-0001          ,3245454.000
017,COURT ADMIN & TRAINING        ,0502,ENFRCMT & TRN-LEGAL-RSTR      ,9999999,Revenue,99999,Revenue,40750004,POLICE FEES-MUNI. COUNSELOR   ,7677.000
017,COURT ADMIN & TRAINING        ,0502,ENFRCMT & TRN-LEGAL-RSTR      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2194.000
017,COURT ADMIN & TRAINING        ,0502,ENFRCMT & TRN-LEGAL-RSTR      ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,129.000
017,COURT ADMIN & TRAINING        ,0503,ENFRCMT & TRN-POLICE-RSTR     ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,1276.000
017,COURT ADMIN & TRAINING        ,0503,ENFRCMT & TRN-POLICE-RSTR     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,82836.000
017,COURT ADMIN & TRAINING        ,0503,ENFRCMT & TRN-POLICE-RSTR     ,9999999,Revenue,99999,Revenue,40750001,POLICE TRAINING-CLEET FD      ,193844.000
019,GRANTS MANAGEMENT             ,6660,ENVIR PROTECT AGCY-RSTR       ,9999999,Revenue,99999,Revenue,42750053,EPA GRANT REVENUE             ,588350.000
019,GRANTS MANAGEMENT             ,6660,ENVIR PROTECT AGCY-RSTR       ,9999999,Revenue,99999,Revenue,42750053,EPA GRANT REVENUE             ,145000.000
019,GRANTS MANAGEMENT             ,6660,ENVIR PROTECT AGCY-RSTR       ,9999999,Revenue,99999,Revenue,42750053,EPA GRANT REVENUE             ,18975.000
019,GRANTS MANAGEMENT             ,6660,ENVIR PROTECT AGCY-RSTR       ,9999999,Revenue,99999,Revenue,42750053,EPA GRANT REVENUE             ,98000.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1903,EVENT SPNSRSHP/PROMO-RSTR     ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,8854.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1903,EVENT SPNSRSHP/PROMO-RSTR     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,27646.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1903,EVENT SPNSRSHP/PROMO-RSTR     ,9999999,Revenue,99999,Revenue,45600192,TSF FM HOTEL MOTEL TAX CONTROL,1288906.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1902,FAIR CAPITAL IMPROV-RSTR      ,9999999,Revenue,99999,Revenue,45600091,TSF FM OCPPA-GEN PURP         ,897470.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1902,FAIR CAPITAL IMPROV-RSTR      ,9999999,Revenue,99999,Revenue,45600192,TSF FM HOTEL MOTEL TAX CONTROL,7733438.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1902,FAIR CAPITAL IMPROV-RSTR      ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,31724.000
022,ASSET FORFEITURE              ,0120,FED ASSET FORF-RSTR           ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,636106.000
022,ASSET FORFEITURE              ,0120,FED ASSET FORF-RSTR           ,9999999,Revenue,99999,Revenue,41000001,FED ASSET EQUIPMENT           ,100000.000
022,ASSET FORFEITURE              ,0120,FED ASSET FORF-RSTR           ,9999999,Revenue,99999,Revenue,41000003,FED ASSET RENTAL              ,3160.000
022,ASSET FORFEITURE              ,0120,FED ASSET FORF-RSTR           ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,6519.000
750,SPECIAL PURPOSE               ,1635,FEE IN LIEU OF SIDEWALKS-CMTD ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,359872.000
750,SPECIAL PURPOSE               ,1616,FIRE DEPT DONATIONS-RSTR      ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,581.000
750,SPECIAL PURPOSE               ,1616,FIRE DEPT DONATIONS-RSTR      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,23015.000
030,FIRE                          ,0150,FIRE SALES TAX-RSTR           ,9999999,Revenue,99999,Revenue,40000000,SALES TAX                     ,41997942.000
030,FIRE                          ,0150,FIRE SALES TAX-RSTR           ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,69447.000
030,FIRE                          ,0150,FIRE SALES TAX-RSTR           ,9999999,Revenue,99999,Revenue,43500011,RENTAL-COMMUNICATIONS TOWER   ,11979.000
030,FIRE                          ,0150,FIRE SALES TAX-RSTR           ,9999999,Revenue,99999,Revenue,45800002,SALE OF CITY PROPERTY         ,2353.000
030,FIRE                          ,0150,FIRE SALES TAX-RSTR           ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2554092.000
750,SPECIAL PURPOSE               ,1631,FIRE STATION-RSTR             ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2766.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500001,EQS CB-GENERAL FUND           ,3685155.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500002,EQS CB-FEDERAL GRANTS         ,13670.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500005,EQS CB-PARKING                ,2790.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500006,EQS CB-POLICE SPEC REV        ,1164053.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500007,EQS CB-DRAINAGE               ,730655.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500009,EQS CB-FUEL                   ,3873697.000
350,FLEET SERVICES                ,0455,FLEET SERVICES                ,9999999,Revenue,99999,Revenue,42500050,EQS CB-NON TARGET             ,50000.000
750,SPECIAL PURPOSE               ,1604,FRANK HATHAWAY ACCOUNT-RSTR   ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,65919.000
