FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description, FY2014 Adopted Budget , Amendments , FY2014 Amended Budget 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52340016,MACHINERY AND EQUIPMENT MTCE  ," 1,600 ", -   ," 1,600 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52370002,EMPLOYEE TRAVEL REIMBURSEMENT ," 30,960 ", -   ," 30,960 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52890001,OTHER SERVICES AND CHARGES    ," 2,250 ", -   ," 2,250 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,53010001,OFFICE SUPPLIES               ," 2,220 ", -   ," 2,220 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,53010007,COMPUTER SUPPLIES             ," 1,500 ", -   ," 1,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,53010016,NON-CAPITAL FURNITURE & FIXTUR, 250 , -   , 250 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,53890004,CLOTHING & OTHER              ," 1,000 ", -   ," 1,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,53890022,OTHER SUPPLIES                ," 3,500 ", -   ," 3,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,51000004,BUDGET-VACANCY DISCOUNT       , (525), -   , (525)
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,51010001,SALARIES AND WAGES            ," 24,035 ", -   ," 24,035 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,51070001,HEALTH AND WELFARE INSURANCE  ," 4,549 ", -   ," 4,549 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,51070004,RETIREMENT PENSION CONTRIB    ," 2,232 ", -   ," 2,232 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,52280004,CHARGEBACK-IT                 ," 154,802 ", -   ," 154,802 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400110,CITY MANAGER BUSINESS SERVICES,04001,City Managers Office,52280007,CHARGEBACK-RISK MANAGEMENT    ," 18,605 ", -   ," 18,605 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51000004,BUDGET-VACANCY DISCOUNT       ," (18,278)", -   ," (18,278)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51010001,SALARIES AND WAGES            ," 843,858 ", -   ," 843,858 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070001,HEALTH AND WELFARE INSURANCE  ," 71,658 ", -   ," 71,658 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070004,RETIREMENT PENSION CONTRIB    ," 70,070 ", -   ," 70,070 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51130004,CAR ALLOWANCE                 ," 20,300 ", -   ," 20,300 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51510004,EMPLOYEE PARKING              ," 2,090 ", -   ," 2,090 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52130001,MEMBERSHIPS                   ," 12,500 ", -   ," 12,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52280013,CHARGEBACK-PRINT SHOP         ," 1,297 ", -   ," 1,297 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290010,CHARGEBACK-POSTAGE            ," 2,566 ", -   ," 2,566 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290016,CHARGEBACK-COLOR COPIES       , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52340016,MACHINERY AND EQUIPMENT MTCE  ," 1,000 ", -   ," 1,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52550700,TRAINING/EDUCATION            ," 9,584 ", -   ," 9,584 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52890001,OTHER SERVICES AND CHARGES    ," 4,800 ", -   ," 4,800 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010001,OFFICE SUPPLIES               ," 9,000 ", -   ," 9,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010007,COMPUTER SUPPLIES             ," 3,000 ", -   ," 3,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890004,CLOTHING & OTHER              , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890022,OTHER SUPPLIES                ," 1,500 ", -   ," 1,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51000004,BUDGET-VACANCY DISCOUNT       ," (1,779)", -   ," (1,779)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51010001,SALARIES AND WAGES            ," 82,153 ", -   ," 82,153 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070001,HEALTH AND WELFARE INSURANCE  ," 6,824 ", -   ," 6,824 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070004,RETIREMENT PENSION CONTRIB    ," 6,800 ", -   ," 6,800 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51000004,BUDGET-VACANCY DISCOUNT       ," (5,094)", -   ," (5,094)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51010001,SALARIES AND WAGES            ," 233,041 ", -   ," 233,041 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51010004,PART TIME & TEMPORARY WAGES   ," 5,500 ", -   ," 5,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51070001,HEALTH AND WELFARE INSURANCE  ," 34,122 ", -   ," 34,122 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51070004,RETIREMENT PENSION CONTRIB    ," 21,648 ", -   ," 21,648 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51130004,CAR ALLOWANCE                 ," 3,000 ", -   ," 3,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,51510004,EMPLOYEE PARKING              ," 2,052 ", -   ," 2,052 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52010028,MISCELLANEOUS SRVCS CONTRACTS ," 96,500 ", -   ," 96,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52040046,PROFESSIONAL SERVICES-OTHER   ," 59,750 "," 11,500 "," 71,250 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52049001,EMPLOYEE TRAINING             ," 3,250 ", -   ," 3,250 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52130001,MEMBERSHIPS                   ," 2,450 ", -   ," 2,450 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52370002,EMPLOYEE TRAVEL REIMBURSEMENT ," 2,500 ", -   ," 2,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52890001,OTHER SERVICES AND CHARGES    ," 12,000 ", -   ," 12,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,53010001,OFFICE SUPPLIES               ," 3,547 ", -   ," 3,547 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51000004,BUDGET-VACANCY DISCOUNT       ," (13,576)", -   ," (13,576)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010001,SALARIES AND WAGES            ," 623,234 ", -   ," 623,234 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010004,PART TIME & TEMPORARY WAGES   ," 27,847 ", -   ," 27,847 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070001,HEALTH AND WELFARE INSURANCE  ," 108,051 ", -   ," 108,051 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070004,RETIREMENT PENSION CONTRIB    ," 55,550 ", -   ," 55,550 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51130010,MILEAGE REIMBURSEMENT         , 150 , -   , 150 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51510004,EMPLOYEE PARKING              ," 6,400 ", -   ," 6,400 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52040046,PROFESSIONAL SERVICES-OTHER   ," 1,100 "," 16,404 "," 17,504 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52049001,EMPLOYEE TRAINING             ," 1,000 ", -   ," 1,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130001,MEMBERSHIPS                   ," 1,500 ", -   ," 1,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130004,SUBSCRIPTIONS                 , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280013,CHARGEBACK-PRINT SHOP         ," 25,793 ", -   ," 25,793 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280019,CHARGEBACK-VEHICLE MAINTENANCE," 1,164 ", -   ," 1,164 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280022,CHARGEBACK FUEL               ," 1,040 ", -   ," 1,040 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290010,CHARGEBACK-POSTAGE            ," 2,400 ", -   ," 2,400 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290016,CHARGEBACK-COLOR COPIES       , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52310001,PRINTING & BINDING            , 574 , -   , 574 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52340016,MACHINERY AND EQUIPMENT MTCE  ," 2,080 ", -   ," 2,080 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52370002,EMPLOYEE TRAVEL REIMBURSEMENT ," 2,000 ", -   ," 2,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52890001,OTHER SERVICES AND CHARGES    ," 1,260 ", -   ," 1,260 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010001,OFFICE SUPPLIES               ," 2,985 ", -   ," 2,985 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010007,COMPUTER SUPPLIES             ," 2,640 ", -   ," 2,640 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010016,NON-CAPITAL FURNITURE & FIXTUR, 880 , -   , 880 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53040031,OTHER EQUIPMENT               ," 2,299 ", -   ," 2,299 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890004,CLOTHING & OTHER              , 100 , -   , 100 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890022,OTHER SUPPLIES                ," 2,640 ", -   ," 2,640 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51000004,BUDGET-VACANCY DISCOUNT       ," (2,018)", -   ," (2,018)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51010001,SALARIES AND WAGES            ," 93,126 ", -   ," 93,126 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070001,HEALTH AND WELFARE INSURANCE  ," 11,944 ", -   ," 11,944 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070004,RETIREMENT PENSION CONTRIB    ," 7,729 ", -   ," 7,729 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,52040046,PROFESSIONAL SERVICES-OTHER   , 400 , -   , 400 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,52310001,PRINTING & BINDING            , 100 , -   , 100 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,52890001,OTHER SERVICES AND CHARGES    , 240 , -   , 240 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53010001,OFFICE SUPPLIES               , 350 , -   , 350 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890004,CLOTHING & OTHER              ," 2,400 ", -   ," 2,400 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890010,FUNDRAISING MATERIALS         , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51000004,BUDGET-VACANCY DISCOUNT       ," (4,482)", -   ," (4,482)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51010001,SALARIES AND WAGES            ," 206,527 ", -   ," 206,527 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070001,HEALTH AND WELFARE INSURANCE  ," 18,199 ", -   ," 18,199 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070004,RETIREMENT PENSION CONTRIB    ," 17,539 ", -   ," 17,539 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51130004,CAR ALLOWANCE                 ," 2,320 ", -   ," 2,320 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,52890001,OTHER SERVICES AND CHARGES    ," 7,000 ", -   ," 7,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,53890022,OTHER SUPPLIES                ," 3,000 ", -   ," 3,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51000004,BUDGET-VACANCY DISCOUNT       ," (2,662)", -   ," (2,662)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51010001,SALARIES AND WAGES            ," 122,082 ", -   ," 122,082 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070001,HEALTH AND WELFARE INSURANCE  ," 14,785 ", -   ," 14,785 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070004,RETIREMENT PENSION CONTRIB    ," 11,084 ", -   ," 11,084 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51130004,CAR ALLOWANCE                 , 580 , -   , 580 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51000004,BUDGET-VACANCY DISCOUNT       ," (2,053)", -   ," (2,053)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51010001,SALARIES AND WAGES            ," 94,951 ", -   ," 94,951 "
