Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
017,0503,4200625,420,Police,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"3,482.34",ACTUALS,,"2,015"
001,0001,1000402,100,Municipal Court,51010001,51,Personnel Services,SALARIES AND WAGES,"75,239.26",ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,51010007,51,Personnel Services,OVERTIME WAGES,"1,466.66",ACTUALS,,"2,015"
001,0001,4200101,420,Police,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"19,759.60",ACTUALS,,"2,015"
001,0001,0400502,040,City Manager,51010016,51,Personnel Services,VACATION,"9,180.89",ACTUALS,,"2,015"
001,0001,0700202,070,Municipal Counselor,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"70,492.78",ACTUALS,,"2,015"
511,0800,5112203,511,Airport,51070002,51,Personnel Services,HMO ADMIN,133.16,ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,52010061,52,Professional Services,ITC MISCELLANEOUS,"54,612.70",ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,"94,532.44",ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,52340034,52,Professional Services,OTHER REPAIRS AND MAINTENANCE,"2,730.21",ACTUALS,,"2,015"
370,0480,3990703,399,Utilities,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,"4,644.95",ACTUALS,,"2,015"
020,0100,4200732,420,Police,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"39,344.38",ACTUALS,,"2,015"
001,0001,5800201,580,Development Services,52340013,52,Professional Services,NONTARGET REPAIR LABOR,174.00,ACTUALS,,"2,015"
399,3001,3990503,399,Utilities,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"34,119.89",ACTUALS,,"2,015"
001,0001,5500516,550,Parks,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"6,955.86",ACTUALS,,"2,015"
001,0001,1000101,100,Municipal Court,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,181.00,ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"42,220.01",ACTUALS,,"2,015"
330,0075,3301106,330,Public Works,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"9,160.00",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"4,894.98",ACTUALS,,"2,015"
001,0001,5800403,580,Development Services,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,246.08,ACTUALS,,"2,015"
001,0001,5800501,580,Development Services,59010037,59,Transfers,TRANSFER TO FEDERAL GRANTS,"3,680.87",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"36,155.01",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"52,470.09",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"6,748.65",ACTUALS,,"2,015"
001,0001,5500516,550,Parks,51010016,51,Personnel Services,VACATION,"7,261.90",ACTUALS,,"2,015"
039,0175,5503900,550,Parks,52044009,52,Professional Services,FEASIBILITY_STUDY,"62,315.00",ACTUALS,,"2,015"
001,0001,2400507,240,Planning,52550589,52,Professional Services,ECONOMIC DEVELOPEM,"238,003.77",ACTUALS,,"2,015"
001,0001,1000603,100,Municipal Court,51010013,51,Personnel Services,SICK LEAVE,"23,815.39",ACTUALS,,"2,015"
511,0800,5112502,511,Airport,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"10,152.27",ACTUALS,,"2,015"
001,0001,1600202,160,Personnel,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"11,295.85",ACTUALS,,"2,015"
001,0001,1900202,190,City Clerk,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"10,832.49",ACTUALS,,"2,015"
051,0281,9805200,980,Non Departmental,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"10,120.50",ACTUALS,,"2,015"
001,0001,1000402,100,Municipal Court,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"8,532.53",ACTUALS,,"2,015"
250,0460,2500110,250,Information Technology,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,175.21,ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"22,079.41",ACTUALS,,"2,015"
001,0001,1000602,100,Municipal Court,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"263,474.89",ACTUALS,,"2,015"
001,0001,4200843,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,"1,027.41",ACTUALS,,"2,015"
022,0121,4200733,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,"2,364.57",ACTUALS,,"2,015"
022,0121,4200731,420,Police,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"8,211.20",ACTUALS,,"2,015"
001,0001,1900204,190,City Clerk,51070002,51,Personnel Services,HMO ADMIN,23.71,ACTUALS,,"2,015"
065,5150,5200110,520,Public Transportation,51070003,51,Personnel Services,INDEMNITY ADMIN,1.43,ACTUALS,,"2,015"
001,0001,5500410,550,Parks,51010007,51,Personnel Services,OVERTIME WAGES,0.00,ACTUALS,,"2,015"
001,0001,0700702,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"11,101.00",ACTUALS,,"2,015"
001,0001,1000602,100,Municipal Court,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"22,893.60",ACTUALS,,"2,015"
001,0001,4500101,450,Fire,51010013,51,Personnel Services,SICK LEAVE,"22,614.18",ACTUALS,,"2,015"
750,1642,5502032,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,"19,939.28",ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"271,801.72",ACTUALS,,"2,015"
001,0001,1600302,160,Personnel,51010013,51,Personnel Services,SICK LEAVE,"1,896.60",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,51130004,51,Personnel Services,CAR ALLOWANCE,150.89,ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"16,373.86",ACTUALS,,"2,015"
003,2050,3305302,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,956.71,ACTUALS,,"2,015"
511,0800,5112302,511,Airport,53010001,53,Materials and Supplies,OFFICE SUPPLIES,282.18,ACTUALS,,"2,015"
022,0121,4200625,420,Police,53890022,53,Materials and Supplies,OTHER SUPPLIES,"28,187.65",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,51010013,51,Personnel Services,SICK LEAVE,"43,304.71",ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,52220016,52,Professional Services,EXPENDITURE REIMBURSEMENTS,65.35,ACTUALS,,"2,015"
399,3001,3990203,399,Utilities,51010016,51,Personnel Services,VACATION,"79,818.59",ACTUALS,,"2,015"
001,0001,5500518,550,Parks,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,597.50",ACTUALS,,"2,015"
001,0001,5500314,550,Parks,53010001,53,Materials and Supplies,OFFICE SUPPLIES,300.93,ACTUALS,,"2,015"
250,0460,2501404,250,Information Technology,51010001,51,Personnel Services,SALARIES AND WAGES,"412,386.70",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,996.66,ACTUALS,,"2,015"
001,0001,0100101,010,Mayor and Council,51010016,51,Personnel Services,VACATION,"6,276.38",ACTUALS,,"2,015"
001,0001,3300801,330,Public Works,52070001,52,Professional Services,ELECTRICITY,"1,981.03",ACTUALS,,"2,015"
399,3001,3990101,399,Utilities,51010001,51,Personnel Services,SALARIES AND WAGES,"134,914.31",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,51070003,51,Personnel Services,INDEMNITY ADMIN,674.76,ACTUALS,,"2,015"
001,0001,5500207,550,Parks,51010013,51,Personnel Services,SICK LEAVE,"2,117.43",ACTUALS,,"2,015"
001,0001,4500303,450,Fire,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"8,143.14",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,18.96,ACTUALS,,"2,015"
001,0001,0700301,070,Municipal Counselor,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"139,407.31",ACTUALS,,"2,015"
001,0001,4200731,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"726,320.09",ACTUALS,,"2,015"
001,0001,4200733,420,Police,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"29,616.00",ACTUALS,,"2,015"
001,0001,3300513,330,Public Works,51510004,51,Personnel Services,EMPLOYEE PARKING,"5,627.79",ACTUALS,,"2,015"
001,0001,1900203,190,City Clerk,53010001,53,Materials and Supplies,OFFICE SUPPLIES,783.00,ACTUALS,,"2,015"
750,1616,4507001,450,Fire,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,977.00",ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,52070001,52,Professional Services,ELECTRICITY,"96,851.62",ACTUALS,,"2,015"
330,0075,3301101,330,Public Works,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,134.92,ACTUALS,,"2,015"
250,0460,2501303,250,Information Technology,51010001,51,Personnel Services,SALARIES AND WAGES,"150,649.71",ACTUALS,,"2,015"
399,3001,3990506,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"69,264.48",ACTUALS,,"2,015"
330,0075,3301111,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"2,480.17",ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,53010004,53,Materials and Supplies,GRAPHICS SUPPLIES,34.60,ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"6,517.36",ACTUALS,,"2,015"
003,2137,3305401,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"5,144.25",ACTUALS,,"2,015"
399,3001,3990302,399,Utilities,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"10,903.29",ACTUALS,,"2,015"
003,2127,3305103,330,Public Works,52044002,52,Professional Services,NON-CAPITAL A&E,"8,199.50",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,52049001,52,Professional Services,EMPLOYEE TRAINING,"7,605.02",ACTUALS,,"2,015"
019,6200,3509000,350,General Services,54164010,54,Capital Purchase,EQUIPMENT,"11,973.05",ACTUALS,,"2,015"
001,0001,4200731,420,Police,51010016,51,Personnel Services,VACATION,"800,327.63",ACTUALS,,"2,015"
003,2070,3305410,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,81.01,ACTUALS,,"2,015"
001,0001,5500515,550,Parks,52070007,52,Professional Services,NATURAL GAS,949.99,ACTUALS,,"2,015"
030,0150,4500201,450,Fire,59010037,59,Transfers,TRANSFER TO FEDERAL GRANTS,"14,235.49",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"7,868.79",ACTUALS,,"2,015"
039,0175,3503900,350,General Services,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"2,043.76",ACTUALS,,"2,015"
001,0003,1000302,100,Municipal Court,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"43,208.97",ACTUALS,,"2,015"
017,0503,4200841,420,Police,52049001,52,Professional Services,EMPLOYEE TRAINING,"13,053.00",ACTUALS,,"2,015"
250,0460,2501502,250,Information Technology,53890022,53,Materials and Supplies,OTHER SUPPLIES,377.72,ACTUALS,,"2,015"
019,6160,4209009,420,Police,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"23,465.50",ACTUALS,,"2,015"
003,2127,3305002,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"29,436.48",ACTUALS,,"2,015"
001,0001,4500101,450,Fire,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"28,735.37",ACTUALS,,"2,015"
285,0465,2800110,280,Finance,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES,30.90,ACTUALS,,"2,015"
250,0460,2501304,250,Information Technology,51070003,51,Personnel Services,INDEMNITY ADMIN,155.05,ACTUALS,,"2,015"
001,0001,3300802,330,Public Works,52130001,52,Professional Services,MEMBERSHIPS,745.00,ACTUALS,,"2,015"
511,0800,5112202,511,Airport,51070003,51,Personnel Services,INDEMNITY ADMIN,486.56,ACTUALS,,"2,015"
715,1778,0406109,040,City Manager,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"1,989,592.28",ACTUALS,,"2,015"
003,2097,3305301,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"5,800.00",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,250.00,ACTUALS,,"2,015"
001,0001,4200625,420,Police,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"1,491.41",ACTUALS,,"2,015"
001,0001,3300901,330,Public Works,52310001,52,Professional Services,PRINTING & BINDING,324.50,ACTUALS,,"2,015"
001,0001,5500515,550,Parks,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,0.42,ACTUALS,,"2,015"
001,0001,0400503,040,City Manager,51010001,51,Personnel Services,SALARIES AND WAGES,"83,672.75",ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52040022,52,Professional Services,CONSULTING SERVICE,"55,590.00",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,"3,390.84",ACTUALS,,"2,015"
019,6140,2408000,240,Planning,52280022,52,Professional Services,CHARGEBACK FUEL,"2,964.61",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,318.49,ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"29,597.74",ACTUALS,,"2,015"
399,3501,3990603,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"34,430.72",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,51010001,51,Personnel Services,SALARIES AND WAGES,"1,710,705.36",ACTUALS,,"2,015"
019,6140,2408070,240,Planning,51010007,51,Personnel Services,OVERTIME WAGES,-130.95,ACTUALS,,"2,015"
017,0503,4200841,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,318.25,ACTUALS,,"2,015"
399,3001,3990402,399,Utilities,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"3,679.38",ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,51010013,51,Personnel Services,SICK LEAVE,"8,838.76",ACTUALS,,"2,015"
330,0075,3301110,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"84,422.00",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,53040014,53,Materials and Supplies,MAINTENANCE SUPPLIES,954.43,ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,765.55,ACTUALS,,"2,015"
001,0001,4200621,420,Police,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-123.86,ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,51070002,51,Personnel Services,HMO ADMIN,288.75,ACTUALS,,"2,015"
001,0001,1000602,100,Municipal Court,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"13,305.72",ACTUALS,,"2,015"
