FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51010004,PART TIME & TEMPORARY WAGES,25500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280001,CHARGEBACK-ADMIN SRVCS,885868
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280004,CHARGEBACK-IT,402123
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280013,CHARGEBACK-PRINT SHOP,2499
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52340019,BUILDING MAINTENANCE,200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52010028,MISCELLANEOUS SRVCS CONTRACTS,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52130001,MEMBERSHIPS,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53010001,OFFICE SUPPLIES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53010016,NON-CAPITAL FURNITURE & FIXTUR,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010004,GRAPHICS SUPPLIES,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040041,PAVEMENT MARKING MATERIALS,89712
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52100001,LICENSES,100
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53010004,GRAPHICS SUPPLIES,100
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51130010,MILEAGE REIMBURSEMENT,700
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52000004,BUDGET-CONTINGENCY,336882
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52130001,MEMBERSHIPS,4000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52310004,POSTAGE,6000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52340016,MACHINERY AND EQUIPMENT MTCE,3000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52400007,OTHER EQUIPMENT RENTAL,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52890001,OTHER SERVICES AND CHARGES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010001,OFFICE SUPPLIES,9000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010013,NON-CAPITAL OFFICE MACHINES,1500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010016,NON-CAPITAL FURNITURE & FIXTUR,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53040013,REPAIR & MAINTENANCE PARTS,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53890004,CLOTHING & OTHER,225
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53890022,OTHER SUPPLIES,6000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,53890004,CLOTHING & OTHER,625
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,52280025,CHARGEBACK -POLICE,2968220
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,53890020,PHOTOGRAPHIC,100
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,53890022,OTHER SUPPLIES,7000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,51010007,OVERTIME WAGES,1300
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52130001,MEMBERSHIPS,211
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,300
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52400007,OTHER EQUIPMENT RENTAL,460
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52890001,OTHER SERVICES AND CHARGES,20
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53010001,OFFICE SUPPLIES,800
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53010016,NON-CAPITAL FURNITURE & FIXTUR,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040013,REPAIR & MAINTENANCE PARTS,400
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040025,SMALL TOOLS & MINOR EQUIP,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040031,OTHER EQUIPMENT,200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53890004,CLOTHING & OTHER,3350
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,51010007,OVERTIME WAGES,4056
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52070007,NATURAL GAS,18000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52100001,LICENSES,100
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52400007,OTHER EQUIPMENT RENTAL,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52890001,OTHER SERVICES AND CHARGES,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53010001,OFFICE SUPPLIES,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040013,REPAIR & MAINTENANCE PARTS,90000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040025,SMALL TOOLS & MINOR EQUIP,4800
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040031,OTHER EQUIPMENT,10000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53890004,CLOTHING & OTHER,15200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53890022,OTHER SUPPLIES,10000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51010004,PART TIME & TEMPORARY WAGES,8000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,15000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52070007,NATURAL GAS,160000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52100001,LICENSES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52340019,BUILDING MAINTENANCE,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52890001,OTHER SERVICES AND CHARGES,10000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010001,OFFICE SUPPLIES,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010013,NON-CAPITAL OFFICE MACHINES,250
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010016,NON-CAPITAL FURNITURE & FIXTUR,200
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040001,JANITOR SUPPLIES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,100000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040031,OTHER EQUIPMENT,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53890004,CLOTHING & OTHER,11000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53890022,OTHER SUPPLIES,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51130007,TOOL ALLOWANCE,1700
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,7000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52340034,OTHER REPAIRS AND MAINTENANCE,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52890001,OTHER SERVICES AND CHARGES,3000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,100000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,3000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040031,OTHER EQUIPMENT,13000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53890022,OTHER SUPPLIES,1500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,54165004,VEHICLES,500000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51010004,PART TIME & TEMPORARY WAGES,40000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,52010028,MISCELLANEOUS SRVCS CONTRACTS,400
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,10000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53890004,CLOTHING & OTHER,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53890022,OTHER SUPPLIES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,51010007,OVERTIME WAGES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,52340034,OTHER REPAIRS AND MAINTENANCE,1500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,250
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,52890001,OTHER SERVICES AND CHARGES,250
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,14750
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,750
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53040031,OTHER EQUIPMENT,250
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53890004,CLOTHING & OTHER,2250
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53890022,OTHER SUPPLIES,1750
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51010004,PART TIME & TEMPORARY WAGES,18000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51010007,OVERTIME WAGES,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51070004,RETIREMENT PENSION CONTRIB,48891
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51010001,SALARIES AND WAGES,766162
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51070001,HEALTH AND WELFARE INSURANCE,92164
