budget_year,account_type,department,fund_code,account_category,amount
FY15-16,Expense,Mayor,2252,,18864
FY15-16,Expense,Mayor,1010,,22000
FY15-16,Expense,Mayor,1010,,488524
FY15-16,Expense,Mayor,1010,,8430
FY15-16,Expense,Mayor,1010,,247300
FY15-16,Expense,Mayor,1010,,2100
FY15-16,Expense,Mayor,1010,,680
FY15-16,Expense,Mayor,2216,,27480
FY15-16,Expense,Mayor,1010,,700
FY15-16,Expense,Mayor,1010,,17441
FY15-16,Expense,Mayor,1010,,3200
FY15-16,Expense,Mayor,2252,,37378
FY15-16,Expense,Mayor,1010,,1015998
FY15-16,Expense,Mayor,1010,,416131
FY15-16,Expense,Mayor,1010,,18627
FY15-16,Expense,Mayor,1010,,4179
FY15-16,Expense,Mayor,1010,,1710
FY15-16,Expense,Mayor,1010,,570
FY15-16,Expense,Mayor,1010,,1400
FY15-16,Expense,Mayor,1010,,22000
FY15-16,Expense,Mayor,1010,,561
FY15-16,Expense,Mayor,2216,,46692
FY15-16,Expense,Mayor,2252,,11102
FY15-16,Expense,Mayor,2216,,39528
FY15-16,Expense,Mayor,1010,,970
FY15-16,Expense,Mayor,1010,,600
FY15-16,Expense,Mayor,2216,,92520
FY15-16,Expense,Mayor,1010,,6500
FY15-16,Expense,City Administrator,1770,,25000
FY15-16,Expense,City Administrator,1010,,3150
FY15-16,Expense,City Administrator,1010,,647436
FY15-16,Expense,City Administrator,1010,,3589
FY15-16,Expense,City Administrator,2250,,5000
FY15-16,Expense,City Administrator,1610,,91470
FY15-16,Expense,City Administrator,1010,,625109
FY15-16,Expense,City Administrator,1010,,850
FY15-16,Expense,City Administrator,2999,,-239216
FY15-16,Expense,City Administrator,2999,,107323
FY15-16,Expense,City Administrator,2252,,5160
FY15-16,Expense,City Administrator,1010,,13345
FY15-16,Expense,City Administrator,1610,,8870
FY15-16,Expense,City Administrator,1610,,1768
FY15-16,Expense,City Administrator,2999,,31877
FY15-16,Expense,City Administrator,2999,,45853
FY15-16,Expense,City Administrator,1010,,59640
FY15-16,Expense,City Administrator,1010,,215760
FY15-16,Expense,City Administrator,1750,,9176
FY15-16,Expense,City Administrator,1760,,14280
FY15-16,Expense,City Administrator,1010,,130000
FY15-16,Expense,City Administrator,2415,,8906
FY15-16,Expense,City Administrator,1610,,660
FY15-16,Expense,City Administrator,1010,,50008
FY15-16,Expense,City Administrator,2252,,17371
FY15-16,Expense,City Administrator,1010,,89913
FY15-16,Expense,City Administrator,1010,,3500
FY15-16,Expense,City Administrator,1010,,381043
FY15-16,Expense,City Administrator,1010,,1213
FY15-16,Expense,City Administrator,1750,,21478
FY15-16,Expense,City Administrator,1760,,12089
FY15-16,Expense,City Administrator,1010,,3000
FY15-16,Expense,City Administrator,2999,,54163
FY15-16,Expense,City Administrator,1010,,1350
FY15-16,Expense,City Administrator,1010,,2400
FY15-16,Expense,City Administrator,1760,,28296
FY15-16,Expense,City Administrator,1010,,19197
FY15-16,Expense,City Administrator,1010,,300
FY15-16,Expense,City Administrator,1010,,4200
FY15-16,Expense,City Administrator,2415,,28874
FY15-16,Expense,City Administrator,1010,,40956
FY15-16,Expense,City Administrator,1010,,374
FY15-16,Expense,City Administrator,1610,,15000
FY15-16,Expense,City Administrator,1610,,176
FY15-16,Expense,City Administrator,1610,,102
FY15-16,Expense,City Administrator,1010,,23711
FY15-16,Expense,City Administrator,1010,,680
FY15-16,Expense,City Administrator,1010,,48379
FY15-16,Expense,City Administrator,1760,,8405
FY15-16,Expense,City Administrator,1010,,75000
FY15-16,Expense,City Administrator,1010,,500
FY15-16,Expense,City Administrator,2415,,97211
FY15-16,Expense,City Administrator,1010,,26705
FY15-16,Expense,City Administrator,1610,,7896
FY15-16,Expense,City Administrator,1010,,1000
FY15-16,Expense,City Administrator,2415,,49058
FY15-16,Expense,City Administrator,2415,,240
FY15-16,Expense,City Administrator,1010,,9450
FY15-16,Expense,City Administrator,2252,,20352
FY15-16,Expense,City Administrator,2415,,41532
FY15-16,Expense,City Administrator,1750,,6379
FY15-16,Expense,City Administrator,1760,,1260
FY15-16,Expense,City Administrator,1010,,22676
FY15-16,Expense,City Administrator,2415,,25000
FY15-16,Expense,City Administrator,1610,,29545
FY15-16,Expense,City Administrator,1010,,480
FY15-16,Expense,City Administrator,2252,,7422
FY15-16,Expense,City Administrator,1010,,17235
FY15-16,Expense,City Administrator,2417,,433163
FY15-16,Expense,City Administrator,1010,,520
FY15-16,Expense,City Administrator,1010,,630
FY15-16,Expense,City Administrator,2415,,10520
FY15-16,Expense,City Administrator,1750,,40
FY15-16,Expense,City Administrator,2415,,22666
FY15-16,Expense,City Administrator,1010,,1700
FY15-16,Expense,City Administrator,1010,,30770
FY15-16,Expense,City Administrator,1010,,45376
FY15-16,Expense,City Administrator,1010,,2970
FY15-16,Expense,City Administrator,1610,,49770
FY15-16,Expense,City Administrator,1010,,550000
FY15-16,Expense,City Administrator,1010,,4240
FY15-16,Expense,City Administrator,2252,,11978
FY15-16,Expense,City Administrator,1010,,1170
FY15-16,Expense,City Administrator,2252,,310047
FY15-16,Expense,City Administrator,1010,,680
FY15-16,Expense,City Administrator,2252,,175898
FY15-16,Expense,City Administrator,2252,,17230
FY15-16,Expense,City Administrator,1010,,750
FY15-16,Expense,City Administrator,1010,,18480
FY15-16,Expense,City Administrator,1010,,95863
FY15-16,Expense,City Administrator,1610,,80000
FY15-16,Expense,City Administrator,1760,,3810
FY15-16,Expense,City Administrator,1010,,106071
FY15-16,Expense,City Administrator,1010,,1282891
FY15-16,Expense,City Administrator,2252,,40328
FY15-16,Expense,City Administrator,1010,,1814
FY15-16,Expense,City Administrator,1610,,214094
FY15-16,Expense,City Administrator,1610,,63591
FY15-16,Expense,City Administrator,1750,,4214
FY15-16,Expense,City Administrator,2415,,2798
FY15-16,Expense,City Administrator,1010,,18774
FY15-16,Expense,City Administrator,1750,,10839
FY15-16,Expense,City Administrator,2415,,6192
FY15-16,Expense,City Administrator,1010,,100
FY15-16,Expense,City Administrator,2415,,20845
FY15-16,Expense,City Administrator,1010,,7500
FY15-16,Expense,City Administrator,2252,,351
FY15-16,Expense,City Administrator,1010,,2488
FY15-16,Expense,City Administrator,1010,,28473
FY15-16,Expense,City Administrator,1010,,150000
FY15-16,Expense,City Administrator,2415,,25000
FY15-16,Expense,City Administrator,1610,,6044
FY15-16,Expense,City Administrator,1610,,108046
FY15-16,Expense,City Administrator,2412,,5000
FY15-16,Expense,City Administrator,1010,,270740
FY15-16,Expense,City Administrator,1010,,548099
FY15-16,Expense,City Administrator,2252,,204
FY15-16,Expense,City Administrator,2252,,8767
FY15-16,Expense,City Administrator,1610,,20175
FY15-16,Expense,City Administrator,1750,,368
FY15-16,Expense,City Administrator,1010,,5750
FY15-16,Expense,City Administrator,2415,,840
FY15-16,Expense,City Administrator,1010,,1000
FY15-16,Expense,City Administrator,1010,,800
FY15-16,Expense,City Administrator,1010,,5850
FY15-16,Expense,City Administrator,1010,,500
FY15-16,Expense,City Administrator,7760,,25000
FY15-16,Expense,City Administrator,1010,,38414
FY15-16,Expense,City Administrator,1010,,44932
FY15-16,Expense,City Administrator,1010,,75000
FY15-16,Expense,City Administrator,1010,,147910
FY15-16,Expense,City Administrator,1010,,212754
FY15-16,Expense,City Administrator,1010,,26733
FY15-16,Expense,City Administrator,1010,,650
FY15-16,Expense,City Administrator,1010,,2320
FY15-16,Expense,City Administrator,1010,,310
FY15-16,Expense,City Administrator,1010,,41
FY15-16,Expense,City Administrator,1010,,1170
FY15-16,Expense,City Administrator,1010,,70000
FY15-16,Expense,City Administrator,1010,,4200
FY15-16,Expense,City Administrator,1010,,251315
FY15-16,Expense,City Administrator,1010,,45423
FY15-16,Expense,City Administrator,1010,,4959
FY15-16,Expense,City Administrator,1010,,90005
FY15-16,Expense,City Administrator,1010,,10890
FY15-16,Expense,City Administrator,1010,,497978
FY15-16,Expense,City Administrator,1010,,38453
FY15-16,Expense,City Administrator,1010,,100000
FY15-16,Expense,City Administrator,1010,,71541
FY15-16,Expense,City Administrator,1010,,1010
FY15-16,Expense,City Administrator,1010,,2580
FY15-16,Expense,City Administrator,1010,,1000
FY15-16,Expense,City Administrator,1010,,2400
FY15-16,Expense,City Administrator,1010,,180
FY15-16,Expense,City Administrator,1010,,200
FY15-16,Expense,City Administrator,1010,,560
FY15-16,Expense,City Administrator,1010,,4790
FY15-16,Expense,City Administrator,1010,,90
FY15-16,Expense,City Administrator,1010,,42104
FY15-16,Expense,City Administrator,1010,,930
FY15-16,Expense,City Administrator,1010,,30
FY15-16,Expense,City Administrator,1010,,60564
FY15-16,Expense,City Administrator,1010,,190
FY15-16,Expense,City Administrator,1010,,50
FY15-16,Expense,City Administrator,1010,,2000
FY15-16,Expense,City Administrator,1010,,420
FY15-16,Expense,City Administrator,1010,,141758
FY15-16,Expense,City Administrator,1010,,200
FY15-16,Expense,City Administrator,1010,,1250
FY15-16,Expense,City Administrator,1010,,2000
FY15-16,Expense,City Administrator,1010,,360
FY15-16,Expense,City Administrator,1010,,1650
FY15-16,Expense,City Administrator,1010,,159574
FY15-16,Expense,City Administrator,1010,,5000
FY15-16,Expense,City Administrator,1010,,1000
FY15-16,Expense,City Administrator,1010,,750
FY15-16,Expense,City Administrator,1010,,373504
FY15-16,Expense,City Administrator,1010,,188496
FY15-16,Expense,City Administrator,1010,,130
FY15-16,Expense,City Administrator,1010,,8400
FY15-16,Expense,City Administrator,1010,,200
FY15-16,Expense,City Administrator,1010,,90
FY15-16,Expense,City Administrator,1010,,110937
FY15-16,Expense,City Administrator,1010,,110
FY15-16,Expense,City Administrator,1010,,250
FY15-16,Expense,City Administrator,1010,,200
FY15-16,Expense,City Administrator,1010,,200
FY15-16,Expense,City Administrator,1010,,100000
FY15-16,Expense,City Administrator,1010,,13710
FY15-16,Expense,City Administrator,1010,,2165
FY15-16,Expense,City Administrator,1010,,1443
FY15-16,Expense,City Administrator,1010,,3000
FY15-16,Expense,City Administrator,1010,,17480
FY15-16,Expense,City Administrator,1010,,10000
FY15-16,Expense,City Administrator,1010,,31750
FY15-16,Expense,City Administrator,1010,,4744
FY15-16,Expense,City Administrator,1010,,84720
FY15-16,Expense,City Administrator,1010,,3537
FY15-16,Expense,City Administrator,1010,,1443
FY15-16,Expense,City Administrator,1010,,723
FY15-16,Expense,City Administrator,1010,,485130
FY15-16,Expense,City Administrator,1010,,122299
FY15-16,Expense,City Administrator,1010,,10175
FY15-16,Expense,City Administrator,1010,,341479
FY15-16,Expense,City Administrator,1010,,12267
FY15-16,Expense,City Administrator,1010,,1135512
FY15-16,Expense,City Administrator,1010,,12285
FY15-16,Expense,City Administrator,1010,,2600
FY15-16,Expense,City Administrator,1010,,14000
FY15-16,Expense,City Administrator,1010,,389507
FY15-16,Expense,City Administrator,1010,,581221
FY15-16,Expense,City Administrator,1010,,130000
FY15-16,Expense,City Administrator,1010,,8659
FY15-16,Expense,City Administrator,1010,,150000
FY15-16,Expense,City Administrator,1010,,3030
FY15-16,Expense,City Administrator,1010,,9010
FY15-16,Expense,City Administrator,1010,,104985
FY15-16,Expense,City Administrator,1010,,3380
FY15-16,Expense,City Administrator,1010,,80
FY15-16,Expense,City Administrator,1010,,1500
FY15-16,Expense,City Administrator,1010,,1295
FY15-16,Expense,City Administrator,1010,,72986
FY15-16,Expense,City Administrator,1010,,124013
FY15-16,Expense,City Administrator,1010,,1880
FY15-16,Expense,City Administrator,1010,,53400
FY15-16,Expense,City Administrator,1010,,10340
FY15-16,Expense,City Administrator,1010,,2430
FY15-16,Expense,City Administrator,1010,,15521
FY15-16,Expense,City Administrator,1010,,3900
FY15-16,Expense,City Administrator,1010,,250000
FY15-16,Expense,City Administrator,1010,,245731
FY15-16,Expense,City Administrator,1010,,1058
FY15-16,Expense,City Administrator,1010,,26373
FY15-16,Expense,City Administrator,1010,,22326
FY15-16,Expense,City Administrator,1010,,4200
FY15-16,Expense,City Administrator,1010,,1593
FY15-16,Expense,City Administrator,1010,,52258
FY15-16,Expense,City Administrator,1010,,16109
FY15-16,Expense,City Administrator,1010,,175432
FY15-16,Expense,City Administrator,5671,,12903
FY15-16,Expense,City Administrator,5671,,33185
FY15-16,Expense,City Administrator,1010,,24739
FY15-16,Expense,City Administrator,5671,,1542
FY15-16,Expense,City Administrator,1010,,13638
FY15-16,Expense,City Administrator,5671,,65756
FY15-16,Expense,City Administrator,5671,,140
FY15-16,Expense,City Administrator,5671,,28094
FY15-16,Expense,City Administrator,1010,,31920
FY15-16,Expense,City Administrator,1010,,29223
FY15-16,Expense,City Administrator,1010,,410615
FY15-16,Expense,City Administrator,1010,,2522
FY15-16,Expense,City Administrator,1010,,6226
FY15-16,Expense,City Administrator,1010,,121960
FY15-16,Expense,City Administrator,1010,,17199
FY15-16,Expense,City Administrator,1010,,240
FY15-16,Expense,City Administrator,1010,,57905
FY15-16,Expense,City Administrator,1010,,207225
FY15-16,Expense,City Administrator,5671,,19531
FY15-16,Expense,City Administrator,1010,,9481
FY15-16,Expense,City Administrator,1010,,5000
FY15-16,Expense,City Administrator,1010,,4200
FY15-16,Expense,City Administrator,1010,,105356
FY15-16,Expense,City Administrator,1010,,151546
FY15-16,Expense,City Administrator,1010,,9518
FY15-16,Expense,City Administrator,1010,,50000
FY15-16,Expense,City Administrator,1010,,1000
FY15-16,Expense,City Administrator,1010,,354714
FY15-16,Expense,City Administrator,1010,,179014
FY15-16,Expense,City Administrator,1010,,-28805
FY15-16,Expense,City Administrator,1010,,700
FY15-16,Expense,City Administrator,1010,,46600
FY15-16,Expense,City Administrator,1010,,2000
FY15-16,Expense,City Administrator,1010,,500
FY15-16,Expense,City Administrator,1010,,6295
FY15-16,Expense,City Administrator,4200,,8141
FY15-16,Expense,City Administrator,1610,,10435
FY15-16,Expense,City Administrator,4200,,6892
FY15-16,Expense,City Administrator,4200,,4791
FY15-16,Expense,City Administrator,2310,,25089
FY15-16,Expense,City Administrator,1010,,500
FY15-16,Expense,City Administrator,1010,,1200
FY15-16,Expense,City Administrator,4200,,16131
FY15-16,Expense,City Administrator,2250,,4492
FY15-16,Expense,City Administrator,2252,,18000
FY15-16,Expense,City Administrator,1010,,106123
FY15-16,Expense,City Administrator,1010,,10070
FY15-16,Expense,City Administrator,1610,,24425
FY15-16,Expense,City Administrator,1010,,180317
FY15-16,Expense,City Administrator,1010,,8410
FY15-16,Expense,City Administrator,1010,,399
FY15-16,Expense,City Administrator,2241,,17657
FY15-16,Expense,City Administrator,1010,,2250
FY15-16,Expense,City Administrator,1610,,12327
FY15-16,Expense,City Administrator,1010,,9290
FY15-16,Expense,City Administrator,2412,,4453
FY15-16,Expense,City Administrator,1010,,2125
FY15-16,Expense,City Administrator,1010,,750
FY15-16,Expense,City Administrator,2310,,884
FY15-16,Expense,City Administrator,5130,,3320
FY15-16,Expense,City Administrator,1010,,875
FY15-16,Expense,City Administrator,1610,,7255
FY15-16,Expense,City Administrator,1010,,5000
FY15-16,Expense,City Administrator,1010,,7950
FY15-16,Expense,City Administrator,1010,,357296
FY15-16,Expense,City Administrator,1010,,500
FY15-16,Expense,City Administrator,1010,,6935
FY15-16,Expense,City Administrator,1010,,152650
FY15-16,Expense,City Administrator,1010,,250
FY15-16,Expense,City Clerk,1010,,990
FY15-16,Expense,City Clerk,1010,,178435
FY15-16,Expense,City Clerk,1010,,720
FY15-16,Expense,City Clerk,1010,,22500
FY15-16,Expense,City Clerk,1010,,1770
FY15-16,Expense,City Clerk,1010,,2320
FY15-16,Expense,City Clerk,1610,,6252
FY15-16,Expense,City Clerk,1010,,380
FY15-16,Expense,City Clerk,1010,,700
FY15-16,Expense,City Clerk,1010,,580
FY15-16,Expense,City Clerk,1610,,420
FY15-16,Expense,City Clerk,1010,,1170
FY15-16,Expense,City Clerk,1010,,350
FY15-16,Expense,City Clerk,1010,,440
FY15-16,Expense,City Clerk,1010,,520
FY15-16,Expense,City Clerk,1010,,10340
FY15-16,Expense,City Clerk,1010,,2440
FY15-16,Expense,City Clerk,1010,,270
FY15-16,Expense,City Clerk,1010,,20350
FY15-16,Expense,City Clerk,1610,,559
FY15-16,Expense,City Clerk,1010,,250
FY15-16,Expense,City Clerk,1010,,490
FY15-16,Expense,City Clerk,1010,,2600
FY15-16,Expense,City Clerk,1010,,12127
FY15-16,Expense,City Clerk,1010,,610
FY15-16,Expense,City Clerk,1010,,4460
FY15-16,Expense,City Clerk,1010,,112028
FY15-16,Expense,City Clerk,1010,,1120
FY15-16,Expense,City Clerk,1010,,660
FY15-16,Expense,City Clerk,1010,,132332
FY15-16,Expense,City Clerk,1610,,2009
FY15-16,Expense,City Clerk,1010,,1830
FY15-16,Expense,City Clerk,1010,,90
FY15-16,Expense,City Clerk,1010,,2680
FY15-16,Expense,City Clerk,1010,,180
FY15-16,Expense,City Clerk,1010,,1390
FY15-16,Expense,City Clerk,1010,,77883
FY15-16,Expense,City Clerk,1010,,850
FY15-16,Expense,City Clerk,1010,,810
FY15-16,Expense,City Clerk,1010,,29626
FY15-16,Expense,City Clerk,1610,,4702
FY15-16,Expense,City Clerk,1610,,10624
FY15-16,Expense,City Clerk,1010,,800
FY15-16,Expense,City Clerk,1610,,50
FY15-16,Expense,City Clerk,1010,,1020
FY15-16,Expense,City Clerk,1010,,130
FY15-16,Expense,City Clerk,1010,,99747
FY15-16,Expense,City Clerk,1610,,9069
FY15-16,Expense,City Clerk,1010,,1050
FY15-16,Expense,City Clerk,1010,,4750
FY15-16,Expense,City Clerk,1610,,2373
FY15-16,Expense,City Clerk,1010,,5220
FY15-16,Expense,City Clerk,1610,,1396
FY15-16,Expense,City Clerk,1010,,67760
FY15-16,Expense,City Clerk,1010,,52956
FY15-16,Expense,City Clerk,1010,,720
FY15-16,Expense,City Clerk,1010,,1080
FY15-16,Expense,City Clerk,1010,,150
FY15-16,Expense,City Clerk,1610,,8994
FY15-16,Expense,City Clerk,1010,,250
FY15-16,Expense,City Clerk,1010,,280
FY15-16,Expense,City Clerk,1010,,1980
FY15-16,Expense,City Clerk,1010,,3480
FY15-16,Expense,City Clerk,1010,,195496
FY15-16,Expense,City Clerk,1010,,125228
FY15-16,Expense,City Clerk,1010,,1420
FY15-16,Expense,City Clerk,1010,,37195
FY15-16,Expense,City Clerk,1010,,63198
FY15-16,Expense,City Clerk,1010,,10210
FY15-16,Expense,City Clerk,1010,,780
FY15-16,Expense,City Clerk,1010,,2320
FY15-16,Expense,City Clerk,1010,,53502
FY15-16,Expense,City Clerk,1010,,35233
FY15-16,Expense,City Clerk,1010,,14380
FY15-16,Expense,City Clerk,1010,,200
FY15-16,Expense,City Clerk,1010,,1140
FY15-16,Expense,City Clerk,1010,,20736
FY15-16,Expense,City Clerk,1610,,21051
FY15-16,Expense,City Clerk,1010,,760
FY15-16,Expense,City Clerk,1010,,42615
FY15-16,Expense,City Clerk,1010,,3780
FY15-16,Expense,City Clerk,1010,,810
FY15-16,Expense,City Clerk,1010,,5240
FY15-16,Expense,City Clerk,1010,,2660
FY15-16,Expense,City Clerk,1010,,50339
FY15-16,Expense,City Clerk,1010,,3690
FY15-16,Expense,City Clerk,1010,,11570
FY15-16,Expense,City Clerk,1010,,380
FY15-16,Expense,City Clerk,1010,,262215
FY15-16,Expense,City Clerk,1010,,29827
FY15-16,Expense,City Clerk,1010,,3200
FY15-16,Expense,City Clerk,1010,,69815
FY15-16,Expense,City Attorney,1010,,40956
FY15-16,Expense,City Attorney,1100,,20257
FY15-16,Expense,City Attorney,1010,,10116
FY15-16,Expense,City Attorney,3100,,7836
FY15-16,Expense,City Attorney,1010,,187476
FY15-16,Expense,City Attorney,1100,,142293
FY15-16,Expense,City Attorney,1010,,8750
FY15-16,Expense,City Attorney,1010,,163469
FY15-16,Expense,City Attorney,1610,,7782
FY15-16,Expense,City Attorney,3100,,45553
FY15-16,Expense,City Attorney,2413,,3936
FY15-16,Expense,City Attorney,1010,,251593
FY15-16,Expense,City Attorney,1010,,250
FY15-16,Expense,City Attorney,2413,,22387
FY15-16,Expense,City Attorney,1010,,56060
FY15-16,Expense,City Attorney,1010,,14552
FY15-16,Expense,City Attorney,1710,,20408
FY15-16,Expense,City Attorney,1710,,3324
FY15-16,Expense,City Attorney,1010,,303509
FY15-16,Expense,City Attorney,1100,,120461
FY15-16,Expense,City Attorney,1100,,446
FY15-16,Expense,City Attorney,2413,,450
FY15-16,Expense,City Attorney,1010,,13600
FY15-16,Expense,City Attorney,1010,,4750
FY15-16,Expense,City Attorney,1010,,15000
FY15-16,Expense,City Attorney,1010,,114995
FY15-16,Expense,City Attorney,1010,,757934
FY15-16,Expense,City Attorney,1100,,4330
FY15-16,Expense,City Attorney,1010,,3810
FY15-16,Expense,City Attorney,1010,,94613
FY15-16,Expense,City Attorney,1100,,25467
FY15-16,Expense,City Attorney,3100,,7260
FY15-16,Expense,City Attorney,3100,,5447
FY15-16,Expense,City Attorney,1100,,12852
FY15-16,Expense,City Attorney,1010,,10270
FY15-16,Expense,City Attorney,1010,,3050
FY15-16,Expense,City Attorney,2413,,26445
FY15-16,Expense,City Attorney,1610,,2529
