budget_year,department,fund_code,account_type,account_category,amount
FY13-14,,1010,Revenue,Service Charges,1765158
FY13-14,,1010,Revenue,Service Charges,405000
FY13-14,,1010,Revenue,Miscellaneous Revenue,165408
FY13-14,,1010,Revenue,Miscellaneous Revenue,950000
FY13-14,,1200,Revenue,Fines & Penalties,200000
FY13-14,,1750,Revenue,Interest Income,-25000
FY13-14,,2211,Revenue,Interest Income,10920
FY13-14,,2251,Revenue,Local Tax,13956299
FY13-14,,2251,Revenue,Parking Tax,7109400
FY13-14,,2310,Revenue,Local Tax,18970646
FY13-14,,3100,Revenue,Interest Income,100000
FY13-14,,4100,Revenue,Interest Income,-100000
FY13-14,,4400,Revenue,Interest Income,-75000
FY13-14,,5130,Revenue,Local Tax,134420
FY13-14,,5130,Revenue,Transfers from Fund Balance,367467
FY13-14,,7100,Revenue,Transfers from Fund Balance,472987
FY13-14,,1010,Revenue,Licenses & Permits,4778
FY13-14,,1010,Revenue,Licenses & Permits,30000
FY13-14,,1010,Revenue,Service Charges,60000
FY13-14,,2412,Revenue,Local Tax,1773649
FY13-14,,2412,Revenue,Miscellaneous Revenue,135744
FY13-14,,1010,Revenue,Licenses & Permits,65768
FY13-14,,1010,Revenue,Fines & Penalties,67698
FY13-14,,1010,Revenue,Service Charges,179543
FY13-14,,1010,Revenue,Service Charges,95788
FY13-14,,1010,Revenue,Service Charges,18862
FY13-14,,1010,Revenue,Service Charges,22189
FY13-14,,1010,Revenue,Service Charges,1113170
FY13-14,,2321,Revenue,Local Tax,1979812
FY13-14,,2321,Revenue,Interfund Transfers,148000
FY13-14,,1740,Revenue,Fines & Penalties,54510
FY13-14,,1740,Revenue,Service Charges,843078
FY13-14,,1740,Revenue,Service Charges,71560
FY13-14,,1010,Revenue,Service Charges,552660
FY13-14,,2330,Revenue,Miscellaneous Revenue,3200
FY13-14,,2330,Revenue,Transfers from Fund Balance,3000
FY13-14,,1010,Revenue,Miscellaneous Revenue,150000
FY13-14,,1010,Revenue,Service Charges,12000
FY13-14,,2412,Revenue,Local Tax,4542
FY13-14,,1010,Revenue,Service Charges,2584
FY13-14,,1010,Revenue,Service Charges,4047
FY13-14,,2123,Revenue,Grants & Subsidies,11664
FY13-14,,2123,Revenue,Grants & Subsidies,1266433
FY13-14,,2146,Revenue,Grants & Subsidies,6155
FY13-14,,2160,Revenue,Grants & Subsidies,57346
FY13-14,,2190,Revenue,Service Charges,25000
FY13-14,,1010,Revenue,Service Charges,4173515
FY13-14,,1010,Revenue,Service Charges,21000
FY13-14,,1010,Revenue,Service Charges,5000
FY13-14,,2124,Revenue,Grants & Subsidies,12455
FY13-14,,2124,Revenue,Grants & Subsidies,345311
FY13-14,,2124,Revenue,Grants & Subsidies,405450
FY13-14,,2124,Revenue,Grants & Subsidies,88883
FY13-14,,2124,Revenue,Grants & Subsidies,84106
FY13-14,,2250,Revenue,Local Tax,1747730
FY13-14,,2250,Revenue,Service Charges,1900
FY13-14,,2146,Revenue,Grants & Subsidies,55063
FY13-14,,2160,Revenue,Grants & Subsidies,752
FY13-14,,2160,Revenue,Grants & Subsidies,953515
FY13-14,,1100,Revenue,Interfund Transfers,3524791
FY13-14,,2212,Revenue,Sales Tax,1103350
FY13-14,,2212,Revenue,Transfers from Fund Balance,556650
FY13-14,,3100,Revenue,Service Charges,48000000
FY13-14,,3100,Revenue,Transfers from Fund Balance,4212926
FY13-14,,1720,Revenue,Service Charges,89200
FY13-14,,1720,Revenue,Transfers from Fund Balance,59361
FY13-14,,3100,Revenue,Service Charges,40000
FY13-14,,2231,Revenue,Miscellaneous Revenue,4823742
FY13-14,,2415,Revenue,Licenses & Permits,400000
FY13-14,,2415,Revenue,Licenses & Permits,1400000
FY13-14,,2415,Revenue,Service Charges,78000
FY13-14,,2415,Revenue,Service Charges,1577484
FY13-14,,2415,Revenue,Service Charges,130000
FY13-14,,2230,Revenue,Gas Tax,6637535
FY13-14,,2415,Revenue,Service Charges,702702
FY13-14,,3150,Revenue,Interfund Transfers,500000
FY13-14,,2990,Revenue,Grants & Subsidies,210000
FY13-14,,1750,Revenue,Service Charges,10000
FY13-14,,1750,Revenue,Service Charges,28000
FY13-14,,1750,Revenue,Service Charges,102430
FY13-14,,1750,Revenue,Service Charges,4594298
FY13-14,,1750,Revenue,Miscellaneous Revenue,99423
FY13-14,,2211,Revenue,Sales Tax,9421785
FY13-14,,2211,Revenue,Transfers from Fund Balance,903793
FY13-14,,2230,Revenue,Sales Tax,-716143
FY13-14,,2230,Revenue,Transfers from Fund Balance,1048231
FY13-14,,2416,Revenue,Fines & Penalties,1526764
FY13-14,,2230,Revenue,Grants & Subsidies,40000
FY13-14,,2230,Revenue,Grants & Subsidies,40000
FY13-14,,2310,Revenue,Service Charges,24360
FY13-14,,2310,Revenue,Service Charges,24360
FY13-14,,2310,Revenue,Service Charges,56940
FY13-14,,2310,Revenue,Service Charges,56940
FY13-14,,2310,Revenue,Service Charges,2050
FY13-14,,2310,Revenue,Service Charges,2050
FY13-14,,2310,Revenue,Miscellaneous Revenue,1462500
FY13-14,,2230,Revenue,Service Charges,6000
FY13-14,,2230,Revenue,Service Charges,8000
FY13-14,,2230,Revenue,Service Charges,3000
FY13-14,,1010,Revenue,Service Charges,600000
FY13-14,,2230,Revenue,Grants & Subsidies,61100
FY13-14,,3100,Revenue,Service Charges,25000
FY13-14,,2230,Revenue,Service Charges,3000
FY13-14,,1010,Revenue,Service Charges,10709
FY13-14,,4100,Revenue,Licenses & Permits,81030
FY13-14,,4100,Revenue,Internal Service Funds,19486990
FY13-14,,4100,Revenue,Internal Service Funds,55300
FY13-14,,4100,Revenue,Internal Service Funds,100000
FY13-14,,4400,Revenue,Internal Service Funds,25872472
FY13-14,,4400,Revenue,Miscellaneous Revenue,500000
FY13-14,,4400,Revenue,Service Charges,60000
FY13-14,,4400,Revenue,Service Charges,50000
FY13-14,,2310,Revenue,Licenses & Permits,12600
FY13-14,,2310,Revenue,Service Charges,4900
FY13-14,,1720,Revenue,Service Charges,17643680
FY13-14,,1720,Revenue,Transfers from Fund Balance,23516
FY13-14,,1720,Revenue,Licenses & Permits,9000
FY13-14,,1720,Revenue,Fines & Penalties,15000
FY13-14,,1720,Revenue,Service Charges,26000
FY13-14,,1720,Revenue,Service Charges,33000
FY13-14,,1720,Revenue,Transfers from Fund Balance,1094259
FY13-14,,1710,Revenue,Service Charges,7148877
FY13-14,,1710,Revenue,Grants & Subsidies,1187500
FY13-14,,1710,Revenue,Transfers from Fund Balance,828722
FY13-14,,1710,Revenue,Service Charges,150
FY13-14,,1710,Revenue,Service Charges,550
FY13-14,,2990,Revenue,Grants & Subsidies,70000
FY13-14,,4400,Revenue,Grants & Subsidies,120945
FY13-14,,4300,Revenue,Internal Service Funds,4005
FY13-14,,4300,Revenue,Internal Service Funds,1431990
FY13-14,,1010,Revenue,Service Charges,2308801
FY13-14,,4210,Revenue,Internal Service Funds,73197
FY13-14,,4210,Revenue,Internal Service Funds,149763
FY13-14,,4210,Revenue,Internal Service Funds,85570
FY13-14,,4200,Revenue,Internal Service Funds,3537377
FY13-14,,4200,Revenue,Internal Service Funds,40000
FY13-14,,4300,Revenue,Internal Service Funds,4720
FY13-14,,4300,Revenue,Internal Service Funds,30
FY13-14,,2993,Revenue,Grants & Subsidies,250000
FY13-14,,1010,Revenue,Fines & Penalties,256926
FY13-14,,1010,Revenue,Service Charges,3162
FY13-14,,1010,Revenue,Service Charges,472202
FY13-14,,2241,Revenue,Local Tax,13904476
FY13-14,,2241,Revenue,Transfers from Fund Balance,2936899
FY13-14,,7540,Revenue,Miscellaneous Revenue,110879
FY13-14,,2148,Revenue,Grants & Subsidies,-84210
FY13-14,,2148,Revenue,Grants & Subsidies,84210
FY13-14,,2148,Revenue,Grants & Subsidies,68392
FY13-14,,2241,Revenue,Miscellaneous Revenue,7500
FY13-14,,2163,Revenue,Grants & Subsidies,72719
FY13-14,,1760,Revenue,Service Charges,1505000
FY13-14,,1760,Revenue,Service Charges,65000
FY13-14,,1760,Revenue,Service Charges,5000
FY13-14,,2128,Revenue,Grants & Subsidies,1405480
FY13-14,,2128,Revenue,Interfund Transfers,61664
FY13-14,,2128,Revenue,Interfund Transfers,149804
FY13-14,,2120,Revenue,Grants & Subsidies,308810
FY13-14,,2120,Revenue,Grants & Subsidies,29883
FY13-14,,2120,Revenue,Interfund Transfers,23601
FY13-14,,2160,Revenue,Grants & Subsidies,42019
FY13-14,,2160,Revenue,Interfund Transfers,10236
FY13-14,,2213,Revenue,Sales Tax,947480
FY13-14,,2213,Revenue,Service Charges,44739
FY13-14,,2213,Revenue,Service Charges,76361
FY13-14,,2213,Revenue,Interfund Transfers,80031
FY13-14,,1010,Revenue,Service Charges,11585
FY13-14,,1010,Revenue,Service Charges,19159
FY13-14,,1010,Revenue,Service Charges,10943
FY13-14,,1010,Revenue,Service Charges,26119
FY13-14,,1010,Revenue,Service Charges,18704
FY13-14,,1010,Revenue,Service Charges,10943
FY13-14,,1010,Revenue,Service Charges,68089
FY13-14,,2114,Revenue,Grants & Subsidies,981426
FY13-14,,2114,Revenue,Interfund Transfers,277481
FY13-14,,2195,Revenue,Interfund Transfers,16387
FY13-14,,1010,Revenue,Service Charges,111600
FY13-14,,2159,Revenue,Grants & Subsidies,132432
FY13-14,,2159,Revenue,Grants & Subsidies,111080
FY13-14,,2159,Revenue,Grants & Subsidies,198920
FY13-14,,2102,Revenue,Grants & Subsidies,545000
FY13-14,,2128,Revenue,Grants & Subsidies,12940032
FY13-14,,2128,Revenue,Grants & Subsidies,111886
FY13-14,,2128,Revenue,Grants & Subsidies,2451846
FY13-14,,2128,Revenue,Grants & Subsidies,61296
FY13-14,,2128,Revenue,Grants & Subsidies,2787426
FY13-14,,2128,Revenue,Interfund Transfers,1311776
FY13-14,,2128,Revenue,Interfund Transfers,204084
FY13-14,,2138,Revenue,Grants & Subsidies,904985
FY13-14,,2138,Revenue,Grants & Subsidies,32500
FY13-14,,2128,Revenue,Interfund Transfers,74417
FY13-14,,2128,Revenue,Interfund Transfers,186638
FY13-14,,2128,Revenue,Interfund Transfers,13854
FY13-14,,2128,Revenue,Interfund Transfers,160987
FY13-14,,2128,Revenue,Interfund Transfers,47976
FY13-14,,2102,Revenue,Grants & Subsidies,550000
FY13-14,,2102,Revenue,Interfund Transfers,73708
FY13-14,,1780,Revenue,Interfund Transfers,582741
FY13-14,,1780,Revenue,Interfund Transfers,12181625
FY13-14,,2128,Revenue,Interfund Transfers,31203
FY13-14,,2128,Revenue,Grants & Subsidies,1241775
FY13-14,,2128,Revenue,Interfund Transfers,54618
FY13-14,,2103,Revenue,Grants & Subsidies,656315
FY13-14,,2103,Revenue,Grants & Subsidies,1829618
FY13-14,,2103,Revenue,Grants & Subsidies,2673899
FY13-14,,2103,Revenue,Grants & Subsidies,699770
FY13-14,,2103,Revenue,Grants & Subsidies,245146
FY13-14,,2103,Revenue,Grants & Subsidies,259824
FY13-14,,2103,Revenue,Interfund Transfers,7189
FY13-14,,2103,Revenue,Interfund Transfers,5327
FY13-14,,2103,Revenue,Interfund Transfers,3189
FY13-14,,2103,Revenue,Interfund Transfers,10707
FY13-14,,2103,Revenue,Interfund Transfers,729
FY13-14,,2108,Revenue,Interfund Transfers,106079
FY13-14,,2160,Revenue,Grants & Subsidies,139243
FY13-14,,2160,Revenue,Grants & Subsidies,250000
FY13-14,,2160,Revenue,Interfund Transfers,751
FY13-14,,2994,Revenue,Grants & Subsidies,76000
FY13-14,,2415,Revenue,Service Charges,1750000
FY13-14,,2415,Revenue,Licenses & Permits,11000
FY13-14,,2415,Revenue,Licenses & Permits,6000
FY13-14,,2415,Revenue,Licenses & Permits,718000
FY13-14,,2415,Revenue,Licenses & Permits,132000
FY13-14,,2415,Revenue,Licenses & Permits,393000
FY13-14,,2415,Revenue,Service Charges,284000
FY13-14,,2415,Revenue,Service Charges,5000
FY13-14,,2415,Revenue,Service Charges,76000
FY13-14,,2415,Revenue,Service Charges,365000
FY13-14,,2415,Revenue,Service Charges,235000
FY13-14,,2415,Revenue,Service Charges,2000
FY13-14,,2415,Revenue,Licenses & Permits,356000
FY13-14,,2415,Revenue,Service Charges,110000
FY13-14,,2415,Revenue,Licenses & Permits,1264000
FY13-14,,2415,Revenue,Service Charges,390000
FY13-14,,2415,Revenue,Service Charges,529298
FY13-14,,2415,Revenue,Service Charges,41000
FY13-14,,2415,Revenue,Service Charges,141000
FY13-14,,2415,Revenue,Service Charges,151000
FY13-14,,2415,Revenue,Service Charges,14000
FY13-14,,2415,Revenue,Miscellaneous Revenue,35000
FY13-14,,2415,Revenue,Licenses & Permits,1732000
FY13-14,,2415,Revenue,Licenses & Permits,139000
FY13-14,,2415,Revenue,Licenses & Permits,1628000
FY13-14,,2415,Revenue,Service Charges,34000
FY13-14,,2415,Revenue,Licenses & Permits,618000
FY13-14,,2415,Revenue,Licenses & Permits,229000
FY13-14,,2415,Revenue,Licenses & Permits,185000
FY13-14,,2415,Revenue,Licenses & Permits,2146000
FY13-14,,2415,Revenue,Service Charges,2463000
FY13-14,,2415,Revenue,Licenses & Permits,246000
FY13-14,,2415,Revenue,Service Charges,148000
FY13-14,,2415,Revenue,Service Charges,455000
FY13-14,,2415,Revenue,Licenses & Permits,375000
FY13-14,,2415,Revenue,Service Charges,4000
FY13-14,,2415,Revenue,Licenses & Permits,939000
FY13-14,,2415,Revenue,Fines & Penalties,644000
FY13-14,,2415,Revenue,Fines & Penalties,371000
FY13-14,,2415,Revenue,Service Charges,177000
FY13-14,,2415,Revenue,Service Charges,349000
FY13-14,,2415,Revenue,Service Charges,785000
FY13-14,,2415,Revenue,Service Charges,116000
FY13-14,,2415,Revenue,Service Charges,107000
FY13-14,,2415,Revenue,Service Charges,576000
FY13-14,,2415,Revenue,Service Charges,144000
FY13-14,,2415,Revenue,Service Charges,418000
FY13-14,,2109,Revenue,Grants & Subsidies,2161467
FY13-14,,2108,Revenue,Interest Income,50000
FY13-14,,2108,Revenue,Miscellaneous Revenue,750000
FY13-14,,2826,Revenue,Interest Income,20000
FY13-14,,2826,Revenue,Miscellaneous Revenue,63000
FY13-14,,2826,Revenue,Miscellaneous Revenue,35000
FY13-14,,2826,Revenue,Transfers from Fund Balance,107636
FY13-14,,2108,Revenue,Grants & Subsidies,6655657
FY13-14,,2413,Revenue,Service Charges,1950000
FY13-14,,2413,Revenue,Transfers from Fund Balance,210782
FY13-14,,2107,Revenue,Interest Income,150000
FY13-14,,2107,Revenue,Miscellaneous Revenue,821000
FY13-14,,2107,Revenue,Transfers from Fund Balance,1151000
FY13-14,,1730,Revenue,Interfund Transfers,579589
FY13-14,,1791,Revenue,Interfund Transfers,579605
FY13-14,,1100,Revenue,Interfund Transfers,19454567
FY13-14,,1200,Revenue,Property Tax,188312
FY13-14,,1200,Revenue,Local Tax,42897251
FY13-14,,1200,Revenue,Local Tax,5110131
FY13-14,,1200,Revenue,Local Tax,4097340
FY13-14,,1200,Revenue,Local Tax,646864
FY13-14,,1200,Revenue,Local Tax,2684487
FY13-14,,1200,Revenue,Local Tax,-64643
FY13-14,,1200,Revenue,Local Tax,2102100
FY13-14,,1200,Revenue,Fines & Penalties,709320
FY13-14,,1200,Revenue,Transfers from Fund Balance,5353604
FY13-14,,1200,Revenue,Interfund Transfers,9624258
FY13-14,,6027,Revenue,Transfers from Fund Balance,11206500
FY13-14,,6029,Revenue,Interfund Transfers,8965220
FY13-14,,6032,Revenue,Interfund Transfers,40769001
FY13-14,,6036,Revenue,Interfund Transfers,18344750
FY13-14,,6037,Revenue,Interfund Transfers,5470053
FY13-14,,6063,Revenue,Transfers from Fund Balance,11203665
FY13-14,,6311,Revenue,Transfers from Fund Balance,1328363
FY13-14,,6312,Revenue,Transfers from Fund Balance,6655475
FY13-14,,6321,Revenue,Transfers from Fund Balance,4616882
FY13-14,,6540,Revenue,Miscellaneous Revenue,32568
FY13-14,,6555,Revenue,Transfers from Fund Balance,230007
FY13-14,,6570,Revenue,Interfund Transfers,21600
FY13-14,,6587,Revenue,Transfers from Fund Balance,432991
FY13-14,,7320,Revenue,Miscellaneous Revenue,9624258
FY13-14,,6999,Revenue,Miscellaneous Revenue,21500000
FY13-14,,6014,Revenue,Interfund Transfers,14106950
FY13-14,,7100,Revenue,Transfers from Fund Balance,2583784
FY13-14,,7120,Revenue,Transfers from Fund Balance,246000
FY13-14,,6612,Revenue,Transfers from Fund Balance,6250000
FY13-14,,6612,Revenue,Interfund Transfers,9072038
FY13-14,,1010,Revenue,Service Charges,5530
FY13-14,,1010,Revenue,Transfers from Fund Balance,6000000
FY13-14,,1010,Revenue,Transfers from Fund Balance,13071237
FY13-14,,2419,Revenue,Transient Occupancy Tax,370381
FY13-14,,2419,Revenue,Transient Occupancy Tax,370381
FY13-14,,2419,Revenue,Transient Occupancy Tax,370381
FY13-14,,2419,Revenue,Transient Occupancy Tax,1481523
FY13-14,,5510,Revenue,Interfund Transfers,6250000
FY13-14,,7640,Revenue,Interest Income,32610
FY13-14,,2215,Revenue,Grants & Subsidies,1500000
FY13-14,,1010,Revenue,Service Charges,38496
FY13-14,,1010,Revenue,Service Charges,12000
FY13-14,,1010,Revenue,Service Charges,13000
FY13-14,,2159,Revenue,Grants & Subsidies,154199
FY13-14,,2416,Revenue,Transfers from Fund Balance,38871
FY13-14,,2999,Revenue,Transfers from Fund Balance,1300000
FY13-14,,2995,Revenue,Grants & Subsidies,10000
FY13-14,,1010,Revenue,Service Charges,3742
FY13-14,,1010,Revenue,Service Charges,10700
FY13-14,,1010,Revenue,Service Charges,26000
FY13-14,,2159,Revenue,Miscellaneous Revenue,114123
FY13-14,,1010,Revenue,Licenses & Permits,118017
FY13-14,,1010,Revenue,Fines & Penalties,70000
FY13-14,,1010,Revenue,Service Charges,5600
FY13-14,,1010,Revenue,Service Charges,12800
FY13-14,,1010,Revenue,Service Charges,37200
FY13-14,,1010,Revenue,Service Charges,23400
FY13-14,,1010,Revenue,Licenses & Permits,815
FY13-14,,1010,Revenue,Service Charges,214000
FY13-14,,1010,Revenue,Miscellaneous Revenue,33912
FY13-14,,2112,Revenue,Grants & Subsidies,137557
FY13-14,,2411,Revenue,Service Charges,1088524
FY13-14,,2411,Revenue,Transfers from Fund Balance,396418
FY13-14,,1010,Revenue,Transfers from Fund Balance,390040
FY13-14,,1010,Revenue,Service Charges,223403
FY13-14,,1010,Revenue,Licenses & Permits,35119
FY13-14,,1010,Revenue,Licenses & Permits,56995
FY13-14,,1010,Revenue,Service Charges,73653
FY13-14,,1010,Revenue,Service Charges,397217
FY13-14,,1010,Revenue,Service Charges,94400
FY13-14,,2172,Revenue,Service Charges,380000
FY13-14,,2172,Revenue,Transfers from Fund Balance,20550
FY13-14,,2416,Revenue,Fines & Penalties,1200000
FY13-14,,1010,Revenue,Licenses & Permits,3650
FY13-14,,1010,Revenue,Fines & Penalties,21050
FY13-14,,1010,Revenue,Service Charges,868199
FY13-14,,1010,Revenue,Service Charges,9000
FY13-14,,1010,Revenue,Service Charges,2600000
FY13-14,,1010,Revenue,Service Charges,5000
FY13-14,,2123,Revenue,Miscellaneous Revenue,188160
FY13-14,,2995,Revenue,Grants & Subsidies,10000
FY13-14,,1010,Revenue,Service Charges,8572
FY13-14,,1010,Revenue,Service Charges,61438
FY13-14,,1820,Revenue,Transfers from Fund Balance,109446
FY13-14,,7999,Revenue,Miscellaneous Revenue,69270
FY13-14,,1820,Revenue,Service Charges,1058567
FY13-14,,1820,Revenue,Service Charges,-98580
FY13-14,,1820,Revenue,Service Charges,40446
FY13-14,,1820,Revenue,Service Charges,64960
FY13-14,,1820,Revenue,Service Charges,20807
FY13-14,,1820,Revenue,Service Charges,35030
FY13-14,,1820,Revenue,Service Charges,10469
FY13-14,,1820,Revenue,Service Charges,10000
FY13-14,,1820,Revenue,Service Charges,103617
FY13-14,,1820,Revenue,Service Charges,19000
FY13-14,,1820,Revenue,Service Charges,240660
FY13-14,,1820,Revenue,Service Charges,35500
FY13-14,,1820,Revenue,Service Charges,54676
FY13-14,,1820,Revenue,Service Charges,15836
FY13-14,,1820,Revenue,Service Charges,57145
FY13-14,,1820,Revenue,Service Charges,180122
FY13-14,,1010,Revenue,Service Charges,12357
FY13-14,,1010,Revenue,Service Charges,56559
FY13-14,,1010,Revenue,Service Charges,26830
FY13-14,,1010,Revenue,Service Charges,6070
FY13-14,,1010,Revenue,Service Charges,6170
FY13-14,,1010,Revenue,Service Charges,14680
FY13-14,,1010,Revenue,Service Charges,4160
FY13-14,,1010,Revenue,Service Charges,1110
FY13-14,,1010,Revenue,Service Charges,12648
FY13-14,,1010,Revenue,Service Charges,10000
FY13-14,,1010,Revenue,Service Charges,18000
FY13-14,,1010,Revenue,Service Charges,3008
FY13-14,,1010,Revenue,Service Charges,13000
FY13-14,,1010,Revenue,Service Charges,3500
FY13-14,,1010,Revenue,Service Charges,12710
FY13-14,,1820,Revenue,Service Charges,137633
FY13-14,,1820,Revenue,Service Charges,42678
FY13-14,,1820,Revenue,Service Charges,200000
FY13-14,,1820,Revenue,Transfers from Fund Balance,252173
FY13-14,,1820,Revenue,Interfund Transfers,600000
FY13-14,,1820,Revenue,Service Charges,42650
FY13-14,,1820,Revenue,Service Charges,38650
FY13-14,,1010,Revenue,Service Charges,62702
FY13-14,,1010,Revenue,Service Charges,8083
FY13-14,,1010,Revenue,Service Charges,12100
FY13-14,,1820,Revenue,Service Charges,168983
FY13-14,,2996,Revenue,Service Charges,16847
FY13-14,,1820,Revenue,Service Charges,124365
FY13-14,,3200,Revenue,Service Charges,18000
FY13-14,,3200,Revenue,Service Charges,200000
FY13-14,,3200,Revenue,Transfers from Fund Balance,7215
FY13-14,,3200,Revenue,Service Charges,277950
FY13-14,,1820,Revenue,Service Charges,67311
FY13-14,,1820,Revenue,Service Charges,5993
FY13-14,,1820,Revenue,Service Charges,191040
FY13-14,,1820,Revenue,Service Charges,84226
FY13-14,,1820,Revenue,Service Charges,25719
FY13-14,,1820,Revenue,Service Charges,94540
FY13-14,,1820,Revenue,Service Charges,263854
FY13-14,,1820,Revenue,Service Charges,38346
FY13-14,,1820,Revenue,Service Charges,65641
FY13-14,,1820,Revenue,Service Charges,168497
FY13-14,,1820,Revenue,Service Charges,5150
FY13-14,,1820,Revenue,Service Charges,435492
FY13-14,,1820,Revenue,Service Charges,4790
FY13-14,,1820,Revenue,Service Charges,8700
FY13-14,,1820,Revenue,Service Charges,29070
FY13-14,,1820,Revenue,Service Charges,3000
FY13-14,,1820,Revenue,Service Charges,142169
FY13-14,,1820,Revenue,Service Charges,15268
FY13-14,,1820,Revenue,Service Charges,2570
FY13-14,,1820,Revenue,Service Charges,2500
