account_category,account_type,amount,budget_year,department,fund_code
,Expense,2000000,FY16-17,Fire,2252
,Expense,8953737,FY16-17,Human Services,2252
,Expense,25973,FY16-17,City Administrator,2310
,Expense,27876,FY16-17,Finance,2310
,Expense,2625719,FY16-17,Oakland Parks & Recreation,2310
,Expense,-763,FY16-17,Economic & Workforce Development,2310
,Expense,15544496,FY16-17,Oakland Public Works,2310
,Expense,1700899,FY16-17,Non-Departmental,2310
,Expense,15000,FY16-17,Capital Improvement Projects,2310
,Expense,1393582,FY16-17,Fire,2321
,Expense,3200,FY16-17,Fire,2330
,Expense,234847,FY16-17,Information Technology,2411
,Expense,1379281,FY16-17,Police,2411
,Expense,9453,FY16-17,City Administrator,2412
,Expense,2370917,FY16-17,Fire,2412
,Expense,530615,FY16-17,City Attorney,2413
,Expense,452884,FY16-17,Finance,2413
,Expense,1773209,FY16-17,Housing & Community Development,2413
,Expense,316571,FY16-17,City Administrator,2415
,Expense,1110384,FY16-17,City Attorney,2415
,Expense,128095,FY16-17,Finance,2415
,Expense,215777,FY16-17,Information Technology,2415
,Expense,1722,FY16-17,Housing & Community Development,2415
,Expense,26694031,FY16-17,Planning & Building,2415
,Expense,5398060,FY16-17,Oakland Public Works,2415
,Expense,200000,FY16-17,Capital Improvement Projects,2415
,Expense,2363927,FY16-17,Police,2416
,Expense,562837,FY16-17,Oakland Public Works,2416
,Expense,433163,FY16-17,City Administrator,2417
,Expense,44765,FY16-17,Finance,2417
,Expense,598500,FY16-17,Economic & Workforce Development,2419
,Expense,4308817,FY16-17,Non-Departmental,2419
,Expense,89492,FY16-17,Housing & Community Development,2826
,Expense,280000,FY16-17,Oakland Public Works,2990
,Expense,20000,FY16-17,Police,2995
,Expense,16847,FY16-17,Oakland Parks & Recreation,2996
,Expense,751784,FY16-17,City Attorney,3100
,Expense,2332370,FY16-17,Finance,3100
,Expense,231265,FY16-17,Information Technology,3100
,Expense,290537,FY16-17,Fire,3100
,Expense,32244370,FY16-17,Oakland Public Works,3100
,Expense,8293480,FY16-17,Non-Departmental,3100
,Expense,18001000,FY16-17,Capital Improvement Projects,3100
,Expense,500000,FY16-17,Oakland Public Works,3150
,Expense,651082,FY16-17,Oakland Parks & Recreation,3200
,Expense,8450,FY16-17,Economic & Workforce Development,3200
,Expense,5521,FY16-17,Human Resources Management,4100
,Expense,23423655,FY16-17,Oakland Public Works,4100
,Expense,43741,FY16-17,Finance,4200
,Expense,7247160,FY16-17,Information Technology,4200
,Expense,308530,FY16-17,Information Technology,4210
,Expense,1320007,FY16-17,Information Technology,4300
,Expense,28170132,FY16-17,Oakland Public Works,4400
,Expense,2794000,FY16-17,Non-Departmental,4400
,Expense,516419,FY16-17,Finance,4500
,Expense,910229,FY16-17,Finance,4550
,Expense,2500000,FY16-17,Information Technology,4600
,Expense,3320,FY16-17,City Administrator,5130
,Expense,131100,FY16-17,Finance,5130
,Expense,350000,FY16-17,Economic & Workforce Development,5610
,Expense,100000,FY16-17,Economic & Workforce Development,5650
,Expense,560547,FY16-17,Economic & Workforce Development,5670
,Expense,162215,FY16-17,City Administrator,5671
,Expense,1674678,FY16-17,Economic & Workforce Development,5671
,Expense,1700899,FY16-17,Non-Departmental,6013
,Expense,8966222,FY16-17,Non-Departmental,6029
,Expense,44595002,FY16-17,Non-Departmental,6032
,Expense,17142673,FY16-17,Non-Departmental,6036
,Expense,14736725,FY16-17,Non-Departmental,6064
,Expense,6667977,FY16-17,Non-Departmental,6312
,Expense,35619,FY16-17,Non-Departmental,6540
,Expense,236169,FY16-17,Non-Departmental,6555
,Expense,28000,FY16-17,Non-Departmental,6570
,Expense,64259,FY16-17,Finance,6587
,Expense,381121,FY16-17,Non-Departmental,6587
,Expense,9065650,FY16-17,Non-Departmental,6612
,Expense,21500000,FY16-17,Non-Departmental,6999
,Expense,130423,FY16-17,City Attorney,7100
,Expense,3065872,FY16-17,Finance,7100
,Expense,62955,FY16-17,Finance,7120
,Expense,246452,FY16-17,Human Resources Management,7130
,Expense,8462481,FY16-17,Non-Departmental,7320
,Expense,110879,FY16-17,Oakland Public Library,7540
,Expense,32610,FY16-17,Non-Departmental,7640
,Expense,25000,FY16-17,City Administrator,7760
,Expense,135752,FY16-17,City Attorney,7760
,Expense,156413,FY16-17,Information Technology,7760
,Expense,-317165,FY16-17,Oakland Public Works,7760
,Expense,69270,FY16-17,Oakland Parks & Recreation,7999
