"Account.Description","LOBName","ProgramName","OperatingUnitDescription","FundDescription","Total"
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",825
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE TRAINING","POLICE SALES TAX-RSTR","POLICE",184
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE TRAINING","STATE ASSET FORF-RSTR","ASSET FORFEITURE",50000
"BUDGET-CONTINGENCY","Public Information & Marketing","CM PRINT SHOP","PRINT SHOP","PRINT SHOP",22000
"BUDGET-CONTINGENCY","Public Works Administration","PUB WORKS BUSINESS SERVICES","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",315003
"BUDGET-CONTINGENCY","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",56029
"BUDGET-CONTINGENCY","Support Services","FIRE MAINTENANCE SERVICES","FIRE SALES TAX-RSTR","FIRE",2445638
"BUDGET-CONTINGENCY","Transit","EXECUTIVE LEADERSHIP","PARKING","PARKING",3468
"BUDGET-CONTINGENCY","Transit","EXECUTIVE LEADERSHIP","TRANSIT","TRANSPORTATION",36482
"BUDGET-MATERIALS AND SUPPLIES","Community Development","PLANNING COMMUNITY SERVICES","DEPT OF HSG & URB DEVEL-RSTR","GRANTS MANAGEMENT",31370
"BUDGET-MATERIALS AND SUPPLIES","GO Bond Street Resurfacing","STREET RESURFACING","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",1400000
"BUDGET-MATERIALS AND SUPPLIES","Pol/Fire Capital - City Mgr","POL/FIRE CAPITAL - CITY MGR","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",56567
"BUDGET-MATERIALS AND SUPPLIES","Police Chiefs Office","POLICE BUSINESS SERVICES","DEPT OF JUSTICE-RSTR","GRANTS MANAGEMENT",86674
"BUDGET-MATERIALS AND SUPPLIES","Police Sales Tax Capital","POLICE SALES TAX CAPITAL","POLICE CAPITAL-RSTR","POLICE",1046294
"BUDGET-MATERIALS AND SUPPLIES","Police Special Purpose","POLICE DONATIONS","POLICE DONATIONS-RSTR","SPECIAL PURPOSE",10000
"BUDGET-MATERIALS AND SUPPLIES","Street & Drainage Maint","DRAINAGE","DRAINAGE CAPITAL ACCOUNT","STORMWATER DRAINAGE",24055
"BUDGET-MATERIALS AND SUPPLIES","Urban Redevelopment","PLANNING URBAN REDEV PLANNING","ENVIR PROTECT AGCY-RSTR","GRANTS MANAGEMENT",2700
"BUDGET-OPERATING RESERVE","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","MED SERVICE PROG-CMTD","MEDICAL SERVICE PROGRAM",1151891
"BUDGET-OPERATING RESERVE","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",480000
"BUDGET-OPERATING RESERVE","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",1150000
"BUDGET-OPERATING RESERVE","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",193381
"BUDGET-OTHER FRINGE BUDGET","Engineering","PROJECT MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",129685
"BUDGET-OTHER FRINGE BUDGET","Fire Administration","FIRE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1953
"BUDGET-OTHER FRINGE BUDGET","Fire Administration","FIRE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",4584
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","EMERGENCY MEDICAL SERVICES","FIRE SALES TAX-RSTR","FIRE",8764
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","EMERGENCY MEDICAL SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",60989
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","FIRE SUPRESSION OPERATIONS","FIRE SALES TAX-RSTR","FIRE",4382
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","FIRE SUPRESSION OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",9635
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","OPERATIONS TRAINING","FIRE SALES TAX-RSTR","FIRE",2504
"BUDGET-OTHER FRINGE BUDGET","Fire Operations","OPERATIONS TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",26130
"BUDGET-OTHER FRINGE BUDGET","Fire Prevention","PREVENTION INSPECTION AND CODE","GENERAL OPERATIONS-UASN","GENERAL FUND",4168
"BUDGET-OTHER FRINGE BUDGET","Police Chiefs Office","POLICE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",3603
"BUDGET-OTHER FRINGE BUDGET","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",3603
"BUDGET-OTHER FRINGE BUDGET","Police Investigations","POLICE SPECIAL INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",3603
"BUDGET-OTHER FRINGE BUDGET","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",24696
"BUDGET-OTHER FRINGE BUDGET","Police Operational","POLICE PATROL","POLICE SALES TAX-RSTR","POLICE",3243
