"FundDescription","OperatingUnitDescription","ProgramName","LOBName","Account.Description","Total"
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","VEHICLES",500000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","BUDGET-CONTINGENCY",336882
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","BUDGET-SALARY RESERVE",28715
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","BUDGET-VACANCY DISCOUNT",-16300
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","CLOTHING & OTHER",225
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","EMPLOYEE TRAINING",4360
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","EMPLOYEE TRAVEL REIMBURSEMENT",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","HEALTH AND WELFARE INSURANCE",92164
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","MACHINERY AND EQUIPMENT MTCE",3000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","MEMBERSHIPS",4000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","MILEAGE REIMBURSEMENT",700
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","NON-CAPITAL FURNITURE & FIXTUR",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","NON-CAPITAL OFFICE MACHINES",1500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","OFFICE SUPPLIES",9000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","OTHER EQUIPMENT RENTAL",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","OTHER SERVICES AND CHARGES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","OTHER SUPPLIES",6000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","POSTAGE",6000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","REPAIR & MAINTENANCE PARTS",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","RETIREMENT PENSION CONTRIB",48891
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EXEC LEADERSHIP","Airport Administration","SALARIES AND WAGES",766162
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FACILITY & LEASE ADMN","Airport Property Mgt & Dev","BUDGET-SALARY RESERVE",14000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FACILITY & LEASE ADMN","Airport Property Mgt & Dev","BUDGET-VACANCY DISCOUNT",-11457
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FACILITY & LEASE ADMN","Airport Property Mgt & Dev","HEALTH AND WELFARE INSURANCE",104337
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FACILITY & LEASE ADMN","Airport Property Mgt & Dev","RETIREMENT PENSION CONTRIB",32618
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FACILITY & LEASE ADMN","Airport Property Mgt & Dev","SALARIES AND WAGES",540215
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","BUDGET-VACANCY DISCOUNT",-8182
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","CLOTHING & OTHER",2250
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","FUEL",161000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","HEALTH AND WELFARE INSURANCE",81151
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","MACHINERY AND EQUIPMENT MTCE",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OTHER EQUIPMENT",250
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OTHER EQUIPMENT RENTAL",250
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OTHER REPAIRS AND MAINTENANCE",1500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OTHER SERVICES AND CHARGES",250
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OTHER SUPPLIES",1750
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","OVERTIME WAGES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","REPAIR & MAINTENANCE PARTS",14750
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","RETIREMENT PENSION CONTRIB",23297
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","SALARIES AND WAGES",385842
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS FUEL","Airport Maintenance","SMALL TOOLS & MINOR EQUIP",750
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","BUDGET-VACANCY DISCOUNT",-12816
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","CLOTHING & OTHER",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","HEALTH AND WELFARE INSURANCE",150709
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","MISCELLANEOUS SRVCS CONTRACTS",400
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","NON-CAPITAL FURNITURE & FIXTUR",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","OTHER EQUIPMENT RENTAL",200
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","OTHER SUPPLIES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","OVERTIME WAGES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","PART TIME & TEMPORARY WAGES",40000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","REPAIR & MAINTENANCE PARTS",10000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","RETIREMENT PENSION CONTRIB",36492
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","SALARIES AND WAGES",604343
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS GROUNDS MAINTENANCE","Airport Maintenance","SMALL TOOLS & MINOR EQUIP",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS PUBLIC INFORMATION","Airport Administration","BUDGET-VACANCY DISCOUNT",-3268
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS PUBLIC INFORMATION","Airport Administration","HEALTH AND WELFARE INSURANCE",23766
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS PUBLIC INFORMATION","Airport Administration","RETIREMENT PENSION CONTRIB",9311
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS PUBLIC INFORMATION","Airport Administration","SALARIES AND WAGES",154058
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","BUDGET-VACANCY DISCOUNT",-2532
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","CHARGEBACK -POLICE",2968220
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","HEALTH AND WELFARE INSURANCE",23186
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","OTHER SUPPLIES",7000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","PHOTOGRAPHIC",100
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","RETIREMENT PENSION CONTRIB",7209
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS SAFETY SECURITY INSP","Airport Commercial Aviation","SALARIES AND WAGES",119398
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS TECHNOLOGY","Airport Administration","BUDGET-SALARY RESERVE",29300
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","BUDGET-VACANCY DISCOUNT",-3045
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","HEALTH AND WELFARE INSURANCE",34779
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","OVERTIME WAGES",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","PART TIME & TEMPORARY WAGES",18000
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","RETIREMENT PENSION CONTRIB",8672
"AIRPORTS","AIRPORTS CITY OPERATIONS","GROUNDS GENERAL AVIATION","Airport General Aviation","SALARIES AND WAGES",143625
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","BUDGET-VACANCY DISCOUNT",-7900
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","CLOTHING & OTHER",4000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","GROUNDS IMPROVEMENT",4000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","HEALTH AND WELFARE INSURANCE",69558
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","JANITOR SUPPLIES",400
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","LANDSCAPING",2220
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","LICENSES",100
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","MACHINERY AND EQUIPMENT MTCE",600
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","MEMBERSHIPS",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","NON-CAPITAL OFFICE MACHINES",600
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","OFFICE SUPPLIES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","OTHER EQUIPMENT",4000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","OTHER EQUIPMENT RENTAL",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","OTHER SERVICES AND CHARGES",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","OTHER SUPPLIES",11000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","REPAIR & MAINTENANCE PARTS",20000
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","RETIREMENT PENSION CONTRIB",22488
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","SALARIES AND WAGES",372437
"AIRPORTS","AIRPORTS CITY OPERATIONS","OPERATIONS GENERAL AVIATION","Airport General Aviation","SMALL TOOLS & MINOR EQUIP",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","BUDGET-VACANCY DISCOUNT",-16058
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","BUILDING MAINTENANCE",200
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","CLOTHING & OTHER",15200
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","HEALTH AND WELFARE INSURANCE",150709
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","LICENSES",100
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","MACHINERY AND EQUIPMENT MTCE",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","NATURAL GAS",18000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OFFICE SUPPLIES",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OTHER EQUIPMENT",10000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OTHER EQUIPMENT RENTAL",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OTHER SERVICES AND CHARGES",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OTHER SUPPLIES",10000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","OVERTIME WAGES",4056
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","PAVEMENT MARKING MATERIALS",89712
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","REPAIR & MAINTENANCE PARTS",90000
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","RETIREMENT PENSION CONTRIB",45713
"AIRPORTS","AIRPORTS CITY OPERATIONS","RUNWAYS & TAXIWAYS COMMERCIAL","Airport Commercial Aviation","SALARIES AND WAGES",757051
