budget_year,account_type,department,fund_code,account_category,amount
FY16-17,Revenue,,2417,Service Charges,477928
FY16-17,Revenue,,3100,Interest Income,100000
FY16-17,Revenue,,4400,Interest Income,-1000
FY16-17,Revenue,,4500,Internal Service Funds,516419
FY16-17,Revenue,,4550,Internal Service Funds,910229
FY16-17,Revenue,,5130,Local Tax,134420
FY16-17,Revenue,,5320,Interest Income,100000
FY16-17,Revenue,,5320,Interest Income,200000
FY16-17,Revenue,,5320,Interest Income,300000
FY16-17,Revenue,,5320,Interest Income,100000
FY16-17,Revenue,,5320,Interest Income,400000
FY16-17,Revenue,,5320,Interest Income,150000
FY16-17,Revenue,,5320,Interest Income,1449593
FY16-17,Revenue,,5321,Interest Income,434830
FY16-17,Revenue,,7100,Transfers from Fund Balance,3152067
FY16-17,Revenue,,1010,Grants & Subsidies,119435
FY16-17,Revenue,,1010,Miscellaneous Revenue,150000
FY16-17,Revenue,,1010,Fines & Penalties,526391
FY16-17,Revenue,,1010,Service Charges,95788
FY16-17,Revenue,,1010,Service Charges,1090426
FY16-17,Revenue,,1010,Service Charges,12000
FY16-17,Revenue,,1010,Licenses & Permits,67083
FY16-17,Revenue,,1010,Service Charges,5200000
FY16-17,Revenue,,1010,Service Charges,18862
FY16-17,Revenue,,1010,Service Charges,2584
FY16-17,Revenue,,1010,Service Charges,301845
FY16-17,Revenue,,1010,Service Charges,89226
FY16-17,Revenue,,1010,Service Charges,4047
FY16-17,Revenue,,1010,Service Charges,522660
FY16-17,Revenue,,1010,Service Charges,2100
FY16-17,Revenue,,1010,Service Charges,5000
FY16-17,Revenue,,2124,Grants & Subsidies,860852
FY16-17,Revenue,,2160,Grants & Subsidies,960705
FY16-17,Revenue,,2160,Grants & Subsidies,215042
FY16-17,Revenue,,2160,Grants & Subsidies,50000
FY16-17,Revenue,,2190,Service Charges,25000
FY16-17,Revenue,,2128,Interfund Transfers,16660
FY16-17,Revenue,,2128,Interfund Transfers,77450
FY16-17,Revenue,,2128,Interfund Transfers,1130
FY16-17,Revenue,,2321,Transfers from Fund Balance,1393582
FY16-17,Revenue,,2330,Miscellaneous Revenue,3200
FY16-17,Revenue,,2412,Local Tax,4542
FY16-17,Revenue,,2128,Interfund Transfers,39682
FY16-17,Revenue,,2412,Local Tax,2076446
FY16-17,Revenue,,2412,Miscellaneous Revenue,180591
FY16-17,Revenue,,2412,Transfers from Fund Balance,265410
FY16-17,Revenue,,1610,Grants & Subsidies,935978
FY16-17,Revenue,,1870,Property Tax,2630000
FY16-17,Revenue,,1885,Grants & Subsidies,687372
FY16-17,Revenue,,2107,Interest Income,200000
FY16-17,Revenue,,2107,Miscellaneous Revenue,1919000
FY16-17,Revenue,,2108,Grants & Subsidies,7076798
FY16-17,Revenue,,2108,Interest Income,50000
FY16-17,Revenue,,2108,Transfers from Fund Balance,100000
FY16-17,Revenue,,2108,Miscellaneous Revenue,800000
FY16-17,Revenue,,2109,Grants & Subsidies,2148143
FY16-17,Revenue,,2413,Transfers from Fund Balance,532051
FY16-17,Revenue,,2413,Service Charges,2477257
FY16-17,Revenue,,2826,Interest Income,10000
FY16-17,Revenue,,2826,Miscellaneous Revenue,53000
FY16-17,Revenue,,2826,Miscellaneous Revenue,26492
FY16-17,Revenue,,2826,Transfers from Fund Balance,207000
FY16-17,Revenue,,1010,Service Charges,8142
FY16-17,Revenue,,1010,Service Charges,229509
FY16-17,Revenue,,1100,Miscellaneous Revenue,4950
FY16-17,Revenue,,4100,Miscellaneous Revenue,69300
FY16-17,Revenue,,4400,Miscellaneous Revenue,19800
FY16-17,Revenue,,7130,Miscellaneous Revenue,254380
FY16-17,Revenue,,1010,Service Charges,11585
FY16-17,Revenue,,1010,Service Charges,19159
FY16-17,Revenue,,1010,Service Charges,18704
FY16-17,Revenue,,1010,Service Charges,68089
FY16-17,Revenue,,1010,Service Charges,26119
FY16-17,Revenue,,1010,Service Charges,10943
FY16-17,Revenue,,1010,Service Charges,10943
FY16-17,Revenue,,1780,Interfund Transfers,14536156
FY16-17,Revenue,,2102,Grants & Subsidies,595460
FY16-17,Revenue,,2102,Interfund Transfers,75385
FY16-17,Revenue,,2102,Interfund Transfers,33006
FY16-17,Revenue,,2102,Interfund Transfers,4200
FY16-17,Revenue,,2102,Interfund Transfers,33769
FY16-17,Revenue,,2102,Grants & Subsidies,545000
FY16-17,Revenue,,2103,Grants & Subsidies,2196785
FY16-17,Revenue,,2103,Interfund Transfers,8662
FY16-17,Revenue,,2103,Grants & Subsidies,264765
FY16-17,Revenue,,2103,Interfund Transfers,737
FY16-17,Revenue,,2103,Grants & Subsidies,1864465
FY16-17,Revenue,,2103,Interfund Transfers,7256
FY16-17,Revenue,,2103,Grants & Subsidies,713095
FY16-17,Revenue,,2103,Interfund Transfers,3225
FY16-17,Revenue,,2103,Grants & Subsidies,249815
FY16-17,Revenue,,2103,Interfund Transfers,6884
FY16-17,Revenue,,2103,Grants & Subsidies,640050
FY16-17,Revenue,,2103,Interfund Transfers,3482
FY16-17,Revenue,,2103,Interfund Transfers,272
FY16-17,Revenue,,2103,Interfund Transfers,2809
FY16-17,Revenue,,2103,Interfund Transfers,3221
FY16-17,Revenue,,2103,Grants & Subsidies,674615
FY16-17,Revenue,,2103,Interfund Transfers,1223
FY16-17,Revenue,,2103,Interfund Transfers,2535
FY16-17,Revenue,,2108,Interfund Transfers,46028
FY16-17,Revenue,,2108,Interfund Transfers,111681
FY16-17,Revenue,,2114,Interfund Transfers,576131
FY16-17,Revenue,,2114,Grants & Subsidies,922216
FY16-17,Revenue,,2114,Interfund Transfers,380032
FY16-17,Revenue,,2120,Interfund Transfers,23867
FY16-17,Revenue,,2120,Interfund Transfers,8614
FY16-17,Revenue,,2120,Grants & Subsidies,287126
FY16-17,Revenue,,2120,Grants & Subsidies,29484
FY16-17,Revenue,,2120,Interfund Transfers,50714
FY16-17,Revenue,,2128,Interfund Transfers,1545849
FY16-17,Revenue,,2128,Interfund Transfers,50737
FY16-17,Revenue,,2128,Interfund Transfers,153746
FY16-17,Revenue,,2128,Grants & Subsidies,1405480
FY16-17,Revenue,,2128,Interfund Transfers,1241775
FY16-17,Revenue,,2128,Grants & Subsidies,15946233
FY16-17,Revenue,,2128,Interfund Transfers,16586
FY16-17,Revenue,,2128,Interfund Transfers,1833
FY16-17,Revenue,,2128,Interfund Transfers,1250
FY16-17,Revenue,,2250,Local Tax,200
FY16-17,Revenue,,2250,Transfers from Fund Balance,750
FY16-17,Revenue,,2128,Interfund Transfers,16490
FY16-17,Revenue,,2128,Interfund Transfers,49969
FY16-17,Revenue,,2250,Service Charges,136171
FY16-17,Revenue,,2128,Interfund Transfers,219850
FY16-17,Revenue,,2128,Interfund Transfers,1213356
FY16-17,Revenue,,2128,Grants & Subsidies,756719
FY16-17,Revenue,,2128,Interfund Transfers,59
FY16-17,Revenue,,2128,Grants & Subsidies,2208
FY16-17,Revenue,,2128,Interfund Transfers,10452
FY16-17,Revenue,,2128,Interfund Transfers,996
FY16-17,Revenue,,2128,Interfund Transfers,10615
FY16-17,Revenue,,2128,Interfund Transfers,219795
FY16-17,Revenue,,2128,Grants & Subsidies,6967
FY16-17,Revenue,,2128,Interfund Transfers,10250
FY16-17,Revenue,,2138,Grants & Subsidies,913421
FY16-17,Revenue,,2138,Grants & Subsidies,32500
FY16-17,Revenue,,2152,Interfund Transfers,14018
FY16-17,Revenue,,2152,Interfund Transfers,9964
FY16-17,Revenue,,2152,Interfund Transfers,9964
FY16-17,Revenue,,2159,Grants & Subsidies,198920
FY16-17,Revenue,,2159,Interfund Transfers,50577
FY16-17,Revenue,,2159,Grants & Subsidies,121342
FY16-17,Revenue,,2159,Interfund Transfers,17401
FY16-17,Revenue,,2160,Interfund Transfers,10352
FY16-17,Revenue,,2160,Grants & Subsidies,42019
FY16-17,Revenue,,2160,Interfund Transfers,248
FY16-17,Revenue,,2160,Grants & Subsidies,130000
FY16-17,Revenue,,2160,Interfund Transfers,2535
FY16-17,Revenue,,2160,Grants & Subsidies,6099
FY16-17,Revenue,,2160,Grants & Subsidies,413565
FY16-17,Revenue,,2160,Interfund Transfers,1879
FY16-17,Revenue,,2160,Grants & Subsidies,305008
FY16-17,Revenue,,2160,Interfund Transfers,759
FY16-17,Revenue,,2195,Interfund Transfers,21715
FY16-17,Revenue,,2195,Interfund Transfers,1419
FY16-17,Revenue,,2195,Interfund Transfers,55286
FY16-17,Revenue,,2213,Interfund Transfers,34731
FY16-17,Revenue,,2213,Sales Tax,1079924
FY16-17,Revenue,,2213,Interfund Transfers,78212
FY16-17,Revenue,,2213,Service Charges,70261
FY16-17,Revenue,,2213,Service Charges,44739
FY16-17,Revenue,,2216,Interfund Transfers,24274
FY16-17,Revenue,,2216,Sales Tax,1122690
FY16-17,Revenue,,1010,Service Charges,2535664
FY16-17,Revenue,,4200,Internal Service Funds,6736847
FY16-17,Revenue,,4200,Transfers from Fund Balance,1141403
FY16-17,Revenue,,4200,Internal Service Funds,40000
FY16-17,Revenue,,4200,Miscellaneous Revenue,268686
FY16-17,Revenue,,4210,Internal Service Funds,149763
FY16-17,Revenue,,4210,Internal Service Funds,85570
FY16-17,Revenue,,4210,Internal Service Funds,73197
FY16-17,Revenue,,4300,Internal Service Funds,1320007
FY16-17,Revenue,,4600,Transfers from Fund Balance,542001
FY16-17,Revenue,,4600,Internal Service Funds,8907850
FY16-17,Revenue,,1010,Transfers from Fund Balance,1075000
FY16-17,Revenue,,1010,Transfers from Fund Balance,17439082
FY16-17,Revenue,,1010,Transfers from Fund Balance,400000
FY16-17,Revenue,,1010,Transfers from Fund Balance,45228
FY16-17,Revenue,,1010,Interfund Transfers,2000000
FY16-17,Revenue,,1010,Transfers from Fund Balance,3603186
FY16-17,Revenue,,1010,Interfund Transfers,280000
FY16-17,Revenue,,1010,Miscellaneous Revenue,400000
FY16-17,Revenue,,1010,Transfers from Fund Balance,3603186
FY16-17,Revenue,,1010,Service Charges,5530
FY16-17,Revenue,,1010,Interfund Transfers,67540
FY16-17,Revenue,,2124,Grants & Subsidies,730120
FY16-17,Revenue,,1020,Interfund Transfers,5787078
FY16-17,Revenue,,1100,Interfund Transfers,23158531
FY16-17,Revenue,,1200,Local Tax,4097340
FY16-17,Revenue,,1200,Local Tax,57767747
FY16-17,Revenue,,1200,Local Tax,2102100
FY16-17,Revenue,,1200,Fines & Penalties,709320
FY16-17,Revenue,,1200,Local Tax,646864
FY16-17,Revenue,,1200,Local Tax,-64643
FY16-17,Revenue,,1200,Property Tax,188312
FY16-17,Revenue,,1200,Local Tax,5642886
FY16-17,Revenue,,1200,Local Tax,2684487
FY16-17,Revenue,,2195,Interfund Transfers,315526
FY16-17,Revenue,,2310,Interfund Transfers,415000
FY16-17,Revenue,,2310,Interfund Transfers,407381
FY16-17,Revenue,,2419,Transient Occupancy Tax,2642652
FY16-17,Revenue,,2419,Transient Occupancy Tax,660663
FY16-17,Revenue,,2419,Transient Occupancy Tax,660663
FY16-17,Revenue,,2419,Transient Occupancy Tax,660663
FY16-17,Revenue,,2912,Transfers from Fund Balance,500000
FY16-17,Revenue,,2914,Transfers from Fund Balance,200000
FY16-17,Revenue,,6013,Interfund Transfers,1701399
FY16-17,Revenue,,6029,Interfund Transfers,8966222
FY16-17,Revenue,,6032,Interfund Transfers,44595002
FY16-17,Revenue,,6036,Interfund Transfers,17142674
FY16-17,Revenue,,6064,Local Tax,14740227
FY16-17,Revenue,,6312,Local Tax,6671477
FY16-17,Revenue,,6540,Transfers from Fund Balance,608
FY16-17,Revenue,,6540,Miscellaneous Revenue,34747
FY16-17,Revenue,,6555,Miscellaneous Revenue,236545
FY16-17,Revenue,,6570,Interfund Transfers,28000
FY16-17,Revenue,,6587,Miscellaneous Revenue,444744
FY16-17,Revenue,,6587,Transfers from Fund Balance,8543
FY16-17,Revenue,,6612,Interfund Transfers,9065650
FY16-17,Revenue,,6999,Miscellaneous Revenue,21500000
FY16-17,Revenue,,7320,Miscellaneous Revenue,8462481
FY16-17,Revenue,,7440,Transfers from Fund Balance,280000
FY16-17,Revenue,,7640,Transfers from Fund Balance,799000
FY16-17,Revenue,,1010,Service Charges,12710
FY16-17,Revenue,,1010,Service Charges,61438
FY16-17,Revenue,,1010,Service Charges,8473
FY16-17,Revenue,,1010,Miscellaneous Revenue,165408
FY16-17,Revenue,,1820,Service Charges,25000
FY16-17,Revenue,,1820,Service Charges,7800
FY16-17,Revenue,,1820,Service Charges,15000
FY16-17,Revenue,,1820,Service Charges,200000
FY16-17,Revenue,,1820,Service Charges,25000
FY16-17,Revenue,,1820,Service Charges,495000
FY16-17,Revenue,,1820,Service Charges,250000
FY16-17,Revenue,,1820,Service Charges,70000
FY16-17,Revenue,,1820,Service Charges,400000
FY16-17,Revenue,,1820,Service Charges,56559
FY16-17,Revenue,,1820,Service Charges,26830
FY16-17,Revenue,,1820,Miscellaneous Revenue,283800
FY16-17,Revenue,,1820,Service Charges,32000
FY16-17,Revenue,,1820,Service Charges,4500
FY16-17,Revenue,,1820,Service Charges,14000
FY16-17,Revenue,,1820,Service Charges,6000
FY16-17,Revenue,,1820,Service Charges,260000
FY16-17,Revenue,,1820,Service Charges,20000
FY16-17,Revenue,,1820,Service Charges,3500
FY16-17,Revenue,,1820,Service Charges,58000
FY16-17,Revenue,,1820,Service Charges,46000
FY16-17,Revenue,,1820,Service Charges,9000
FY16-17,Revenue,,1820,Service Charges,12000
FY16-17,Revenue,,1820,Service Charges,100000
FY16-17,Revenue,,1820,Service Charges,8000
FY16-17,Revenue,,1820,Service Charges,200000
FY16-17,Revenue,,1820,Service Charges,14680
FY16-17,Revenue,,1820,Service Charges,92000
FY16-17,Revenue,,1820,Service Charges,12100
FY16-17,Revenue,,1820,Transfers from Fund Balance,395888
FY16-17,Revenue,,1820,Service Charges,15000
FY16-17,Revenue,,1820,Service Charges,3008
FY16-17,Revenue,,1820,Service Charges,12000
FY16-17,Revenue,,1820,Service Charges,3000
FY16-17,Revenue,,1820,Service Charges,4000
FY16-17,Revenue,,1820,Service Charges,62702
FY16-17,Revenue,,1820,Service Charges,8245
FY16-17,Revenue,,1820,Service Charges,89000
FY16-17,Revenue,,1820,Service Charges,4200
FY16-17,Revenue,,1820,Service Charges,40000
FY16-17,Revenue,,1820,Service Charges,125511
FY16-17,Revenue,,1820,Interfund Transfers,600000
FY16-17,Revenue,,1820,Interfund Transfers,41847
FY16-17,Revenue,,1820,Service Charges,87000
FY16-17,Revenue,,1820,Service Charges,12648
FY16-17,Revenue,,1820,Service Charges,125000
FY16-17,Revenue,,1820,Service Charges,150000
FY16-17,Revenue,,1820,Service Charges,25000
FY16-17,Revenue,,1820,Service Charges,32000
FY16-17,Revenue,,1820,Service Charges,40000
FY16-17,Revenue,,1820,Service Charges,6000
FY16-17,Revenue,,1820,Service Charges,13000
FY16-17,Revenue,,1820,Service Charges,5150
FY16-17,Revenue,,1820,Service Charges,45000
FY16-17,Revenue,,1820,Service Charges,3000
FY16-17,Revenue,,1820,Service Charges,12357
FY16-17,Revenue,,1820,Service Charges,2500
FY16-17,Revenue,,1820,Service Charges,50000
FY16-17,Revenue,,1820,Service Charges,210000
FY16-17,Revenue,,1820,Service Charges,60000
FY16-17,Revenue,,1820,Service Charges,1110
FY16-17,Revenue,,1820,Service Charges,18000
FY16-17,Revenue,,1820,Service Charges,6070
FY16-17,Revenue,,1820,Service Charges,4160
FY16-17,Revenue,,1820,Service Charges,64000
FY16-17,Revenue,,1820,Miscellaneous Revenue,4500
FY16-17,Revenue,,1820,Service Charges,22000
FY16-17,Revenue,,1820,Service Charges,200000
FY16-17,Revenue,,1820,Service Charges,31000
FY16-17,Revenue,,1820,Service Charges,30000
FY16-17,Revenue,,1820,Service Charges,13000
FY16-17,Revenue,,1820,Service Charges,120000
FY16-17,Revenue,,1820,Service Charges,10000
FY16-17,Revenue,,1820,Service Charges,10000
FY16-17,Revenue,,1820,Miscellaneous Revenue,52000
FY16-17,Revenue,,1820,Transfers from Fund Balance,390000
FY16-17,Revenue,,1820,Service Charges,14000
FY16-17,Revenue,,1820,Service Charges,3000
FY16-17,Revenue,,1820,Service Charges,8000
FY16-17,Revenue,,1820,Service Charges,135000
FY16-17,Revenue,,1820,Service Charges,120000
FY16-17,Revenue,,1820,Service Charges,6170
FY16-17,Revenue,,1820,Service Charges,203000
FY16-17,Revenue,,1820,Service Charges,8000
FY16-17,Revenue,,1820,Service Charges,137633
FY16-17,Revenue,,1820,Service Charges,42678
FY16-17,Revenue,,1820,Service Charges,40446
FY16-17,Revenue,,1820,Service Charges,380000
FY16-17,Revenue,,1820,Service Charges,142169
FY16-17,Revenue,,1820,Service Charges,5993
FY16-17,Revenue,,1820,Service Charges,67311
FY16-17,Revenue,,1820,Service Charges,15268
FY16-17,Revenue,,1820,Service Charges,43045
FY16-17,Revenue,,1820,Service Charges,35030
FY16-17,Revenue,,1820,Service Charges,20807
FY16-17,Revenue,,1820,Service Charges,35500
FY16-17,Revenue,,1820,Service Charges,34693
FY16-17,Revenue,,1820,Service Charges,38346
FY16-17,Revenue,,1820,Service Charges,5000
FY16-17,Revenue,,1820,Service Charges,84226
FY16-17,Revenue,,1820,Service Charges,2570
FY16-17,Revenue,,1820,Service Charges,2230
FY16-17,Revenue,,2996,Service Charges,16847
FY16-17,Revenue,,3200,Service Charges,18000
FY16-17,Revenue,,3200,Miscellaneous Revenue,163582
FY16-17,Revenue,,3200,Service Charges,200000
FY16-17,Revenue,,3200,Service Charges,277950
FY16-17,Revenue,,7999,Miscellaneous Revenue,69270
FY16-17,Revenue,,1010,Fines & Penalties,248100
FY16-17,Revenue,,1010,Service Charges,3162
FY16-17,Revenue,,1010,Service Charges,481646
FY16-17,Revenue,,2148,Grants & Subsidies,75569
FY16-17,Revenue,,2163,Grants & Subsidies,72719
FY16-17,Revenue,,2241,Interfund Transfers,754121
FY16-17,Revenue,,2241,Interfund Transfers,500000
FY16-17,Revenue,,2241,Miscellaneous Revenue,7500
FY16-17,Revenue,,2241,Local Tax,15894042
FY16-17,Revenue,,2241,Transfers from Fund Balance,1153831
FY16-17,Revenue,,2242,Interfund Transfers,754121
FY16-17,Revenue,,7540,Miscellaneous Revenue,110879
FY16-17,Revenue,,1100,Interfund Transfers,3774814
FY16-17,Revenue,,1710,Service Charges,550
FY16-17,Revenue,,1710,Service Charges,3149000
FY16-17,Revenue,,1710,Service Charges,150
FY16-17,Revenue,,1710,Grants & Subsidies,1187500
FY16-17,Revenue,,1710,Transfers from Fund Balance,198475
FY16-17,Revenue,,1710,Transfers from Fund Balance,30000
FY16-17,Revenue,,1720,Service Charges,19904110
FY16-17,Revenue,,1720,Licenses & Permits,9000
FY16-17,Revenue,,1720,Service Charges,33000
FY16-17,Revenue,,1720,Interfund Transfers,89709
FY16-17,Revenue,,1720,Service Charges,26000
FY16-17,Revenue,,1720,Transfers from Fund Balance,3145341
FY16-17,Revenue,,1720,Service Charges,89200
FY16-17,Revenue,,1750,Service Charges,8555974
FY16-17,Revenue,,2116,Grants & Subsidies,298863
FY16-17,Revenue,,2211,Transfers from Fund Balance,543600
FY16-17,Revenue,,2211,Sales Tax,10718733
FY16-17,Revenue,,2212,Transfers from Fund Balance,92043
FY16-17,Revenue,,2212,Sales Tax,1238089
FY16-17,Revenue,,2215,Transfers from Fund Balance,544533
FY16-17,Revenue,,2215,Transfers from Fund Balance,197851
FY16-17,Revenue,,2215,Grants & Subsidies,1638000
FY16-17,Revenue,,2215,Transfers from Fund Balance,8360
FY16-17,Revenue,,2216,Sales Tax,10183163
FY16-17,Revenue,,2216,Sales Tax,1020519
FY16-17,Revenue,,2230,Gas Tax,7392242
FY16-17,Revenue,,2230,Service Charges,8000
FY16-17,Revenue,,2230,Service Charges,6000
FY16-17,Revenue,,2230,Service Charges,3000
FY16-17,Revenue,,2230,Service Charges,3000
FY16-17,Revenue,,2230,Transfers from Fund Balance,600662
FY16-17,Revenue,,2230,Grants & Subsidies,40000
FY16-17,Revenue,,2230,Grants & Subsidies,40000
FY16-17,Revenue,,2230,Grants & Subsidies,61100
FY16-17,Revenue,,2231,Transfers from Fund Balance,23750
FY16-17,Revenue,,2231,Miscellaneous Revenue,968456
FY16-17,Revenue,,2310,Service Charges,4900
FY16-17,Revenue,,2310,Service Charges,2050
FY16-17,Revenue,,2310,Interfund Transfers,84084
FY16-17,Revenue,,2310,Service Charges,56940
FY16-17,Revenue,,2310,Service Charges,24360
FY16-17,Revenue,,2310,Service Charges,24360
FY16-17,Revenue,,2310,Licenses & Permits,52600
FY16-17,Revenue,,2310,Service Charges,2050
FY16-17,Revenue,,2310,Service Charges,56940
FY16-17,Revenue,,2415,Service Charges,78000
FY16-17,Revenue,,2415,Service Charges,282284
FY16-17,Revenue,,2415,Licenses & Permits,1400000
FY16-17,Revenue,,2415,Licenses & Permits,400000
FY16-17,Revenue,,2415,Service Charges,1737310
FY16-17,Revenue,,2415,Service Charges,130000
FY16-17,Revenue,,2415,Service Charges,1549531
FY16-17,Revenue,,2415,Miscellaneous Revenue,200000
FY16-17,Revenue,,2415,Service Charges,80000
FY16-17,Revenue,,2415,Miscellaneous Revenue,240000
FY16-17,Revenue,,2415,Service Charges,75000
FY16-17,Revenue,,2416,Fines & Penalties,1526764
FY16-17,Revenue,,2990,Grants & Subsidies,70000
FY16-17,Revenue,,2990,Grants & Subsidies,210000
FY16-17,Revenue,,3100,Service Charges,54810940
FY16-17,Revenue,,3100,Transfers from Fund Balance,4896014
FY16-17,Revenue,,3100,Service Charges,40000
FY16-17,Revenue,,3100,Service Charges,25000
FY16-17,Revenue,,3100,Service Charges,3354000
FY16-17,Revenue,,3100,Transfers from Fund Balance,3532700
FY16-17,Revenue,,3150,Interfund Transfers,500000
