Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Subscriptions and Publications,100,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7910
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,15000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,8010
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Postage,500,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,8510
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Community Promotion,8000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,8800
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,1000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Professional Development,1000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9100
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,2000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Local Business Expense,1000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9130
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Memberships,1300,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9150
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,6000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9410
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,8000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,9470
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,68918,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7020
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,5269,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7105
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,14400,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,8512,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7115
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,15641,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7120
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,96,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7135
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,1000,,Customer Service Info Center,3000 - Customer Service Info Center,1010,7520
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,43000,,Customer Service Info Center,3000 - Customer Service Info Center,1010,8010
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,5000,,Customer Service Info Center,3000 - Customer Service Info Center,1010,9000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,2500,,Customer Service Info Center,3000 - Customer Service Info Center,1010,9110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,311 Call Center Services,63786,,Customer Service Info Center,3000 - Customer Service Info Center,1010,9450
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,1000,,Customer Service Info Center,3000 - Customer Service Info Center,1010,9470
FY19,Expense,Adminitrative Services,Admin Services Support,CRC-Rosa  Activities,Other Services and Charges,Community Promotion,80000,,Rosa Parks Activities,4000 - Rosa Parks Activities,1553,8800
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,311446,,Administration,1000 - Administration,1010,7020
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,23809,,Administration,1000 - Administration,1010,7105
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,64800,,Administration,1000 - Administration,1010,7110
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,38839,,Administration,1000 - Administration,1010,7115
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,71412,,Administration,1000 - Administration,1010,7120
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,436,,Administration,1000 - Administration,1010,7135
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Supplies,Supplies,30000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,332000,,Administration,1000 - Administration,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,1500,,Administration,1000 - Administration,1010,8500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,600,,Administration,1000 - Administration,1010,8505
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Postage,1000,,Administration,1000 - Administration,1010,8510
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Other Travel & Training,8000,,Administration,1000 - Administration,1010,9110
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Memberships,1500,,Administration,1000 - Administration,1010,9150
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,14940,,Administration,1000 - Administration,1010,9470
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Computer Services-from IT,292661,,Administration,1000 - Administration,1010,9480
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,74000,,City University,1020 - City University,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Tuition Reimbursement-Scholarsh,55000,,City University,1020 - City University,1010,9140
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,33246,,City University,1020 - City University,1010,9430
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,130390,,Employee Benefits,2100 - Employee Benefits,1010,7020
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,9969,,Employee Benefits,2100 - Employee Benefits,1010,7105
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,27360,,Employee Benefits,2100 - Employee Benefits,1010,7110
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,16184,,Employee Benefits,2100 - Employee Benefits,1010,7115
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,29775,,Employee Benefits,2100 - Employee Benefits,1010,7120
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,180,,Employee Benefits,2100 - Employee Benefits,1010,7135
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,1500,,Employee Benefits,2100 - Employee Benefits,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,870,,Employee Benefits,2100 - Employee Benefits,1010,8505
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,5364,,Employee Benefits,2100 - Employee Benefits,1010,9470
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,328462,,Recruiting,2120 - Recruiting,1010,7020
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,25118,,Recruiting,2120 - Recruiting,1010,7105
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,72000,,Recruiting,2120 - Recruiting,1010,7110
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,40622,,Recruiting,2120 - Recruiting,1010,7115
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,74662,,Recruiting,2120 - Recruiting,1010,7120
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,451,,Recruiting,2120 - Recruiting,1010,7135
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,42220,,Recruiting,2120 - Recruiting,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,40000,,Recruiting,2120 - Recruiting,1010,8011
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,2400,,Recruiting,2120 - Recruiting,1010,8500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Advertising - Any Media,15000,,Recruiting,2120 - Recruiting,1010,9010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,8940,,Recruiting,2120 - Recruiting,1010,9470
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Full Time Employees,174904,,Health Insurance,2150 - Health Insurance,6770,7020
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Employers FICA,13365,,Health Insurance,2150 - Health Insurance,6770,7105
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Hospitalization Insurance,33840,,Health Insurance,2150 - Health Insurance,6770,7110
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Retiree Health Care-OPEB,21749,,Health Insurance,2150 - Health Insurance,6770,7115
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Retirement Fund Contribution,39984,,Health Insurance,2150 - Health Insurance,6770,7120
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Unemployment Compensation,240,,Health Insurance,2150 - Health Insurance,6770,7135
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Contractual Services,881737,,Health Insurance,2150 - Health Insurance,6770,8010
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Health Insurance Claims,26355529,,Health Insurance,2150 - Health Insurance,6770,8370
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Wellness Plan,100000,,Health Insurance,2150 - Health Insurance,6770,8390
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Claims,35154,,Health Insurance,2150 - Health Insurance,6770,8450
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Community Promotion,18000,,Health Insurance,2150 - Health Insurance,6770,8800
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Employee Parking,459,,Health Insurance,2150 - Health Insurance,6770,9470
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Computer Services-from IT,8271,,Health Insurance,2150 - Health Insurance,6770,9480
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Financing,Operating Transfers-A87 Cost,186073,,Health Insurance,2150 - Health Insurance,6770,9952
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,25000,,Other,2199 - Other,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,41103,,Other,2199 - Other,6771,8400
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Death Benefits,100000,,Other,2199 - Other,6771,8440
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Claims,18746,,Other,2199 - Other,1010,8450
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Community Promotion,10000,,Other,2199 - Other,1010,8800
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Printing & Publishing,2500,,Other,2199 - Other,1010,9000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Memberships,980,,Other,2199 - Other,1010,9150
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,4000,,Other,2199 - Other,1010,9410
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,93515,,Other,2199 - Other,1010,9430
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,311 Call Center Services,17333,,Other,2199 - Other,1010,9450
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Capital Outlays,Computer Equipment,5000,,Other,2199 - Other,1010,9805
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Health Insurance Claims,702512,,Over 65 Health Care,2200 - Over 65 Health Care,6770,8370
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Retiree Health-Other Ins Co,586140,,Over 65 Health Care,2200 - Over 65 Health Care,6770,8380
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,263017,,Labor Relations,4000 - Labor Relations,1010,7020
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,20125,,Labor Relations,4000 - Labor Relations,1010,7105
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,43200,,Labor Relations,4000 - Labor Relations,1010,7110
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,32795,,Labor Relations,4000 - Labor Relations,1010,7115
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,60316,,Labor Relations,4000 - Labor Relations,1010,7120
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,372,,Labor Relations,4000 - Labor Relations,1010,7135
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,75000,,Labor Relations,4000 - Labor Relations,1010,8010
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,1200,,Labor Relations,4000 - Labor Relations,1010,8500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,435,,Labor Relations,4000 - Labor Relations,1010,8505
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Printing & Publishing,3000,,Labor Relations,4000 - Labor Relations,1010,9000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,33403,,Labor Relations,4000 - Labor Relations,1010,9430
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,6364,,Labor Relations,4000 - Labor Relations,1010,9470
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,27936,,Safety Review,5100 - Safety Review,6771,7020
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,2136,,Safety Review,5100 - Safety Review,6771,7105
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,5760,,Safety Review,5100 - Safety Review,6771,7110
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,3444,,Safety Review,5100 - Safety Review,6771,7115
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,6336,,Safety Review,5100 - Safety Review,6771,7120
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,36,,Safety Review,5100 - Safety Review,6771,7135
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,50000,,Safety Review,5100 - Safety Review,6771,8010
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Telephone,780,,Safety Review,5100 - Safety Review,6771,8500
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Equipment Rentals or Lease,1786,,Safety Review,5100 - Safety Review,6771,9410
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,2004,,Safety Review,5100 - Safety Review,6771,9470
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,111756,,Workers Comp,5200 - Workers Comp,6771,7020
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,8556,,Workers Comp,5200 - Workers Comp,6771,7105
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,21600,,Workers Comp,5200 - Workers Comp,6771,7110
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,13860,,Workers Comp,5200 - Workers Comp,6771,7115
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,25488,,Workers Comp,5200 - Workers Comp,6771,7120
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,156,,Workers Comp,5200 - Workers Comp,6771,7135
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,150000,,Workers Comp,5200 - Workers Comp,6771,8010
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,225000,,Workers Comp,5200 - Workers Comp,6771,8400
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Statutory Worker's Comp,100000,,Workers Comp,5200 - Workers Comp,6771,8425
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Medical Provider Services,500000,,Workers Comp,5200 - Workers Comp,6771,8430
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Medical-Supportive Charges,75000,,Workers Comp,5200 - Workers Comp,6771,8435
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims,200000,,Workers Comp,5200 - Workers Comp,6771,8450
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Telephone,1725,,Workers Comp,5200 - Workers Comp,6771,8500
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,3006,,Workers Comp,5200 - Workers Comp,6771,9470
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Administrative Services,160000,,WC-Lost Wages,5201 - WC-Lost Wages,6771,8030
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,117348,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7020
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,8977,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7105
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,21600,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7110
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,14549,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7115
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,26743,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7120
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,168,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,7135
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,39417,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8010
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Administrative Services,13715,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8030
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,1153362,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8400
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims-Taxable Payments,100000,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8445
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims,600000,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8450
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Gross Proceeds Paid to an Attorney,100000,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,8470
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,3006,,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,9470
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Unemployment Claims,75000,,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,8420
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,26585,,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,9430
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Computer Services-from IT,12610,,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,9480
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Financing,Operating Transfers-A87 Cost,128337,,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,9952
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Claims,23753,,Administration,1000 - Administration,1010,8450
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Telephone,1500,,Administration,1000 - Administration,1010,8500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,2450,,Administration,1000 - Administration,1010,8510
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,80591,,Administration,1000 - Administration,1010,9430
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,311 Call Center Services,867,,Administration,1000 - Administration,1010,9450
