FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2017 Budget
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-8691
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51010001,51,Personal Services,SALARIES AND WAGES,Operating,328579
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51010004,51,Personal Services,PART TIME & TEMPORARY WAGES,Operating,96000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,53420
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070003,51,Personal Services,INDEMNITY ADMIN,Operating,100208
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,19077
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51130010,51,Personal Services,MILEAGE REIMBURSEMENT,Operating,2800
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,4445
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51510016,51,Personal Services,MILEAGE REIMBURSEMENT NP,Operating,5000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52049001,52,Other Services,EMPLOYEE TRAINING,Operating,9197
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52070010,52,Other Services,TELEPHONE,Operating,3500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52130001,52,Other Services,MEMBERSHIPS,Operating,250
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52130004,52,Other Services,SUBSCRIPTIONS,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52280004,52,Other Services,CHARGEBACK-IT,Operating,48164
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52280013,52,Other Services,CHARGEBACK-PRINT SHOP,Operating,257
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52290010,52,Other Services,CHARGEBACK-POSTAGE,Operating,2100
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52310001,52,Other Services,PRINTING & BINDING,Operating,100
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52310004,52,Other Services,POSTAGE,Operating,300
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52340016,52,Other Services,MACHINERY AND EQUIPMENT MTCE,Operating,1600
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52370002,52,Other Services,EMPLOYEE TRAVEL REIMBURSEMENT,Operating,30960
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52890001,52,Other Services,OTHER SERVICES AND CHARGES,Operating,2250
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010001,53,Supplies,OFFICE SUPPLIES,Operating,2220
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010007,53,Supplies,COMPUTER SUPPLIES,Operating,1500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010016,53,Supplies,NON-CAPITAL FURNITURE & FIXTUR,Operating,250
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53890004,53,Supplies,CLOTHING & OTHER,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53890022,53,Supplies,OTHER SUPPLIES,Operating,3500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-675
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51010001,51,Personal Services,SALARIES AND WAGES,Operating,25523
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,5341
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,1483
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,404
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,52280004,52,Other Services,CHARGEBACK-IT,Operating,131544
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,52280007,52,Other Services,CHARGEBACK-RISK MANAGEMENT,Operating,9039
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-24371
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51010001,51,Personal Services,SALARIES AND WAGES,Operating,913229
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,84138
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,61662
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51130004,51,Personal Services,CAR ALLOWANCE,Operating,20300
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,4966
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52130001,52,Other Services,MEMBERSHIPS,Operating,12500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52280013,52,Other Services,CHARGEBACK-PRINT SHOP,Operating,1585
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290010,52,Other Services,CHARGEBACK-POSTAGE,Operating,2566
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290016,52,Other Services,CHARGEBACK-COLOR COPIES,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52340016,52,Other Services,MACHINERY AND EQUIPMENT MTCE,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52550700,52,Other Services,TRAINING/EDUCATION,Operating,9584
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52890001,52,Other Services,OTHER SERVICES AND CHARGES,Operating,4800
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010001,53,Supplies,OFFICE SUPPLIES,Operating,9000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010007,53,Supplies,COMPUTER SUPPLIES,Operating,3000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890004,53,Supplies,CLOTHING & OTHER,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890022,53,Supplies,OTHER SUPPLIES,Operating,1500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-2423
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51010001,51,Personal Services,SALARIES AND WAGES,Operating,90921
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,8013
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,6020
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,657
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-18029
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010001,51,Personal Services,SALARIES AND WAGES,Operating,680526
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010004,51,Personal Services,PART TIME & TEMPORARY WAGES,Operating,71664
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,132214
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,40633
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51130010,51,Personal Services,MILEAGE REIMBURSEMENT,Operating,150
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,13212
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52040046,52,Other Services,PROFESSIONAL SERVICES-OTHER,Operating,1100
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52049001,52,Other Services,EMPLOYEE TRAINING,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130001,52,Other Services,MEMBERSHIPS,Operating,1500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130004,52,Other Services,SUBSCRIPTIONS,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280004,52,Other Services,CHARGEBACK-IT,Operating,120057
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280013,52,Other Services,CHARGEBACK-PRINT SHOP,Operating,33067
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290010,52,Other Services,CHARGEBACK-POSTAGE,Operating,2400
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290016,52,Other Services,CHARGEBACK-COLOR COPIES,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52310001,52,Other Services,PRINTING & BINDING,Operating,574
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52340016,52,Other Services,MACHINERY AND EQUIPMENT MTCE,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52370002,52,Other Services,EMPLOYEE TRAVEL REIMBURSEMENT,Operating,2000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52890001,52,Other Services,OTHER SERVICES AND CHARGES,Operating,910
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010001,53,Supplies,OFFICE SUPPLIES,Operating,2985
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010007,53,Supplies,COMPUTER SUPPLIES,Operating,1227
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010016,53,Supplies,NON-CAPITAL FURNITURE & FIXTUR,Operating,880
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53040031,53,Supplies,OTHER EQUIPMENT,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890004,53,Supplies,CLOTHING & OTHER,Operating,100
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890022,53,Supplies,OTHER SUPPLIES,Operating,1320
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-2223
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51010001,51,Personal Services,SALARIES AND WAGES,Operating,83507
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,11352
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,5410
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,1109
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,52310001,52,Other Services,PRINTING & BINDING,Operating,100
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890004,53,Supplies,CLOTHING & OTHER,Operating,1400
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890010,53,Supplies,FUNDRAISING MATERIALS,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-6188
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personal Services,SALARIES AND WAGES,Operating,231285
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,21369
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,16262
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51130004,51,Personal Services,CAR ALLOWANCE,Operating,2320
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,1253
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,52890001,52,Other Services,OTHER SERVICES AND CHARGES,Operating,7000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-3752
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personal Services,SALARIES AND WAGES,Operating,141401
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,17360
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,8645
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51130004,51,Personal Services,CAR ALLOWANCE,Operating,580
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,1293
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-2828
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personal Services,SALARIES AND WAGES,Operating,105291
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,10684
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,7798
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,672
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-33213
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51010001,51,Personal Services,SALARIES AND WAGES,Operating,1247687
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51010004,51,Personal Services,PART TIME & TEMPORARY WAGES,Operating,57061
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51010007,51,Personal Services,OVERTIME WAGES,Operating,500
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51040001,51,Personal Services,EMPLOYER'S FICA EXPENSE,Operating,20077
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,200598
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,80985
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51130004,51,Personal Services,CAR ALLOWANCE,Operating,3800
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51130010,51,Personal Services,MILEAGE REIMBURSEMENT,Operating,550
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,070,Municipal Counselor,0700101,MUN COUN EXEC LEADERSHIP,07001,Municipal Counselor Admin,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,6906
