FiscalYear,AccountType,FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52049001,EMPLOYEE TRAINING,4360
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,13715
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51000013,BUDGET-SALARY RESERVE,91000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112104,AIRPORTS TECHNOLOGY,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,29300
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,15000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51070004,RETIREMENT PENSION CONTRIB,8672
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51010001,SALARIES AND WAGES,143625
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51070001,HEALTH AND WELFARE INSURANCE,34779
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-16300
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112106,AIRPORTS PUBLIC INFORMATION,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-3268
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51070004,RETIREMENT PENSION CONTRIB,42326
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51010001,SALARIES AND WAGES,700988
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51070001,HEALTH AND WELFARE INSURANCE,115930
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112203,AIRPORTS FACILITY & LEASE ADMN,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-11457
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-11244
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112202,AIRPORTS CONSTRUCTION,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-3742
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112202,AIRPORTS CONSTRUCTION,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-6941
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-2532
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-11048
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-16058
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-20669
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-9793
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-12816
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51000004,BUDGET-VACANCY DISCOUNT,-3045
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,51000004,BUDGET-VACANCY DISCOUNT,-7900
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280007,CHARGEBACK-RISK MANAGEMENT,1267412
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51010004,PART TIME & TEMPORARY WAGES,25500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280001,CHARGEBACK-ADMIN SRVCS,885868
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280004,CHARGEBACK-IT,402123
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280013,CHARGEBACK-PRINT SHOP,2499
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52340019,BUILDING MAINTENANCE,200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52010028,MISCELLANEOUS SRVCS CONTRACTS,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52130001,MEMBERSHIPS,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53010001,OFFICE SUPPLIES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53010016,NON-CAPITAL FURNITURE & FIXTUR,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010004,GRAPHICS SUPPLIES,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040041,PAVEMENT MARKING MATERIALS,89712
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52100001,LICENSES,100
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53010004,GRAPHICS SUPPLIES,100
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51130010,MILEAGE REIMBURSEMENT,700
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52000004,BUDGET-CONTINGENCY,336882
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52130001,MEMBERSHIPS,4000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52310004,POSTAGE,6000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52340016,MACHINERY AND EQUIPMENT MTCE,3000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52400007,OTHER EQUIPMENT RENTAL,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52890001,OTHER SERVICES AND CHARGES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010001,OFFICE SUPPLIES,9000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010013,NON-CAPITAL OFFICE MACHINES,1500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53010016,NON-CAPITAL FURNITURE & FIXTUR,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53040013,REPAIR & MAINTENANCE PARTS,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53890004,CLOTHING & OTHER,225
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,53890022,OTHER SUPPLIES,6000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,53890004,CLOTHING & OTHER,625
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,52280025,CHARGEBACK -POLICE,2968220
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,53890020,PHOTOGRAPHIC,100
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,53890022,OTHER SUPPLIES,7000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,51010007,OVERTIME WAGES,1300
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52130001,MEMBERSHIPS,211
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,300
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52400007,OTHER EQUIPMENT RENTAL,460
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,52890001,OTHER SERVICES AND CHARGES,20
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53010001,OFFICE SUPPLIES,800
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53010016,NON-CAPITAL FURNITURE & FIXTUR,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040013,REPAIR & MAINTENANCE PARTS,400
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040025,SMALL TOOLS & MINOR EQUIP,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53040031,OTHER EQUIPMENT,200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,53890004,CLOTHING & OTHER,3350
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,51010007,OVERTIME WAGES,4056
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52070007,NATURAL GAS,18000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52100001,LICENSES,100
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52400007,OTHER EQUIPMENT RENTAL,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,52890001,OTHER SERVICES AND CHARGES,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53010001,OFFICE SUPPLIES,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040013,REPAIR & MAINTENANCE PARTS,90000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040025,SMALL TOOLS & MINOR EQUIP,4800
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53040031,OTHER EQUIPMENT,10000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53890004,CLOTHING & OTHER,15200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,53890022,OTHER SUPPLIES,10000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51010004,PART TIME & TEMPORARY WAGES,8000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,15000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52070007,NATURAL GAS,160000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52100001,LICENSES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52340019,BUILDING MAINTENANCE,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,52890001,OTHER SERVICES AND CHARGES,10000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010001,OFFICE SUPPLIES,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010013,NON-CAPITAL OFFICE MACHINES,250
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53010016,NON-CAPITAL FURNITURE & FIXTUR,200
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040001,JANITOR SUPPLIES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,100000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53040031,OTHER EQUIPMENT,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53890004,CLOTHING & OTHER,11000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,53890022,OTHER SUPPLIES,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51130007,TOOL ALLOWANCE,1700
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52340016,MACHINERY AND EQUIPMENT MTCE,7000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52340034,OTHER REPAIRS AND MAINTENANCE,5000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52400007,OTHER EQUIPMENT RENTAL,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,52890001,OTHER SERVICES AND CHARGES,3000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,100000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,3000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53040031,OTHER EQUIPMENT,13000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,53890022,OTHER SUPPLIES,1500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,54165004,VEHICLES,500000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51010004,PART TIME & TEMPORARY WAGES,40000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51010007,OVERTIME WAGES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,52010028,MISCELLANEOUS SRVCS CONTRACTS,400
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53040013,REPAIR & MAINTENANCE PARTS,10000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53040025,SMALL TOOLS & MINOR EQUIP,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,53890004,CLOTHING & OTHER,1000
