budget_year,department,fund_code,account_type,account_category,amount
FY14-15,,1710,Revenue,Service Charges,7148877
FY14-15,,1710,Revenue,Grants & Subsidies,1187500
FY14-15,,1710,Revenue,Transfers from Fund Balance,877597
FY14-15,,1710,Revenue,Service Charges,150
FY14-15,,1710,Revenue,Service Charges,550
FY14-15,,2990,Revenue,Grants & Subsidies,70000
FY14-15,,4400,Revenue,Grants & Subsidies,120945
FY14-15,,4300,Revenue,Internal Service Funds,4005
FY14-15,,4300,Revenue,Internal Service Funds,1431990
FY14-15,,1010,Revenue,Service Charges,2308801
FY14-15,,4210,Revenue,Internal Service Funds,149763
FY14-15,,4210,Revenue,Internal Service Funds,73197
FY14-15,,4210,Revenue,Internal Service Funds,85570
FY14-15,,4200,Revenue,Internal Service Funds,3537377
FY14-15,,4200,Revenue,Internal Service Funds,40000
FY14-15,,4300,Revenue,Internal Service Funds,4720
FY14-15,,4300,Revenue,Internal Service Funds,30
FY14-15,,2993,Revenue,Grants & Subsidies,250000
FY14-15,,1010,Revenue,Fines & Penalties,256926
FY14-15,,1010,Revenue,Service Charges,3162
FY14-15,,1010,Revenue,Service Charges,481646
FY14-15,,2241,Revenue,Local Tax,14113043
FY14-15,,2241,Revenue,Transfers from Fund Balance,2555311
FY14-15,,2241,Revenue,Interfund Transfers,715050
FY14-15,,2242,Revenue,Transfers from Fund Balance,715050
FY14-15,,7540,Revenue,Miscellaneous Revenue,110879
FY14-15,,2148,Revenue,Grants & Subsidies,-84210
FY14-15,,2148,Revenue,Grants & Subsidies,84210
FY14-15,,2148,Revenue,Grants & Subsidies,68392
FY14-15,,2241,Revenue,Miscellaneous Revenue,7500
FY14-15,,2163,Revenue,Grants & Subsidies,72719
FY14-15,,1760,Revenue,Service Charges,1505000
FY14-15,,1760,Revenue,Service Charges,65000
FY14-15,,1760,Revenue,Service Charges,5000
FY14-15,,1760,Revenue,Transfers from Fund Balance,6944
FY14-15,,2128,Revenue,Grants & Subsidies,1405480
FY14-15,,2128,Revenue,Interfund Transfers,61664
FY14-15,,2128,Revenue,Interfund Transfers,149804
FY14-15,,2120,Revenue,Grants & Subsidies,299918
FY14-15,,2120,Revenue,Grants & Subsidies,29883
FY14-15,,2120,Revenue,Interfund Transfers,11509
FY14-15,,2120,Revenue,Interfund Transfers,12092
FY14-15,,2160,Revenue,Grants & Subsidies,42019
FY14-15,,2160,Revenue,Interfund Transfers,10236
FY14-15,,2213,Revenue,Sales Tax,947480
FY14-15,,2213,Revenue,Service Charges,76361
FY14-15,,2213,Revenue,Service Charges,44739
FY14-15,,2213,Revenue,Interfund Transfers,80031
FY14-15,,1010,Revenue,Service Charges,11585
FY14-15,,1010,Revenue,Service Charges,18704
FY14-15,,1010,Revenue,Service Charges,26119
FY14-15,,1010,Revenue,Service Charges,68089
FY14-15,,1010,Revenue,Service Charges,19159
FY14-15,,1010,Revenue,Service Charges,10943
FY14-15,,1010,Revenue,Service Charges,10943
FY14-15,,2114,Revenue,Grants & Subsidies,981426
FY14-15,,2114,Revenue,Interfund Transfers,277481
FY14-15,,2195,Revenue,Interfund Transfers,16387
FY14-15,,1010,Revenue,Service Charges,111600
FY14-15,,2159,Revenue,Grants & Subsidies,134932
FY14-15,,2159,Revenue,Grants & Subsidies,111080
FY14-15,,2159,Revenue,Grants & Subsidies,198920
FY14-15,,2102,Revenue,Grants & Subsidies,545000
FY14-15,,2128,Revenue,Grants & Subsidies,12940032
FY14-15,,2128,Revenue,Grants & Subsidies,111886
FY14-15,,2128,Revenue,Grants & Subsidies,61296
FY14-15,,2128,Revenue,Grants & Subsidies,2787426
FY14-15,,2128,Revenue,Grants & Subsidies,2451846
FY14-15,,2128,Revenue,Interfund Transfers,1311776
FY14-15,,2128,Revenue,Interfund Transfers,204084
FY14-15,,2138,Revenue,Grants & Subsidies,904985
FY14-15,,2138,Revenue,Grants & Subsidies,32500
FY14-15,,2128,Revenue,Interfund Transfers,186638
FY14-15,,2128,Revenue,Interfund Transfers,74417
FY14-15,,2128,Revenue,Interfund Transfers,47976
FY14-15,,2128,Revenue,Interfund Transfers,160987
FY14-15,,2128,Revenue,Interfund Transfers,13854
FY14-15,,2102,Revenue,Grants & Subsidies,550000
FY14-15,,2102,Revenue,Interfund Transfers,73708
FY14-15,,1780,Revenue,Interfund Transfers,12487515
FY14-15,,2128,Revenue,Interfund Transfers,31203
FY14-15,,2128,Revenue,Grants & Subsidies,1241775
FY14-15,,2128,Revenue,Interfund Transfers,54618
FY14-15,,2103,Revenue,Grants & Subsidies,1829618
FY14-15,,2103,Revenue,Grants & Subsidies,259824
FY14-15,,2103,Revenue,Grants & Subsidies,245146
FY14-15,,2103,Revenue,Grants & Subsidies,2673899
FY14-15,,2103,Revenue,Grants & Subsidies,699770
FY14-15,,2103,Revenue,Grants & Subsidies,656315
FY14-15,,2103,Revenue,Interfund Transfers,729
FY14-15,,2103,Revenue,Interfund Transfers,7189
FY14-15,,2103,Revenue,Interfund Transfers,5327
FY14-15,,2103,Revenue,Interfund Transfers,10707
FY14-15,,2103,Revenue,Interfund Transfers,3189
FY14-15,,2108,Revenue,Interfund Transfers,106079
FY14-15,,2160,Revenue,Grants & Subsidies,250000
FY14-15,,2160,Revenue,Grants & Subsidies,139243
FY14-15,,2160,Revenue,Interfund Transfers,751
FY14-15,,2994,Revenue,Grants & Subsidies,76000
FY14-15,,2415,Revenue,Service Charges,1844000
FY14-15,,2415,Revenue,Licenses & Permits,11000
FY14-15,,2415,Revenue,Licenses & Permits,6000
FY14-15,,2415,Revenue,Licenses & Permits,718000
FY14-15,,2415,Revenue,Licenses & Permits,132000
FY14-15,,2415,Revenue,Licenses & Permits,393000
FY14-15,,2415,Revenue,Service Charges,284000
FY14-15,,2415,Revenue,Service Charges,5000
FY14-15,,2415,Revenue,Service Charges,76000
FY14-15,,2415,Revenue,Service Charges,383000
FY14-15,,2415,Revenue,Service Charges,235000
FY14-15,,2415,Revenue,Service Charges,2000
FY14-15,,2415,Revenue,Licenses & Permits,356000
FY14-15,,2415,Revenue,Service Charges,110000
FY14-15,,2415,Revenue,Licenses & Permits,1264000
FY14-15,,2415,Revenue,Service Charges,519915
FY14-15,,2415,Revenue,Service Charges,409000
FY14-15,,2415,Revenue,Service Charges,41000
FY14-15,,2415,Revenue,Service Charges,141000
FY14-15,,2415,Revenue,Service Charges,151000
FY14-15,,2415,Revenue,Service Charges,14000
FY14-15,,2415,Revenue,Miscellaneous Revenue,35000
FY14-15,,2415,Revenue,Licenses & Permits,2049000
FY14-15,,2415,Revenue,Licenses & Permits,139000
FY14-15,,2415,Revenue,Licenses & Permits,1628000
FY14-15,,2415,Revenue,Service Charges,34000
FY14-15,,2415,Revenue,Licenses & Permits,618000
FY14-15,,2415,Revenue,Licenses & Permits,229000
FY14-15,,2415,Revenue,Licenses & Permits,185000
FY14-15,,2415,Revenue,Licenses & Permits,2463000
FY14-15,,2415,Revenue,Service Charges,2781000
FY14-15,,2415,Revenue,Licenses & Permits,246000
FY14-15,,2415,Revenue,Service Charges,148000
FY14-15,,2415,Revenue,Service Charges,455000
FY14-15,,2415,Revenue,Licenses & Permits,375000
FY14-15,,2415,Revenue,Service Charges,4000
FY14-15,,2415,Revenue,Licenses & Permits,939000
FY14-15,,2415,Revenue,Fines & Penalties,644000
FY14-15,,2415,Revenue,Fines & Penalties,371000
FY14-15,,2415,Revenue,Service Charges,177000
FY14-15,,2415,Revenue,Service Charges,785000
FY14-15,,2415,Revenue,Service Charges,349000
FY14-15,,2415,Revenue,Service Charges,116000
FY14-15,,2415,Revenue,Service Charges,125000
FY14-15,,2415,Revenue,Service Charges,605000
FY14-15,,2415,Revenue,Service Charges,151000
FY14-15,,2415,Revenue,Service Charges,418000
FY14-15,,2109,Revenue,Grants & Subsidies,2161467
FY14-15,,2108,Revenue,Interest Income,50000
FY14-15,,2108,Revenue,Miscellaneous Revenue,750000
FY14-15,,2826,Revenue,Interest Income,10000
FY14-15,,2826,Revenue,Miscellaneous Revenue,53000
FY14-15,,2826,Revenue,Miscellaneous Revenue,26492
FY14-15,,2108,Revenue,Grants & Subsidies,6655657
FY14-15,,2413,Revenue,Service Charges,1950000
FY14-15,,2413,Revenue,Transfers from Fund Balance,264740
FY14-15,,2107,Revenue,Interest Income,150000
FY14-15,,2107,Revenue,Miscellaneous Revenue,821000
FY14-15,,2107,Revenue,Transfers from Fund Balance,1151000
FY14-15,,1730,Revenue,Interfund Transfers,579589
FY14-15,,1791,Revenue,Interfund Transfers,579605
FY14-15,,1100,Revenue,Interfund Transfers,19454567
FY14-15,,1200,Revenue,Property Tax,188312
FY14-15,,1200,Revenue,Local Tax,42897251
FY14-15,,1200,Revenue,Local Tax,5110131
FY14-15,,1200,Revenue,Local Tax,4097340
FY14-15,,1200,Revenue,Local Tax,646864
FY14-15,,1200,Revenue,Local Tax,2684487
FY14-15,,1200,Revenue,Local Tax,-64643
FY14-15,,1200,Revenue,Local Tax,2102100
FY14-15,,1200,Revenue,Fines & Penalties,709320
FY14-15,,1200,Revenue,Transfers from Fund Balance,740351
FY14-15,,1200,Revenue,Interfund Transfers,9624258
FY14-15,,6027,Revenue,Transfers from Fund Balance,11269000
FY14-15,,6029,Revenue,Interfund Transfers,8965220
FY14-15,,6032,Revenue,Interfund Transfers,42014001
FY14-15,,6036,Revenue,Interfund Transfers,17956550
FY14-15,,6063,Revenue,Transfers from Fund Balance,11244648
FY14-15,,6311,Revenue,Transfers from Fund Balance,1332563
FY14-15,,6312,Revenue,Transfers from Fund Balance,6652225
FY14-15,,6321,Revenue,Transfers from Fund Balance,4617132
FY14-15,,6540,Revenue,Miscellaneous Revenue,34736
FY14-15,,6555,Revenue,Transfers from Fund Balance,236169
FY14-15,,6570,Revenue,Interfund Transfers,25600
FY14-15,,6587,Revenue,Transfers from Fund Balance,439051
FY14-15,,7320,Revenue,Miscellaneous Revenue,9624258
FY14-15,,6999,Revenue,Miscellaneous Revenue,21500000
FY14-15,,6014,Revenue,Interfund Transfers,14078113
FY14-15,,7100,Revenue,Transfers from Fund Balance,2606930
FY14-15,,7120,Revenue,Transfers from Fund Balance,250162
FY14-15,,6612,Revenue,Transfers from Fund Balance,2250000
FY14-15,,6612,Revenue,Interfund Transfers,9068307
FY14-15,,1010,Revenue,Service Charges,5530
FY14-15,,1010,Revenue,Miscellaneous Revenue,4000000
FY14-15,,1010,Revenue,Transfers from Fund Balance,4414765
FY14-15,,1010,Revenue,Transfers from Fund Balance,957915
FY14-15,,2419,Revenue,Transient Occupancy Tax,370381
FY14-15,,2419,Revenue,Transient Occupancy Tax,370381
FY14-15,,2419,Revenue,Transient Occupancy Tax,370381
FY14-15,,2419,Revenue,Transient Occupancy Tax,1481523
FY14-15,,5510,Revenue,Interfund Transfers,2250000
FY14-15,,7640,Revenue,Interest Income,32610
FY14-15,,2215,Revenue,Grants & Subsidies,1500000
FY14-15,,1010,Revenue,Service Charges,38496
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,1010,Revenue,Service Charges,13000
FY14-15,,2159,Revenue,Grants & Subsidies,136886
FY14-15,,2416,Revenue,Transfers from Fund Balance,75763
FY14-15,,2999,Revenue,Transfers from Fund Balance,1300000
FY14-15,,2995,Revenue,Grants & Subsidies,10000
FY14-15,,1010,Revenue,Service Charges,3742
FY14-15,,1010,Revenue,Service Charges,10700
FY14-15,,1010,Revenue,Service Charges,26000
FY14-15,,2159,Revenue,Miscellaneous Revenue,114123
FY14-15,,1010,Revenue,Licenses & Permits,120377
FY14-15,,1010,Revenue,Fines & Penalties,70000
FY14-15,,1010,Revenue,Service Charges,5600
FY14-15,,1010,Revenue,Service Charges,12800
FY14-15,,1010,Revenue,Service Charges,23400
FY14-15,,1010,Revenue,Service Charges,37200
FY14-15,,1010,Revenue,Licenses & Permits,831
FY14-15,,1010,Revenue,Service Charges,214000
FY14-15,,1010,Revenue,Miscellaneous Revenue,33912
FY14-15,,2112,Revenue,Grants & Subsidies,140899
FY14-15,,2411,Revenue,Service Charges,1088524
FY14-15,,2411,Revenue,Transfers from Fund Balance,426960
FY14-15,,1010,Revenue,Transfers from Fund Balance,4592626
FY14-15,,1010,Revenue,Service Charges,223403
FY14-15,,1010,Revenue,Licenses & Permits,35821
FY14-15,,1010,Revenue,Licenses & Permits,58135
FY14-15,,1010,Revenue,Service Charges,73653
FY14-15,,1010,Revenue,Service Charges,397217
FY14-15,,1010,Revenue,Service Charges,94400
FY14-15,,2172,Revenue,Service Charges,380000
FY14-15,,2172,Revenue,Transfers from Fund Balance,32615
FY14-15,,2416,Revenue,Fines & Penalties,1200000
FY14-15,,1010,Revenue,Licenses & Permits,3723
FY14-15,,1010,Revenue,Fines & Penalties,21050
FY14-15,,1010,Revenue,Service Charges,868199
FY14-15,,1010,Revenue,Service Charges,9000
FY14-15,,1010,Revenue,Service Charges,2600000
FY14-15,,1010,Revenue,Service Charges,5000
FY14-15,,2123,Revenue,Miscellaneous Revenue,188160
FY14-15,,2995,Revenue,Grants & Subsidies,10000
FY14-15,,1010,Revenue,Service Charges,8743
FY14-15,,1010,Revenue,Service Charges,61438
FY14-15,,1820,Revenue,Transfers from Fund Balance,156042
FY14-15,,7999,Revenue,Miscellaneous Revenue,69270
FY14-15,,1820,Revenue,Service Charges,1058567
FY14-15,,1820,Revenue,Service Charges,-98580
FY14-15,,1820,Revenue,Service Charges,40446
FY14-15,,1820,Revenue,Service Charges,64960
FY14-15,,1820,Revenue,Service Charges,20807
FY14-15,,1820,Revenue,Service Charges,35030
FY14-15,,1820,Revenue,Service Charges,10469
FY14-15,,1820,Revenue,Service Charges,10000
FY14-15,,1820,Revenue,Service Charges,103617
FY14-15,,1820,Revenue,Service Charges,19000
FY14-15,,1820,Revenue,Service Charges,240660
FY14-15,,1820,Revenue,Service Charges,35500
FY14-15,,1820,Revenue,Service Charges,54676
FY14-15,,1820,Revenue,Service Charges,15836
FY14-15,,1820,Revenue,Service Charges,57145
FY14-15,,1820,Revenue,Service Charges,180122
FY14-15,,1010,Revenue,Service Charges,12357
FY14-15,,1010,Revenue,Service Charges,56559
FY14-15,,1010,Revenue,Service Charges,26830
FY14-15,,1010,Revenue,Service Charges,6070
FY14-15,,1010,Revenue,Service Charges,6170
FY14-15,,1010,Revenue,Service Charges,14680
FY14-15,,1010,Revenue,Service Charges,4160
FY14-15,,1010,Revenue,Service Charges,1110
FY14-15,,1010,Revenue,Service Charges,12648
FY14-15,,1010,Revenue,Service Charges,10000
FY14-15,,1010,Revenue,Service Charges,18000
FY14-15,,1010,Revenue,Service Charges,3008
FY14-15,,1010,Revenue,Service Charges,13000
FY14-15,,1010,Revenue,Service Charges,3500
FY14-15,,1010,Revenue,Service Charges,12710
FY14-15,,1820,Revenue,Service Charges,137633
FY14-15,,1820,Revenue,Service Charges,42678
FY14-15,,1820,Revenue,Service Charges,200000
FY14-15,,1820,Revenue,Transfers from Fund Balance,255298
FY14-15,,1820,Revenue,Interfund Transfers,600000
FY14-15,,1820,Revenue,Service Charges,42650
FY14-15,,1820,Revenue,Service Charges,38650
FY14-15,,1010,Revenue,Service Charges,62702
FY14-15,,1010,Revenue,Service Charges,8245
FY14-15,,1010,Revenue,Service Charges,12100
FY14-15,,1820,Revenue,Service Charges,168983
FY14-15,,2996,Revenue,Service Charges,16847
FY14-15,,1820,Revenue,Service Charges,124365
FY14-15,,3200,Revenue,Service Charges,18000
FY14-15,,3200,Revenue,Service Charges,200000
FY14-15,,3200,Revenue,Transfers from Fund Balance,9904
FY14-15,,3200,Revenue,Service Charges,277950
FY14-15,,1820,Revenue,Service Charges,67311
FY14-15,,1820,Revenue,Service Charges,5993
FY14-15,,1820,Revenue,Service Charges,191040
FY14-15,,1820,Revenue,Service Charges,84226
FY14-15,,1820,Revenue,Service Charges,25719
FY14-15,,1820,Revenue,Service Charges,94540
FY14-15,,1820,Revenue,Service Charges,263854
FY14-15,,1820,Revenue,Service Charges,38346
FY14-15,,1820,Revenue,Service Charges,65641
FY14-15,,1820,Revenue,Service Charges,168497
FY14-15,,1820,Revenue,Service Charges,5150
FY14-15,,1820,Revenue,Service Charges,435492
FY14-15,,1820,Revenue,Service Charges,29070
FY14-15,,1820,Revenue,Service Charges,4790
FY14-15,,1820,Revenue,Service Charges,8700
FY14-15,,1820,Revenue,Service Charges,3000
FY14-15,,1820,Revenue,Service Charges,142169
FY14-15,,1820,Revenue,Service Charges,15268
FY14-15,,1820,Revenue,Service Charges,2570
FY14-15,,1820,Revenue,Service Charges,2500
FY14-15,,1820,Revenue,Service Charges,46148
