budget_year,department,fund_code,account_type,account_category,amount
FY14-15,,2241,Revenue,Local Tax,14223664
FY14-15,,1010,Revenue,Service Charges,2544358
FY14-15,,1010,Revenue,Service Charges,4849128
FY14-15,,1010,Revenue,Service Charges,2308801
FY14-15,,1760,Revenue,Service Charges,1505000
FY14-15,,1010,Revenue,Service Charges,4238750
FY14-15,,1720,Revenue,Service Charges,89200
FY14-15,,1010,Revenue,Licenses & Permits,120377
FY14-15,,2415,Revenue,Licenses & Permits,11000
FY14-15,,2415,Revenue,Licenses & Permits,356000
FY14-15,,2415,Revenue,Licenses & Permits,1264000
FY14-15,,2415,Revenue,Licenses & Permits,2049000
FY14-15,,2415,Revenue,Licenses & Permits,618000
FY14-15,,2415,Revenue,Licenses & Permits,2463000
FY14-15,,2415,Revenue,Licenses & Permits,246000
FY14-15,,2415,Revenue,Licenses & Permits,375000
FY14-15,,2415,Revenue,Licenses & Permits,939000
FY14-15,,2415,Revenue,Licenses & Permits,400000
FY14-15,,2415,Revenue,Licenses & Permits,1400000
FY14-15,,2415,Revenue,Licenses & Permits,229000
FY14-15,,4100,Revenue,Licenses & Permits,81030
FY14-15,,1720,Revenue,Licenses & Permits,9000
FY14-15,,2415,Revenue,Licenses & Permits,139000
FY14-15,,2415,Revenue,Licenses & Permits,185000
FY14-15,,1010,Revenue,Licenses & Permits,305988
FY14-15,,1010,Revenue,Licenses & Permits,329207
FY14-15,,1010,Revenue,Licenses & Permits,709500
FY14-15,,1010,Revenue,Licenses & Permits,831
FY14-15,,1010,Revenue,Licenses & Permits,35821
FY14-15,,1010,Revenue,Licenses & Permits,58135
FY14-15,,1010,Revenue,Licenses & Permits,3723
FY14-15,,1010,Revenue,Licenses & Permits,67083
FY14-15,,1010,Revenue,Licenses & Permits,3968
FY14-15,,1010,Revenue,Licenses & Permits,76381
FY14-15,,1010,Revenue,Licenses & Permits,189844
FY14-15,,1010,Revenue,Licenses & Permits,30000
FY14-15,,1010,Revenue,Licenses & Permits,4873
FY14-15,,2310,Revenue,Licenses & Permits,12600
FY14-15,,2415,Revenue,Licenses & Permits,6000
FY14-15,,2415,Revenue,Licenses & Permits,718000
FY14-15,,2415,Revenue,Licenses & Permits,1628000
FY14-15,,2415,Revenue,Licenses & Permits,132000
FY14-15,,2415,Revenue,Licenses & Permits,393000
FY14-15,,2416,Revenue,Fines & Penalties,1526764
FY14-15,,1010,Revenue,Fines & Penalties,21111009
FY14-15,,1010,Revenue,Fines & Penalties,900000
FY14-15,,2416,Revenue,Fines & Penalties,1200000
FY14-15,,1010,Revenue,Fines & Penalties,256926
FY14-15,,2415,Revenue,Fines & Penalties,644000
FY14-15,,1010,Revenue,Fines & Penalties,21050
FY14-15,,1010,Revenue,Fines & Penalties,67698
FY14-15,,2415,Revenue,Fines & Penalties,371000
FY14-15,,1010,Revenue,Fines & Penalties,594163
FY14-15,,1200,Revenue,Fines & Penalties,200000
FY14-15,,1200,Revenue,Fines & Penalties,709320
FY14-15,,1740,Revenue,Fines & Penalties,54510
FY14-15,,1010,Revenue,Fines & Penalties,10000
FY14-15,,1010,Revenue,Fines & Penalties,116129
FY14-15,,1010,Revenue,Fines & Penalties,12408
FY14-15,,1010,Revenue,Fines & Penalties,70000
FY14-15,,1720,Revenue,Fines & Penalties,15000
FY14-15,,1010,Revenue,Fines & Penalties,78735
FY14-15,,1010,Revenue,Fines & Penalties,30689
FY14-15,,1750,Revenue,Interest Income,-25000
FY14-15,,2211,Revenue,Interest Income,10920
FY14-15,,3100,Revenue,Interest Income,100000
FY14-15,,4100,Revenue,Interest Income,-100000
FY14-15,,4400,Revenue,Interest Income,-75000
FY14-15,,7640,Revenue,Interest Income,32610
FY14-15,,1010,Revenue,Interest Income,740482
FY14-15,,2108,Revenue,Interest Income,50000
FY14-15,,2826,Revenue,Interest Income,10000
FY14-15,,2107,Revenue,Interest Income,150000
FY14-15,,1010,Revenue,Service Charges,56000
FY14-15,,1010,Revenue,Service Charges,37029
FY14-15,,1770,Revenue,Service Charges,479275
FY14-15,,1820,Revenue,Service Charges,10000
FY14-15,,1820,Revenue,Service Charges,2500
FY14-15,,1010,Revenue,Service Charges,12357
FY14-15,,1010,Revenue,Service Charges,12648
FY14-15,,1010,Revenue,Service Charges,3008
FY14-15,,1010,Revenue,Service Charges,12710
FY14-15,,4400,Revenue,Service Charges,60000
FY14-15,,1820,Revenue,Service Charges,20807
FY14-15,,1820,Revenue,Service Charges,19000
FY14-15,,1820,Revenue,Service Charges,35500
FY14-15,,1820,Revenue,Service Charges,5993
FY14-15,,1820,Revenue,Service Charges,94540
FY14-15,,1820,Revenue,Service Charges,168497
FY14-15,,1820,Revenue,Service Charges,46148
FY14-15,,1010,Revenue,Service Charges,3162
FY14-15,,1010,Revenue,Service Charges,11585
FY14-15,,1010,Revenue,Service Charges,18704
FY14-15,,1010,Revenue,Service Charges,26119
FY14-15,,1010,Revenue,Service Charges,68089
FY14-15,,1010,Revenue,Service Charges,19159
FY14-15,,1010,Revenue,Service Charges,10943
FY14-15,,1010,Revenue,Service Charges,10943
FY14-15,,1010,Revenue,Service Charges,111600
FY14-15,,4400,Revenue,Service Charges,2400
FY14-15,,1010,Revenue,Service Charges,62702
FY14-15,,2996,Revenue,Service Charges,16847
FY14-15,,1820,Revenue,Service Charges,124365
FY14-15,,5671,Revenue,Service Charges,500000
FY14-15,,1010,Revenue,Service Charges,449000
FY14-15,,1010,Revenue,Service Charges,38496
FY14-15,,1010,Revenue,Service Charges,2603454
FY14-15,,1720,Revenue,Service Charges,26000
FY14-15,,1010,Revenue,Service Charges,925053
FY14-15,,5650,Revenue,Service Charges,100000
FY14-15,,5610,Revenue,Service Charges,150000
FY14-15,,5610,Revenue,Service Charges,200000
FY14-15,,3200,Revenue,Service Charges,18000
FY14-15,,3200,Revenue,Service Charges,277950
FY14-15,,1010,Revenue,Service Charges,8743
FY14-15,,1010,Revenue,Service Charges,8245
FY14-15,,3200,Revenue,Service Charges,200000
FY14-15,,1010,Revenue,Service Charges,481646
FY14-15,,2415,Revenue,Service Charges,78000
FY14-15,,1010,Revenue,Service Charges,10924
FY14-15,,3100,Revenue,Service Charges,54810940
FY14-15,,1010,Revenue,Service Charges,183134
FY14-15,,1740,Revenue,Service Charges,861728
FY14-15,,2415,Revenue,Service Charges,1603882
FY14-15,,2415,Revenue,Service Charges,177000
FY14-15,,3100,Revenue,Service Charges,25000
FY14-15,,3100,Revenue,Service Charges,40000
FY14-15,,2415,Revenue,Service Charges,712085
FY14-15,,1750,Revenue,Service Charges,102430
FY14-15,,1720,Revenue,Service Charges,33000
FY14-15,,1710,Revenue,Service Charges,7148877
FY14-15,,1710,Revenue,Service Charges,150
FY14-15,,1710,Revenue,Service Charges,550
FY14-15,,2415,Revenue,Service Charges,110000
FY14-15,,2415,Revenue,Service Charges,519915
FY14-15,,2415,Revenue,Service Charges,409000
FY14-15,,2415,Revenue,Service Charges,34000
FY14-15,,2415,Revenue,Service Charges,148000
FY14-15,,2415,Revenue,Service Charges,130000
FY14-15,,1820,Revenue,Service Charges,5150
FY14-15,,1820,Revenue,Service Charges,29070
FY14-15,,1820,Revenue,Service Charges,4790
FY14-15,,1820,Revenue,Service Charges,8700
FY14-15,,1820,Revenue,Service Charges,3000
FY14-15,,1010,Revenue,Service Charges,12100
FY14-15,,1820,Revenue,Service Charges,168983
FY14-15,,1820,Revenue,Service Charges,180122
FY14-15,,1010,Revenue,Service Charges,56559
FY14-15,,1010,Revenue,Service Charges,26830
FY14-15,,1010,Revenue,Service Charges,14680
FY14-15,,1010,Revenue,Service Charges,10000
FY14-15,,1010,Revenue,Service Charges,13000
FY14-15,,1010,Revenue,Service Charges,6070
FY14-15,,1010,Revenue,Service Charges,4160
FY14-15,,1010,Revenue,Service Charges,6170
FY14-15,,1010,Revenue,Service Charges,1110
FY14-15,,1010,Revenue,Service Charges,18000
FY14-15,,1010,Revenue,Service Charges,3500
FY14-15,,1820,Revenue,Service Charges,286640
FY14-15,,1820,Revenue,Service Charges,293347
FY14-15,,1010,Revenue,Service Charges,61438
FY14-15,,1820,Revenue,Service Charges,40446
FY14-15,,1820,Revenue,Service Charges,64960
FY14-15,,1820,Revenue,Service Charges,35030
FY14-15,,1820,Revenue,Service Charges,10469
FY14-15,,1820,Revenue,Service Charges,103617
FY14-15,,1820,Revenue,Service Charges,240660
FY14-15,,1820,Revenue,Service Charges,54676
FY14-15,,1820,Revenue,Service Charges,15836
FY14-15,,1820,Revenue,Service Charges,57145
FY14-15,,1820,Revenue,Service Charges,137633
FY14-15,,1820,Revenue,Service Charges,42678
FY14-15,,1820,Revenue,Service Charges,200000
FY14-15,,1820,Revenue,Service Charges,42650
FY14-15,,1820,Revenue,Service Charges,38650
FY14-15,,1820,Revenue,Service Charges,67311
FY14-15,,1820,Revenue,Service Charges,191040
FY14-15,,1820,Revenue,Service Charges,84226
FY14-15,,1820,Revenue,Service Charges,25719
FY14-15,,1820,Revenue,Service Charges,263854
FY14-15,,1820,Revenue,Service Charges,38346
FY14-15,,1820,Revenue,Service Charges,65641
FY14-15,,1820,Revenue,Service Charges,435492
FY14-15,,1820,Revenue,Service Charges,142169
FY14-15,,1820,Revenue,Service Charges,15268
FY14-15,,1820,Revenue,Service Charges,2570
FY14-15,,1820,Revenue,Service Charges,34693
FY14-15,,1820,Revenue,Service Charges,2230
FY14-15,,1820,Revenue,Service Charges,10434
FY14-15,,1820,Revenue,Service Charges,43045
FY14-15,,1820,Revenue,Service Charges,9498
FY14-15,,1010,Revenue,Service Charges,13138415
FY14-15,,1010,Revenue,Service Charges,263924
FY14-15,,1750,Revenue,Service Charges,4613900
FY14-15,,1750,Revenue,Service Charges,267520
FY14-15,,5611,Revenue,Service Charges,720185
FY14-15,,5613,Revenue,Service Charges,2599295
FY14-15,,1820,Revenue,Service Charges,380000
FY14-15,,1010,Revenue,Service Charges,5530
FY14-15,,5613,Revenue,Service Charges,10000
FY14-15,,1010,Revenue,Service Charges,2584
FY14-15,,1010,Revenue,Service Charges,95788
FY14-15,,1010,Revenue,Service Charges,522660
FY14-15,,2415,Revenue,Service Charges,41000
FY14-15,,2415,Revenue,Service Charges,785000
FY14-15,,2415,Revenue,Service Charges,116000
FY14-15,,2415,Revenue,Service Charges,349000
FY14-15,,2415,Revenue,Service Charges,284000
FY14-15,,1010,Revenue,Service Charges,3766
FY14-15,,1010,Revenue,Service Charges,139002
FY14-15,,1010,Revenue,Service Charges,8142
FY14-15,,1010,Revenue,Service Charges,3036
FY14-15,,1010,Revenue,Service Charges,868199
FY14-15,,1010,Revenue,Service Charges,18862
FY14-15,,1010,Revenue,Service Charges,4047
FY14-15,,2250,Revenue,Service Charges,1900
FY14-15,,1760,Revenue,Service Charges,65000
FY14-15,,2213,Revenue,Service Charges,76361
FY14-15,,2213,Revenue,Service Charges,44739
FY14-15,,2415,Revenue,Service Charges,1844000
FY14-15,,2415,Revenue,Service Charges,5000
FY14-15,,2415,Revenue,Service Charges,141000
FY14-15,,2415,Revenue,Service Charges,125000
FY14-15,,1010,Revenue,Service Charges,20609
FY14-15,,2195,Revenue,Service Charges,352000
FY14-15,,1010,Revenue,Service Charges,22450
FY14-15,,2413,Revenue,Service Charges,1950000
FY14-15,,1010,Revenue,Service Charges,22189
FY14-15,,2415,Revenue,Service Charges,76000
FY14-15,,2415,Revenue,Service Charges,383000
FY14-15,,1010,Revenue,Service Charges,772000
FY14-15,,2415,Revenue,Service Charges,3990479
FY14-15,,2415,Revenue,Service Charges,455000
FY14-15,,2415,Revenue,Service Charges,4000
FY14-15,,2415,Revenue,Service Charges,151000
FY14-15,,2415,Revenue,Service Charges,235000
FY14-15,,1740,Revenue,Service Charges,71560
FY14-15,,2417,Revenue,Service Charges,440900
FY14-15,,1010,Revenue,Service Charges,7430
FY14-15,,1010,Revenue,Service Charges,914000
FY14-15,,1010,Revenue,Service Charges,142100
FY14-15,,1010,Revenue,Service Charges,3742
FY14-15,,1010,Revenue,Service Charges,73653
FY14-15,,2415,Revenue,Service Charges,2000
FY14-15,,2415,Revenue,Service Charges,14000
FY14-15,,1010,Revenue,Service Charges,409505
FY14-15,,1010,Revenue,Service Charges,229509
FY14-15,,1010,Revenue,Service Charges,1765158
FY14-15,,1010,Revenue,Service Charges,223403
FY14-15,,1010,Revenue,Service Charges,397217
FY14-15,,1010,Revenue,Service Charges,4173515
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,1010,Revenue,Service Charges,3300
FY14-15,,1010,Revenue,Service Charges,4700
FY14-15,,1010,Revenue,Service Charges,14000
FY14-15,,1010,Revenue,Service Charges,16700
FY14-15,,1700,Revenue,Service Charges,1080302
FY14-15,,1720,Revenue,Service Charges,17643680
FY14-15,,1010,Revenue,Service Charges,13000
FY14-15,,1010,Revenue,Service Charges,5600
FY14-15,,1010,Revenue,Service Charges,94400
FY14-15,,1010,Revenue,Service Charges,5000
FY14-15,,1010,Revenue,Service Charges,9000
FY14-15,,1010,Revenue,Service Charges,2600000
FY14-15,,1010,Revenue,Service Charges,2500
FY14-15,,2190,Revenue,Service Charges,25000
FY14-15,,2310,Revenue,Service Charges,24360
FY14-15,,2310,Revenue,Service Charges,24360
FY14-15,,2230,Revenue,Service Charges,6000
FY14-15,,2310,Revenue,Service Charges,56940
FY14-15,,2310,Revenue,Service Charges,56940
FY14-15,,2230,Revenue,Service Charges,8000
FY14-15,,2230,Revenue,Service Charges,3000
FY14-15,,2310,Revenue,Service Charges,2050
FY14-15,,2310,Revenue,Service Charges,2050
FY14-15,,2230,Revenue,Service Charges,3000
FY14-15,,1010,Revenue,Service Charges,5600
FY14-15,,1010,Revenue,Service Charges,16400
FY14-15,,1010,Revenue,Service Charges,4400
FY14-15,,1010,Revenue,Service Charges,155000
FY14-15,,1010,Revenue,Service Charges,10700
FY14-15,,1010,Revenue,Service Charges,26000
FY14-15,,1010,Revenue,Service Charges,12800
FY14-15,,1010,Revenue,Service Charges,37200
FY14-15,,1010,Revenue,Service Charges,23400
FY14-15,,1010,Revenue,Service Charges,214000
FY14-15,,2172,Revenue,Service Charges,380000
FY14-15,,1010,Revenue,Service Charges,5000
FY14-15,,1010,Revenue,Service Charges,21000
FY14-15,,4400,Revenue,Service Charges,50000
FY14-15,,2310,Revenue,Service Charges,4900
FY14-15,,1760,Revenue,Service Charges,5000
FY14-15,,2415,Revenue,Service Charges,151000
FY14-15,,2415,Revenue,Service Charges,605000
FY14-15,,2415,Revenue,Service Charges,418000
FY14-15,,2195,Revenue,Service Charges,100000
FY14-15,,1700,Revenue,Service Charges,141217
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,1700,Revenue,Service Charges,151656
FY14-15,,1010,Revenue,Service Charges,10000
FY14-15,,2411,Revenue,Service Charges,1088524
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,2163,Revenue,Grants & Subsidies,72719
FY14-15,,2102,Revenue,Grants & Subsidies,545000
FY14-15,,2128,Revenue,Grants & Subsidies,12940032
FY14-15,,2128,Revenue,Grants & Subsidies,168220
FY14-15,,2128,Revenue,Grants & Subsidies,111886
FY14-15,,2128,Revenue,Grants & Subsidies,2787426
FY14-15,,2128,Revenue,Grants & Subsidies,61296
FY14-15,,2128,Revenue,Grants & Subsidies,2451846
FY14-15,,2128,Revenue,Grants & Subsidies,31874
FY14-15,,2128,Revenue,Grants & Subsidies,35353
FY14-15,,2103,Revenue,Grants & Subsidies,1829618
FY14-15,,2103,Revenue,Grants & Subsidies,259824
FY14-15,,2103,Revenue,Grants & Subsidies,245146
FY14-15,,2103,Revenue,Grants & Subsidies,2673899
FY14-15,,2103,Revenue,Grants & Subsidies,699770
FY14-15,,2103,Revenue,Grants & Subsidies,656315
FY14-15,,2108,Revenue,Grants & Subsidies,7295268
FY14-15,,2128,Revenue,Grants & Subsidies,1241775
FY14-15,,2112,Revenue,Grants & Subsidies,140899
FY14-15,,2195,Revenue,Grants & Subsidies,1323656
FY14-15,,2195,Revenue,Grants & Subsidies,233045
FY14-15,,2195,Revenue,Grants & Subsidies,1631554
FY14-15,,2195,Revenue,Grants & Subsidies,1890681
FY14-15,,2995,Revenue,Grants & Subsidies,10000
FY14-15,,1010,Revenue,Grants & Subsidies,119435
FY14-15,,2123,Revenue,Grants & Subsidies,11947
FY14-15,,2123,Revenue,Grants & Subsidies,1297962
FY14-15,,2146,Revenue,Grants & Subsidies,7598
FY14-15,,2124,Revenue,Grants & Subsidies,411761
FY14-15,,2124,Revenue,Grants & Subsidies,91042
FY14-15,,2124,Revenue,Grants & Subsidies,345311
FY14-15,,2124,Revenue,Grants & Subsidies,12738
FY14-15,,2124,Revenue,Grants & Subsidies,84106
FY14-15,,2146,Revenue,Grants & Subsidies,55063
FY14-15,,2120,Revenue,Grants & Subsidies,287126
FY14-15,,2120,Revenue,Grants & Subsidies,29484
FY14-15,,2114,Revenue,Grants & Subsidies,901997
FY14-15,,2109,Revenue,Grants & Subsidies,2161467
FY14-15,,2109,Revenue,Grants & Subsidies,159743
FY14-15,,2159,Revenue,Grants & Subsidies,136886
FY14-15,,2148,Revenue,Grants & Subsidies,84210
FY14-15,,2148,Revenue,Grants & Subsidies,64042
FY14-15,,2159,Revenue,Grants & Subsidies,134932
FY14-15,,2128,Revenue,Grants & Subsidies,1405480
FY14-15,,2160,Revenue,Grants & Subsidies,57346
FY14-15,,2138,Revenue,Grants & Subsidies,32500
FY14-15,,2138,Revenue,Grants & Subsidies,904985
FY14-15,,2102,Revenue,Grants & Subsidies,550000
FY14-15,,2990,Revenue,Grants & Subsidies,210000
FY14-15,,2990,Revenue,Grants & Subsidies,70000
FY14-15,,1710,Revenue,Grants & Subsidies,1187500
FY14-15,,2160,Revenue,Grants & Subsidies,953515
FY14-15,,2160,Revenue,Grants & Subsidies,752
FY14-15,,2160,Revenue,Grants & Subsidies,42019
FY14-15,,2159,Revenue,Grants & Subsidies,198920
FY14-15,,2159,Revenue,Grants & Subsidies,111080
FY14-15,,2160,Revenue,Grants & Subsidies,250000
FY14-15,,2160,Revenue,Grants & Subsidies,139243
FY14-15,,2995,Revenue,Grants & Subsidies,10000
FY14-15,,2163,Revenue,Grants & Subsidies,3850205
FY14-15,,2215,Revenue,Grants & Subsidies,1500000
FY14-15,,2230,Revenue,Grants & Subsidies,40000
FY14-15,,2230,Revenue,Grants & Subsidies,40000
FY14-15,,2230,Revenue,Grants & Subsidies,61100
FY14-15,,4400,Revenue,Grants & Subsidies,120945
FY14-15,,1610,Revenue,Grants & Subsidies,1783129
FY14-15,,1610,Revenue,Grants & Subsidies,5266355
FY14-15,,1610,Revenue,Grants & Subsidies,2325352
FY14-15,,4500,Revenue,Internal Service Funds,425838
FY14-15,,4550,Revenue,Internal Service Funds,819048
FY14-15,,4100,Revenue,Internal Service Funds,19782728
FY14-15,,4400,Revenue,Internal Service Funds,27289929
FY14-15,,4300,Revenue,Internal Service Funds,4005
FY14-15,,4300,Revenue,Internal Service Funds,1437211
FY14-15,,4210,Revenue,Internal Service Funds,149763
FY14-15,,4210,Revenue,Internal Service Funds,73197
FY14-15,,4210,Revenue,Internal Service Funds,85570
FY14-15,,4200,Revenue,Internal Service Funds,3537377
FY14-15,,4300,Revenue,Internal Service Funds,4720
FY14-15,,4300,Revenue,Internal Service Funds,30
FY14-15,,4100,Revenue,Internal Service Funds,55300
FY14-15,,4100,Revenue,Internal Service Funds,100000
FY14-15,,4200,Revenue,Internal Service Funds,40000
FY14-15,,1010,Revenue,Miscellaneous Revenue,4000000
FY14-15,,1010,Revenue,Miscellaneous Revenue,165408
FY14-15,,6999,Revenue,Miscellaneous Revenue,21500000
FY14-15,,7320,Revenue,Miscellaneous Revenue,9624258
FY14-15,,6540,Revenue,Miscellaneous Revenue,34736
FY14-15,,7999,Revenue,Miscellaneous Revenue,69270
FY14-15,,7540,Revenue,Miscellaneous Revenue,110879
FY14-15,,2241,Revenue,Miscellaneous Revenue,7500
FY14-15,,2108,Revenue,Miscellaneous Revenue,800000
FY14-15,,2826,Revenue,Miscellaneous Revenue,53000
FY14-15,,2107,Revenue,Miscellaneous Revenue,821000
FY14-15,,1750,Revenue,Miscellaneous Revenue,99423
FY14-15,,2415,Revenue,Miscellaneous Revenue,35000
FY14-15,,7130,Revenue,Miscellaneous Revenue,118450
FY14-15,,2159,Revenue,Miscellaneous Revenue,114123
FY14-15,,1010,Revenue,Miscellaneous Revenue,33912
FY14-15,,2123,Revenue,Miscellaneous Revenue,159096
FY14-15,,2412,Revenue,Miscellaneous Revenue,180591
FY14-15,,2330,Revenue,Miscellaneous Revenue,3200
FY14-15,,1010,Revenue,Miscellaneous Revenue,150000
FY14-15,,2310,Revenue,Miscellaneous Revenue,1462500
FY14-15,,4400,Revenue,Miscellaneous Revenue,500000
FY14-15,,2826,Revenue,Miscellaneous Revenue,26492
FY14-15,,2250,Revenue,Transfers from Fund Balance,5000
FY14-15,,2412,Revenue,Transfers from Fund Balance,5000
FY14-15,,2413,Revenue,Transfers from Fund Balance,300000
FY14-15,,7130,Revenue,Transfers from Fund Balance,129007
FY14-15,,2251,Revenue,Transfers from Fund Balance,5454764
FY14-15,,5510,Revenue,Transfers from Fund Balance,1000000
FY14-15,,2310,Revenue,Transfers from Fund Balance,127062
FY14-15,,7100,Revenue,Transfers from Fund Balance,964527
FY14-15,,2416,Revenue,Transfers from Fund Balance,139970
FY14-15,,2999,Revenue,Transfers from Fund Balance,1300000
FY14-15,,2411,Revenue,Transfers from Fund Balance,-7754
FY14-15,,2411,Revenue,Transfers from Fund Balance,454690
FY14-15,,1010,Revenue,Transfers from Fund Balance,4592626
FY14-15,,2172,Revenue,Transfers from Fund Balance,35535
FY14-15,,2330,Revenue,Transfers from Fund Balance,3000
FY14-15,,2250,Revenue,Transfers from Fund Balance,46651
FY14-15,,2250,Revenue,Transfers from Fund Balance,247049
FY14-15,,2146,Revenue,Transfers from Fund Balance,1893
FY14-15,,2160,Revenue,Transfers from Fund Balance,2175
FY14-15,,3100,Revenue,Transfers from Fund Balance,9281693
FY14-15,,2231,Revenue,Transfers from Fund Balance,272605
FY14-15,,2231,Revenue,Transfers from Fund Balance,65560
FY14-15,,2211,Revenue,Transfers from Fund Balance,149643
FY14-15,,2230,Revenue,Transfers from Fund Balance,1179624
FY14-15,,1720,Revenue,Transfers from Fund Balance,740000
FY14-15,,1720,Revenue,Transfers from Fund Balance,1504590
FY14-15,,1710,Revenue,Transfers from Fund Balance,963331
FY14-15,,4200,Revenue,Transfers from Fund Balance,68360
FY14-15,,1820,Revenue,Transfers from Fund Balance,359956
FY14-15,,1820,Revenue,Transfers from Fund Balance,255298
FY14-15,,3200,Revenue,Transfers from Fund Balance,11819
FY14-15,,2241,Revenue,Transfers from Fund Balance,2741795
FY14-15,,2242,Revenue,Transfers from Fund Balance,715050
FY14-15,,1760,Revenue,Transfers from Fund Balance,6944
FY14-15,,1770,Revenue,Transfers from Fund Balance,163913
FY14-15,,1010,Revenue,Transfers from Fund Balance,31738
FY14-15,,2413,Revenue,Transfers from Fund Balance,250004
FY14-15,,2107,Revenue,Transfers from Fund Balance,1151000
FY14-15,,1200,Revenue,Transfers from Fund Balance,740351
FY14-15,,6027,Revenue,Transfers from Fund Balance,11269000
FY14-15,,6063,Revenue,Transfers from Fund Balance,11244648
FY14-15,,6311,Revenue,Transfers from Fund Balance,1332563
FY14-15,,6312,Revenue,Transfers from Fund Balance,6652225
FY14-15,,6321,Revenue,Transfers from Fund Balance,4617132
FY14-15,,6555,Revenue,Transfers from Fund Balance,236169
FY14-15,,6587,Revenue,Transfers from Fund Balance,440783
FY14-15,,7100,Revenue,Transfers from Fund Balance,2618709
FY14-15,,7120,Revenue,Transfers from Fund Balance,254636
FY14-15,,6612,Revenue,Transfers from Fund Balance,2250000
FY14-15,,1010,Revenue,Transfers from Fund Balance,15759763
FY14-15,,1010,Revenue,Transfers from Fund Balance,10072660
FY14-15,,1760,Revenue,Transfers from Fund Balance,105435
FY14-15,,2251,Revenue,Interfund Transfers,108134
FY14-15,,2321,Revenue,Interfund Transfers,148000
FY14-15,,1100,Revenue,Interfund Transfers,3524791
FY14-15,,3150,Revenue,Interfund Transfers,500000
FY14-15,,1820,Revenue,Interfund Transfers,600000
FY14-15,,2241,Revenue,Interfund Transfers,715050
FY14-15,,2128,Revenue,Interfund Transfers,81749
FY14-15,,2128,Revenue,Interfund Transfers,154329
FY14-15,,2120,Revenue,Interfund Transfers,24314
FY14-15,,2160,Revenue,Interfund Transfers,10545
FY14-15,,2213,Revenue,Interfund Transfers,82448
FY14-15,,2114,Revenue,Interfund Transfers,248631
FY14-15,,2195,Revenue,Interfund Transfers,16882
FY14-15,,2128,Revenue,Interfund Transfers,2078030
FY14-15,,2128,Revenue,Interfund Transfers,414677
FY14-15,,2128,Revenue,Interfund Transfers,192273
FY14-15,,2128,Revenue,Interfund Transfers,76665
FY14-15,,2128,Revenue,Interfund Transfers,53210
FY14-15,,2128,Revenue,Interfund Transfers,165237
FY14-15,,2128,Revenue,Interfund Transfers,14184
FY14-15,,2102,Revenue,Interfund Transfers,75934
FY14-15,,2102,Revenue,Interfund Transfers,8029
FY14-15,,1780,Revenue,Interfund Transfers,13031188
