Fiscal Year,Account Type,Department,Division,ORG_NAME,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,1000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9150,Memberships,1300
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,6000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,8000
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,68918
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7105,Employers FICA,5269
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,14400
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,8512
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,15641
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,96
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Supplies,7520,Supplies,1000
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,43000
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,5000
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,2500
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,63786
FY19,Expense,Adminitrative Services,Admin Services Support,Customer Service Info Center,3000 - Customer Service Info Center,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,1000
FY19,Expense,Adminitrative Services,Admin Services Support,Rosa Parks Activities,4000 - Rosa Parks Activities,1553,CRC-Rosa  Activities,Other Services and Charges,8800,Community Promotion,80000
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,311446
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7105,Employers FICA,23809
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,64800
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,38839
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,71412
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,436
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,30000
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,332000
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1500
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,600
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,1000
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,8000
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,1500
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,14940
FY19,Expense,Adminitrative Services,Human Resources,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,292661
FY19,Expense,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,74000
FY19,Expense,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,Other Services and Charges,9140,Tuition Reimbursement-Scholarsh,55000
FY19,Expense,Adminitrative Services,Human Resources,City University,1020 - City University,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,33246
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,130390
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7105,Employers FICA,9969
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,27360
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,16184
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,29775
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,180
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,1500
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,870
FY19,Expense,Adminitrative Services,Human Resources,Employee Benefits,2100 - Employee Benefits,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,5364
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,328462
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7105,Employers FICA,25118
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,72000
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,40622
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,74662
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,451
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,42220
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,8011,Contract Employees-Temporary Services,40000
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,8500,Telephone,2400
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,9010,Advertising - Any Media,15000
FY19,Expense,Adminitrative Services,Human Resources,Recruiting,2120 - Recruiting,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,8940
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7020,Full Time Employees,174904
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7105,Employers FICA,13365
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7110,Hospitalization Insurance,33840
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7115,Retiree Health Care-OPEB,21749
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7120,Retirement Fund Contribution,39984
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Personnel Services,7135,Unemployment Compensation,240
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8010,Contractual Services,881737
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8370,Health Insurance Claims,26355529
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8390,Wellness Plan,100000
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8450,Claims,35154
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,8800,Community Promotion,18000
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,9470,Employee Parking,459
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Services and Charges,9480,Computer Services-from IT,8271
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,2150 - Health Insurance,6770,Health Insurance,Other Financing,9952,Operating Transfers-A87 Cost,186073
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,25000
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,6771,Other Reserves-Insurance,Other Services and Charges,8400,Insurance Premiums,41103
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,6771,Other Reserves-Insurance,Other Services and Charges,8440,Death Benefits,100000
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,8450,Claims,18746
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,10000
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,2500
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,9150,Memberships,980
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,4000
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,93515
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,17333
FY19,Expense,Adminitrative Services,Human Resources,Other,2199 - Other,1010,General Fund Operating,Capital Outlays,9805,Computer Equipment,5000
FY19,Expense,Adminitrative Services,Human Resources,Over 65 Health Care,2200 - Over 65 Health Care,6770,Health Insurance,Other Services and Charges,8370,Health Insurance Claims,702512
FY19,Expense,Adminitrative Services,Human Resources,Over 65 Health Care,2200 - Over 65 Health Care,6770,Health Insurance,Other Services and Charges,8380,Retiree Health-Other Ins Co,586140
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,263017
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7105,Employers FICA,20125
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,43200
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,32795
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,60316
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,372
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,75000
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1200
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,435
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,3000
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,33403
FY19,Expense,Adminitrative Services,Human Resources,Labor Relations,4000 - Labor Relations,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,6364
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7020,Full Time Employees,27936
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7105,Employers FICA,2136
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7110,Hospitalization Insurance,5760
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7115,Retiree Health Care-OPEB,3444
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7120,Retirement Fund Contribution,6336
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Personnel Services,7135,Unemployment Compensation,36
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Other Services and Charges,8010,Contractual Services,50000
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Other Services and Charges,8500,Telephone,780
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Other Services and Charges,9410,Equipment Rentals or Lease,1786
FY19,Expense,Adminitrative Services,Human Resources,Safety Review,5100 - Safety Review,6771,Other Reserves-Insurance,Other Services and Charges,9470,Employee Parking,2004
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7020,Full Time Employees,111756
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7105,Employers FICA,8556
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7110,Hospitalization Insurance,21600
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7115,Retiree Health Care-OPEB,13860
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7120,Retirement Fund Contribution,25488
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Personnel Services,7135,Unemployment Compensation,156
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8010,Contractual Services,150000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8400,Insurance Premiums,225000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8425,Statutory Worker's Comp,100000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8430,Medical Provider Services,500000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8435,Medical-Supportive Charges,75000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8450,Claims,200000
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,8500,Telephone,1725
FY19,Expense,Adminitrative Services,Human Resources,Workers Comp,5200 - Workers Comp,6771,Other Reserves-Insurance,Other Services and Charges,9470,Employee Parking,3006
FY19,Expense,Adminitrative Services,Human Resources,WC-Lost Wages,5201 - WC-Lost Wages,6771,Other Reserves-Insurance,Other Services and Charges,8030,Administrative Services,160000
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7020,Full Time Employees,117348
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7105,Employers FICA,8977
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7110,Hospitalization Insurance,21600
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7115,Retiree Health Care-OPEB,14549
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7120,Retirement Fund Contribution,26743
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Personnel Services,7135,Unemployment Compensation,168
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8010,Contractual Services,39417
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8030,Administrative Services,13715
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8400,Insurance Premiums,1153362
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8445,Claims-Taxable Payments,100000
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8450,Claims,600000
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,8470,Gross Proceeds Paid to an Attorney,100000
FY19,Expense,Adminitrative Services,Human Resources,Insurance-Bldg & Contents,5400 - Insurance-Bldg & Contents,6771,Other Reserves-Insurance,Other Services and Charges,9470,Employee Parking,3006
FY19,Expense,Adminitrative Services,Human Resources,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,Other Reserves-Insurance,Other Services and Charges,8420,Unemployment Claims,75000
FY19,Expense,Adminitrative Services,Human Resources,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,Other Reserves-Insurance,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,26585
FY19,Expense,Adminitrative Services,Human Resources,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,Other Reserves-Insurance,Other Services and Charges,9480,Computer Services-from IT,12610
FY19,Expense,Adminitrative Services,Human Resources,Risk Mgt Admin,5500 - Risk Mgt Admin,6771,Other Reserves-Insurance,Other Financing,9952,Operating Transfers-A87 Cost,128337
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,23753
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1500
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,2450
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,80591
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,867
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,29478
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,74923
FY19,Expense,Attorney's Office,Attorney,Administration,1000 - Administration,1010,General Fund Operating,Capital Outlays,9805,Computer Equipment,10000
