Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,484750
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,22500
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Insurance Premiums,13032
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Claims,395112
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Telephone,61264
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,940
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Postage,10404
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Printing & Publishing,1115
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,52525
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Local Business Expense,2787
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,4954
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Water,24528
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Refuse Collection Charges,9988
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Electricity,83618
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Natural Gas,78043
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Steam,13379
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Maintenance Service,450000
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,772600
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,52932
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,311 Call Center Services,21044
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Employee Parking,500
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Computer Services-from IT,583232
FY20,Revenue,Fire,Fire,General Fund Operating,State Grants,Fire Protect-State Owned Build,555330
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,36346
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Subscriptions and Publications,3456
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,236885
FY20,Expense,Fire,Fire,General Fund Operating,Other Financing,Operating Trans-Dev Center,6241
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,561096
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,3000
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,30000
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,12755
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,104688
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,76413
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,151778
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,850
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,18000
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,48000
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Postage,12340
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,8057
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,1265
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,23782
FY20,Revenue,Fire,Fire,General Fund Operating,Charges for Services,Service Fees-General,322030
FY20,Expense,Fire,Fire,Capital Improvement,Capital Outlays,Equipment,266863
FY20,Expense,Fire,Fire,Capital Improvement,Capital Outlays,Construction In Progress,200000
FY20,Revenue,Fire,Fire,Capital Improvement,Other Financing Sources,Operating Transfers-Capital Projects,466863
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,150690
FY20,Expense,Fire,Fire,General Fund Operating,Debt Service,Principal,55000
FY20,Expense,Fire,Fire,General Fund Operating,Debt Service,Paying Agent Fees,858
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,244910
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,12953807
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,310820
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Regular Hourly Rate,512035
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,714355
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,210987
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,2648112
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,1989364
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,3837861
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,20582
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Fire Tech Services Stipend,62950
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Transfer-Station Pay,12000
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,45400
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,99868
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,585
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Electricity,30660
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,119264
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,44882
FY20,Revenue,Fire,Fire,General Fund Operating,Charges for Services,Service Fees-General,37885
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,30600
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,19800
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,87756
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,5075
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,56700
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,2175
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,15396
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,20123
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,38451
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,207
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Fire Tech Services Stipend,500
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,1850
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,29650
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,835
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,17607
FY20,Revenue,Fire,Fire,General Fund Operating,Charges for Services,Service Fees-General,10000
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,80000
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,1160
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,10728
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,20480
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,112
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Contractual Services,50000
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,5350
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,806436
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1040
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,39847
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,56914
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,130872
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,76789
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,195638
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,1131
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,174000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fees,6480
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Insurance Premiums,22257
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Claims,830979
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,9944
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,21639
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,311 Call Center Services,16873
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Computer Services-from IT,1187573
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,3900
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Equipment,20000
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,166084
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,548
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,12748
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,46188
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,14257
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,37722
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,235
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Telephone,44200
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Electricity,6000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Natural Gas,3000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,57500
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,22660
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,5172
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,194458
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,2642
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,15076
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,61584
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,16849
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,44604
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,264
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Supplies,Supplies,15000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Capital Outlays,Equipment,105000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Capital Outlays,Vehicles,25000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Financing,Operating Trans-Misc,68550
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Full Time Employees,56304
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Employers FICA,4308
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Hospitalization Insurance,15396
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Retiree Health Care-OPEB,4812
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Retirement Fund Contribution,12744
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Personnel Services,Unemployment Compensation,84
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Fees,15000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Police-Investigation,45000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Claims,4215
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Telephone,32500
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Other Travel & Training,50000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Maintenance Service,10000
FY20,Expense,Police,Police,Drug Law Enforcement-State-Local,Other Services and Charges,Equipment Rentals or Lease,10000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Other Revenues,Property Sales,24000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Fines & Forfeitures,Police Seized Property,65000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Fines & Forfeitures,Seizures,200000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Charges for Services,Service Fees-General,2250
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Charges for Services,Auction Sales,17000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Charges for Services,Police-Confiscated Gun-Money,7000
FY20,Revenue,Police,Police,Drug Law Enforcement-State-Local,Charges for Services,Police-Sale of Imp Cars,46500
FY20,Expense,Police,Police,Federal Forfeitures-Dept of Justice,Capital Outlays,Equipment,50000
FY20,Expense,Police,Police,Federal Forfeitures-Dept of Justice,Other Services and Charges,Police-Investigation,10000
FY20,Expense,Police,Police,Federal Forfeitures-Dept of Justice,Other Services and Charges,Other Travel & Training,10000
FY20,Revenue,Police,Police,Federal Forfeitures-Dept of Justice,Federal Grants,Dept of Justice,62900
FY20,Expense,Police,Police,Federal Forfeitures-Treasury Dept,Capital Outlays,Equipment,10000
FY20,Revenue,Police,Police,Federal Forfeitures-Treasury Dept,Federal Grants,Dept of Justice,13500
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,201160
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Equipment,83350
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,490560
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1040
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,98033
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,8553
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,92376
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,70529
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,151540
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,684
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contract Serv-Training,33750
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Other Travel & Training,239350
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,55804
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,3352
FY20,Revenue,Police,Police,General Fund Operating,Other Revenues,Reimbursements,24000
FY20,Revenue,Police,Police,General Fund Operating,Charges for Services,Service Fees-General,9750
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,14800
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Software,12800
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,629815
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,46121
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,9835
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,123168
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,81083
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,174207
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,877
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Shift Differential,1987
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,25000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fees,6000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Printing & Publishing,7000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Other Travel & Training,7000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Local Business Expense,8400
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,14428
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,1241942
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,5202
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,141369
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,20461
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,246336
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,168891
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,362713
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,1740
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Shift Differential,8693
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Clothing-Car Allowance,15120
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Police-Investigation,4000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,15000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,130193
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,76000
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Computer Equipment,115000
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Software,25000
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,236894
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,1146
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,18196
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,76980
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,20356
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,53870
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,346
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,841037
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Telephone,115300
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Software Maintenance Agreements,217210
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,515001
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,26166
FY20,Revenue,Police,Police,General Fund Operating,Licenses & Permits,Alarm Permits,11000
FY20,Revenue,Police,Police,General Fund Operating,Charges for Services,False Alarm Fines-Fees,30000
FY20,Revenue,Police,Police,General Fund Operating,Charges for Services,Police Records-Reproc Fees,82000
FY20,Expense,Police,Police,General Fund Operating,Supplies,Subscriptions and Publications,1000
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,211416
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1040
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,25435
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,5220
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,38496
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,27754
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,60964
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,288
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Clothing-Car Allowance,2160
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,10000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Software Maintenance Agreements,1400
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,14428
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,8233
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,25100
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Equipment,37000
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Software,600
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,714426
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,2081
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,28758
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,57226
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,169356
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,63939
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,169160
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,999
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Shift Differential,2484
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,3174
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,43398
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,30856
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,232648
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Equipment,71377
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,310500
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1040
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,10013
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,14380
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,76980
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,33134
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,77801
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,432
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Maintenance Service,720
FY20,Expense,Police,Police,Michigan Justice Training,Other Services and Charges,Other Travel & Training,55000
FY20,Revenue,Police,Police,Michigan Justice Training,State Grants,MI Dept of Justice,55000
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,1998
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,3683844
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,1040
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,420895
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,66582
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,723612
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,491859
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,1061874
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,5184
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Clothing-Car Allowance,45360
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Contractual Services,26000
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Police-Investigation,33500
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Software Maintenance Agreements,29696
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,15256
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,213332
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,137635
FY20,Expense,Police,Police,General Fund Operating,Supplies,Supplies,10920
FY20,Expense,Police,Police,General Fund Operating,Capital Outlays,Equipment,66375
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Full Time Employees,466916
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Temporary Noncontract Employees,638976
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Regular Hourly Rate,2081
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Time & One-half,35906
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Employers FICA,56218
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Hospitalization Insurance,92376
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,60514
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Retirement Fund Contribution,129866
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Unemployment Compensation,24871
FY20,Expense,Police,Police,General Fund Operating,Personnel Services,Clothing-Car Allowance,1080
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Memberships,280
FY20,Expense,Police,Police,General Fund Operating,Other Services and Charges,Software Maintenance Agreements,1700
