Fiscal Year,Account Type,Department,Division,ORG_NAME,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,48607
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,172676
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,192336
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,284678
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,1629
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,310904
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8400,Insurance Premiums,11788
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,308742
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,60063
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,903
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,10000
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,1072
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,24325
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,2679
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,3454
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9180,Water,23575
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9190,Refuse Collection Charges,9600
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9200,Electricity,80371
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9210,Natural Gas,75013
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9220,Steam,12859
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,322575
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,48976
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,12555
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,502692
FY18,Revenue,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,State Grants,5744,Fire Protect-State Owned Build,255742
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Supplies,7520,Supplies,20890
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,3322
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Capital Outlays,9760,Equipment,153700
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Financing,9954,Operating Trans-Dev Center,6606
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7020,Full Time Employees,549425
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7025,Acting Assignment,8500
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7055,Time & One-half,18200
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7105,Employers FICA,12314
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,86338
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,109254
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,140085
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,802
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,57599
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Services and Charges,8510,Postage,10500
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,3845
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Services and Charges,9150,Memberships,1210
FY18,Expense,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,23999
FY18,Revenue,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,307443
FY18,Expense,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9760,Equipment,240375
FY18,Expense,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9810,Vehicles,589678
FY18,Expense,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9880,Construction In Progress,100000
FY18,Revenue,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Other Financing Sources,6993,Operating Transfers-Capital Projects,909511
FY18,Revenue,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Investment Income & Rentals,6651,Interest on Investment,20542
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Supplies,7520,Supplies,161450
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Debt Service,9910,Principal,50000
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Debt Service,9930,Paying Agent Fees,3918
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Capital Outlays,9760,Equipment,136304
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Financing,9953,Operating Trans-Capt Projects,569136
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7020,Full Time Employees,12435031
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7025,Acting Assignment,301709
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7050,Regular Hourly Rate,472152
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7055,Time & One-half,601449
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7105,Employers FICA,184345
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,2133781
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,2744781
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,3390711
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,19335
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7180,Fire Tech Services Stipend,58800
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Personal Services,7185,Transfer-Station Pay,14423
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,20670
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,68240
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,9150,Memberships,520
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,9200,Electricity,29469
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,115830
FY18,Expense,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,37065
FY18,Revenue,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,36414
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Supplies,7520,Supplies,28300
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Capital Outlays,9760,Equipment,9000
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7020,Full Time Employees,83555
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7025,Acting Assignment,5075
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7055,Time & One-half,61600
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7105,Employers FICA,2186
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,12334
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,29799
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,35648
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,210
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Personal Services,7180,Fire Tech Services Stipend,500
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,24500
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,7480
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Other Services and Charges,9150,Memberships,425
FY18,Expense,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,26712
FY18,Revenue,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Charges for Services,6260,Service Fees-General,14000
FY18,Expense,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Personal Services,7055,Time & One-half,105000
FY18,Expense,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Personal Services,7105,Employers FICA,1523
FY18,Expense,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,20759
FY18,Expense,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,23867
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,5150
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,671134
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7050,Regular Hourly Rate,1000
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7055,Time & One-half,36059
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,29699
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,92505
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,100594
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,172990
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,939
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7175,Food-Clean-Car Allowance,1080
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,139000
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8400,Insurance Premiums,20613
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,708501
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,20016
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,10850
FY18,Expense,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,1162854
FY18,Expense,Police,Police,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Capital Outlays,9760,Equipment,228000
FY18,Revenue,Police,Police,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Other Financing Sources,6993,Operating Transfers-Capital Projects,228000
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7020,Full Time Employees,633245
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7105,Employers FICA,9182
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7110,Hospitalization Insurance,123340
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7115,Retiree Health Care-OPEB,115314
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7120,Retirement Fund Contribution,156852
FY18,Expense,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7135,Unemployment Compensation,886
FY18,Revenue,Police,Police,Invest-Det-Grants,7000 - Invest-Det-Grants,2731,Police Grants,Other Financing Sources,6991,Operating Transfers-Subsidy,1038819
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Supplies,7520,Supplies,2000
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Capital Outlays,9760,Equipment,20000
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7020,Full Time Employees,169247
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7055,Time & One-half,18030
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7105,Employers FICA,14326
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,37002
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,23420
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,45742
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,235
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,8500,Telephone,33300
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,9200,Electricity,4500
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,9210,Natural Gas,3000
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,57500
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,24720
FY18,Expense,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,5144
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7020,Full Time Employees,209363
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7055,Time & One-half,23969
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7105,Employers FICA,17850
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,49336
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,29181
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,56993
FY18,Expense,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,291
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Supplies,7520,Supplies,10000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Capital Outlays,9760,Equipment,285000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Capital Outlays,9810,Vehicles,15000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7020,Full Time Employees,53999
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7105,Employers FICA,4131
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7110,Hospitalization Insurance,12334
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7115,Retiree Health Care-OPEB,6748
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7120,Retirement Fund Contribution,13179
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Personal Services,7135,Unemployment Compensation,75
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,8240,Fees,15000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,8265,Police-Investigation,75000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,8450,Claims,1812
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,8500,Telephone,32500
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,9110,Other Travel & Training,20000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,9340,Maintenance Service,10000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Services and Charges,9410,Equipment Rentals or Lease,10000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Other Revenues,6871,Refunds-Rebates,5500
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Fines & Forfeitures,6621,Police Seized Property,123000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Charges for Services,6260,Service Fees-General,2250
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Charges for Services,6421,Sales-General,19000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Charges for Services,6427,Auction Sales,39000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Charges for Services,6428,Police-Confiscated Gun-Money,7500
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement,Charges for Services,6429,Police-Sale of Imp Cars,46500
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Capital Outlays,9760,Equipment,46000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Other Services and Charges,8265,Police-Investigation,10000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Other Services and Charges,9110,Other Travel & Training,10000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Federal Grants,5281,Dept of Justice,66000
FY18,Expense,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2653,Federal Forfeitures-Treasury Dept,Capital Outlays,9760,Equipment,10000
FY18,Revenue,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2653,Federal Forfeitures-Treasury Dept,Federal Grants,5281,Dept of Justice,13500
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Supplies,7520,Supplies,164350
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Capital Outlays,9760,Equipment,10195
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7020,Full Time Employees,1104655
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7050,Regular Hourly Rate,1000
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7055,Time & One-half,29174
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7105,Employers FICA,16456
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,197344
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,206653
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,273550
FY18,Expense,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,1546
