Budget type,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,714355
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,210987
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,2648112
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,1989364
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,3837861
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,20582
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7180,Fire Tech Services Stipend,62950
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7185,Transfer-Station Pay,12000
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,45400
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,99868
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,585
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,9200,Electricity,30660
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,119264
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,44882
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Revenue,Charges for Services,6260,Service Fees-General,37885
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Supplies,7520,Supplies,30600
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,19800
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,87756
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7025,Acting Assignment,5075
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,56700
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,2175
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,15396
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,20123
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,38451
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,207
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Personnel Services,7180,Fire Tech Services Stipend,500
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,1850
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,29650
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,835
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,17607
FY20,Fire,Fire,Emergency Medical Services,4000 - Emergency Medical Services,1010,General Fund Operating,Revenue,Charges for Services,6260,Service Fees-General,10000
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,80000
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,1160
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,10728
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,20480
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,112
FY20,Fire,Fire,Fire Regional Training Center,3200 - Fire Regional Training Center,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,50000
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7520,Supplies,5350
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,806436
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7050,Regular Hourly Rate,1040
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,39847
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,56914
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,130872
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,76789
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,195638
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,1131
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,174000
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8240,Fees,6480
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8400,Insurance Premiums,22257
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8450,Claims,830979
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9340,Maintenance Service,9944
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,21639
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9450,311 Call Center Services,16873
FY20,Police,Police,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9480,Computer Services-from IT,1187573
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Supplies,7520,Supplies,3900
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,20000
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,166084
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,548
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,12748
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,46188
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,14257
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,37722
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,235
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,8500,Telephone,44200
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,9200,Electricity,6000
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,9210,Natural Gas,3000
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,9340,Maintenance Service,57500
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,22660
FY20,Police,Police,SSD-Communications,3400 - SSD-Communications,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,5172
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,194458
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,2642
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,15076
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,61584
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,16849
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,44604
FY20,Police,Police,SSD-Staff Services,3200 - SSD-Staff Services,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,264
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Supplies,7520,Supplies,15000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Capital Outlays,9760,Equipment,105000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Capital Outlays,9810,Vehicles,25000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Financing,9955,Operating Trans-Misc,68550
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7020,Full Time Employees,56304
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7105,Employers FICA,4308
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7110,Hospitalization Insurance,15396
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7115,Retiree Health Care-OPEB,4812
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7120,Retirement Fund Contribution,12744
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Personnel Services,7135,Unemployment Compensation,84
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,8240,Fees,15000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,8265,Police-Investigation,45000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,8450,Claims,4215
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,8500,Telephone,32500
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,9110,Other Travel & Training,50000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,9340,Maintenance Service,10000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,10000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Other Revenues,6731,Property Sales,24000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Fines & Forfeitures,6621,Police Seized Property,65000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Fines & Forfeitures,6622,Seizures,200000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Charges for Services,6260,Service Fees-General,2250
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Charges for Services,6427,Auction Sales,17000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Charges for Services,6428,Police-Confiscated Gun-Money,7000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2650,Drug Law Enforcement-State-Local,Revenue,Charges for Services,6429,Police-Sale of Imp Cars,46500
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Expense,Capital Outlays,9760,Equipment,50000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Expense,Other Services and Charges,8265,Police-Investigation,10000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Expense,Other Services and Charges,9110,Other Travel & Training,10000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2652,Federal Forfeitures-Dept of Justice,Revenue,Federal Grants,5281,Dept of Justice,62900
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2653,Federal Forfeitures-Treasury Dept,Expense,Capital Outlays,9760,Equipment,10000
FY20,Police,Police,Invest-Vice-DE GRPD,4210 - Invest-Vice-DE GRPD,2653,Federal Forfeitures-Treasury Dept,Revenue,Federal Grants,5281,Dept of Justice,13500
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Supplies,7520,Supplies,201160
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,83350
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,490560
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7050,Regular Hourly Rate,1040
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,98033
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,8553
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,92376
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,70529
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,151540
FY20,Police,Police,SSD-Training Bureau,3300 - SSD-Training Bureau,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,684
