FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2016 Budget
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,5011
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,1477
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,404
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,52280004,52,Professional Services,CHARGEBACK-IT                 ,Operating,144890
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT    ,Operating,18905
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-19087
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,894102
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,78912
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,60304
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51130004,51,Personnel Services,CAR ALLOWANCE                 ,Operating,20300
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,4966
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52130001,52,Professional Services,MEMBERSHIPS                   ,Operating,12500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,Operating,875
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290010,52,Professional Services,CHARGEBACK-POSTAGE            ,Operating,2566
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES       ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE  ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52550700,52,Professional Services,TRAINING/EDUCATION            ,Operating,9584
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,Operating,4800
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,Operating,9000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53010007,53,Materials and Supplies,COMPUTER SUPPLIES             ,Operating,3000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890004,53,Materials and Supplies,CLOTHING & OTHER              ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400201,CITY MANAGERS OFFICE,04002,Policy & Executive Leadership,53890022,53,Materials and Supplies,OTHER SUPPLIES                ,Operating,1500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-1858
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,87132
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,7516
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,5779
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400202,CM LEGISLATIVE,04002,Policy & Executive Leadership,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,657
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400204,CM Office of Sustainability,04002,Policy & Executive Leadership,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER   ,Operating,3862
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-15217
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,717624
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES   ,Operating,53407
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,131523
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,43203
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT         ,Operating,150
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,13212
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER   ,Operating,40191
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52049001,52,Professional Services,EMPLOYEE TRAINING             ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130001,52,Professional Services,MEMBERSHIPS                   ,Operating,1500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52130004,52,Professional Services,SUBSCRIPTIONS                 ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280004,52,Professional Services,CHARGEBACK-IT                 ,Operating,133522
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,Operating,28998
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290010,52,Professional Services,CHARGEBACK-POSTAGE            ,Operating,2400
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES       ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52310001,52,Professional Services,PRINTING & BINDING            ,Operating,574
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE  ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT ,Operating,2000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,Operating,1625
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,Operating,2985
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010007,53,Materials and Supplies,COMPUTER SUPPLIES             ,Operating,1227
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,Operating,880
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53040031,53,Materials and Supplies,OTHER EQUIPMENT               ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890004,53,Materials and Supplies,CLOTHING & OTHER              ,Operating,100
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400301,PUBLIC INFORMATION & MARKETING,04003,Public Information & Marketing,53890022,53,Materials and Supplies,OTHER SUPPLIES                ,Operating,1320
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-2133
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,100152
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,13152
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,6516
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,1109
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,52310001,52,Professional Services,PRINTING & BINDING            ,Operating,100
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890004,53,Materials and Supplies,CLOTHING & OTHER              ,Operating,1400
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400302,CM EMPLOYEE COMMUNICATION,04003,Public Information & Marketing,53890010,53,Materials and Supplies,FUNDRAISING MATERIALS         ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-4765
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,222672
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,20041
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,15689
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51130004,51,Personnel Services,CAR ALLOWANCE                 ,Operating,2320
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,1253
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,Operating,7000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400501,Economic Development,04005,COMMUNITY ENHANCEMENT,53890022,53,Materials and Supplies,OTHER SUPPLIES                ,Operating,3000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-2841
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,133796
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,16285
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,8188
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51130004,51,Personnel Services,CAR ALLOWANCE                 ,Operating,580
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400502,Community Development,04005,COMMUNITY ENHANCEMENT,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,1293
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-2182
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,101532
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,10021
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400503,Tourism Development,04005,COMMUNITY ENHANCEMENT,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,7512
