Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Community Promotion,18000
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Employee Parking,459
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Computer Services-from IT,8271
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Financing,Operating Transfers-A87 Cost,186073
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,25000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,41103
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Death Benefits,100000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Claims,18746
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Community Promotion,10000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Printing & Publishing,2500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Memberships,980
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,4000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,93515
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,311 Call Center Services,17333
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Capital Outlays,Computer Equipment,5000
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Health Insurance Claims,702512
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Retiree Health-Other Ins Co,586140
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,68918
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,5269
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,14400
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,8512
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,15641
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,96
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,1000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,43000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,5000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,2500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,311 Call Center Services,63786
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,1000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,263017
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,20125
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,43200
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,32795
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,60316
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,372
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,75000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,1200
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,435
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Printing & Publishing,3000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,33403
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,6364
FY19,Expense,Adminitrative Services,Admin Services Support,CRC-Rosa  Activities,Other Services and Charges,Community Promotion,80000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,27936
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,2136
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,5760
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,3444
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,6336
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,36
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,50000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Telephone,780
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Equipment Rentals or Lease,1786
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,2004
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,111756
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,8556
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,21600
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,13860
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,25488
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,156
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,150000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,225000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Statutory Worker's Comp,100000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Medical Provider Services,500000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Medical-Supportive Charges,75000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims,200000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Telephone,1725
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,3006
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Administrative Services,160000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Full Time Employees,117348
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Employers FICA,8977
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Hospitalization Insurance,21600
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retiree Health Care-OPEB,14549
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Retirement Fund Contribution,26743
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Personnel Services,Unemployment Compensation,168
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Contractual Services,39417
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Administrative Services,13715
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Insurance Premiums,1153362
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims-Taxable Payments,100000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Claims,600000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Gross Proceeds Paid to an Attorney,100000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Employee Parking,3006
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Unemployment Claims,75000
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,26585
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Services and Charges,Computer Services-from IT,12610
FY19,Expense,Adminitrative Services,Human Resources,Other Reserves-Insurance,Other Financing,Operating Transfers-A87 Cost,128337
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Claims,23753
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Telephone,1500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,2450
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,80591
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,311 Call Center Services,867
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Employee Parking,29478
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Computer Services-from IT,74923
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Capital Outlays,Computer Equipment,10000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,468260
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,35805
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,86400
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,58381
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,107381
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,651
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,18000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Subscriptions and Publications,250
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,12000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Fees,500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,4000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Other Travel & Training,3000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Local Business Expense,500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,2500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,2000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Capital Outlays,Furniture,2000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,644085
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,49276
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,86400
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,80328
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,147693
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,902
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,20000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,35000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,46252
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,435
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,200
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,4000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Other Travel & Training,2600
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,2500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,2500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Full Time Employees,355332
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Employers FICA,27183
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Hospitalization Insurance,72000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,44187
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Retirement Fund Contribution,81258
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Personnel Services,Unemployment Compensation,489
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Supplies,Supplies,12000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Contractual Services,5000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Fees,4500
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Police Witness Fees,3000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Postage,975
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Professional Development,1000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Memberships,1000
FY19,Expense,Attorney's Office,Attorney,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,1800
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Full Time Employees,97135
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Full Time Employees,32460
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Full Time Employees,2940
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Full Time Employees,202490
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Employers FICA,7429
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Employers FICA,2484
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Employers FICA,228
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Employers FICA,15480
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Hospitalization Insurance,18000
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Hospitalization Insurance,4752
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Hospitalization Insurance,432
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Hospitalization Insurance,37584
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Retiree Health Care-OPEB,12055
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Retiree Health Care-OPEB,4008
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Retiree Health Care-OPEB,360
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retiree Health Care-OPEB,25034
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Retirement Fund Contribution,22159
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Retirement Fund Contribution,7368
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Personnel Services,Retirement Fund Contribution,672
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Retirement Fund Contribution,46035
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Personnel Services,Unemployment Compensation,136
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Personnel Services,Unemployment Compensation,48
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Personnel Services,Unemployment Compensation,276
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Supplies,Supplies,3035
FY19,Expense,Authorities,Downtown Development Authority,DDA Non Tax Increment,Supplies,Supplies,5356
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Supplies,Supplies,116400
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Supplies,Supplies,5920
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Contractual Services,696361
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Contractual Services,1095565
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Contractual Services,160060
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Contractual Services,150060
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Administrative Services,60368
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Claims,8112
FY19,Expense,Authorities,Downtown Development Authority,DDA Local Tax Increment,Other Services and Charges,Claims,12450
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Claims,802
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Claims,9343
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Employee Phone Reimbursement,843
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Community Promotion,25000
FY19,Expense,Authorities,SmartZone LDFA,SmartZone LDFA,Other Services and Charges,Professional Development,3500
FY19,Expense,Authorities,Brownfield Redevelopment Authority,Brownfield Operations,Other Services and Charges,Professional Development,5900
FY19,Expense,Authorities,Tax Increment Financing Authority,Tax Increment Finance Authority,Other Services and Charges,Maintenance Service,10000
